F' U' B' U' R'
F' L2 U F U R
F' R' U' F' B' U'
F' R' U' B' F' U'
U' R' B' U' R' B
U' R2 B' U' R' B2
B' U F' L' B U2
B' U F' B L' U2
B' U B F' L' U2
F' U' D B' U' R'
F' U' D' B' U' R'
F' U' D2 B' U' R'
F' U' F B' U' R'
F' U' F' B' U' R'
F' U' F2 B' U' R'
F' U' B' U' R' D
F' U' B' U' R' D'
F' U' B' U' R' D2
F' U' B' U' D R'
F' U' B' U' D' R'
F' U' B' U' D2 R'
F' U' B' D U' R'
F' U' B' D' U' R'
F' U' B' D2 U' R'
F' U' B' F U' R'
F' U' B' F' U' R'
F' U' B' F2 U' R'
F' D U' B' U' R'
D2 F' U' B' U' R'
D' F' U' B' U' R'
D F' U' B' U' R'
F' D' U' B' U' R'
F' D2 U' B' U' R'
U' B' R2 U' B R
U' B' U F' U2 R'
U' B' U' R2 B R
F' L R U B U L
F' L R' U' F' U' L'
B' L U F' L' B U2
B' L U F' B L' U2
B' L U B F' L' U2
B' L' U F' L' B U2
B' L' U F' B L' U2
B' L' U B F' L' U2
F' L2 R U F B U
F' L2 R U B F U
F' L2 U D F U R
F' L2 U D' F U R
F' L2 U D2 F U R
F' L2 U F U R D
F' L2 U F U R D'
F' L2 U F U R D2
F' L2 U F U D R
F' L2 U F U D' R
F' L2 U F U D2 R
F' L2 U F D U R
F' L2 U F D' U R
F' L2 U F D2 U R
B' L2 U F' L' B U2
F' L2 U F B U R
F' L2 U F B' U R
F' L2 U F B2 U R
B' L2 U F' B L' U2
F2 L2 U F U R B'
F2 L2 U F U B' R
B' L2 U B F' L' U2
F' L2 U B F U R
F' L2 U B' F U R
F' L2 U B2 F U R
F' L2 D U F U R
F' L2 D' U F U R
F' L2 D2 U F U R
U L2 F U R D2 B2
U L2 F U D2 R B2
U L2 F U D2 B2 R
U L2 F U' F2 L' U2
U L2 F D' L2 U R
U L2 F D2 U R B2
U L2 F D2 U B2 R
F' R L U B U L
F' R L2 U F B U
F' R L2 U B F U
L2 U F U R D2 B2
L2 U F U D2 R B2
L2 U F U D2 B2 R
L2 U F U' F2 L' U2
L2 U F D' L2 U R
L2 U F D2 U R B2
L2 U F D2 U B2 R
F' R U B U D L2
F' R U B U2 B2 U'
F' R U B D U L2
F' R U B D2 F2 U
F' R U' B' U' D' R2
F' R U' B' U2 B2 U
F' R U' B' D' U' R2
F' R U' B' D2 F2 U'
R U' R' B' R' F' U'
U' R B' R U' B R2
R U' R2 F' B' R' U'
R U' R2 B' F' R' U'
R' U' D' F' R B' U'
R' U' D' F' B' R U'
R2 U' D B' U' B2 R'
R' U' D' B' F' R U'
F' R' L U' F' U' L'
R' U' F' R' B' U' B2
R' U' F' B' R' U' B
U2 R' U B' U' R' B
F' R' U' D F' B' U'
F' R' U' D B' F' U'
F' R' U' D' F' B' U'
F' R' U' D' B' F' U'
F' R' U' D2 F' B' U'
F' R' U' D2 B' F' U'
F' R' U' F' D B' U'
F' R' U' F' D' B' U'
F' R' U' F' D2 B' U'
