B L' U L2 U2 B
B L' U' D2 B R2
B L' U' B D2 R2
B L' D F2 U' B
B L' D2 U' B R2
L' B U L U2 B
L' B U' B2 R' B'
B L U' L2 U' L2 B
B L U' L2 U' B L2
U' L F L2 B U' B
U' L F B L2 U' B
U' L B F L2 U' B
B L' R2 U L2 F' U2
B L' R2 U F' L2 U2
B L' R2 U' D2 R2 B
B L' R2 D2 U' R2 B
B L' U L2 U2 D B
B L' U L2 U2 D' B
B L' U L2 U2 D2 B
B L' U L2 U2 B D
B L' U L2 U2 B D'
B L' U L2 U2 B D2
B L' U L2 D U2 B
B L' U L2 D' U2 B
B L' U L2 D2 U2 B
B L' U L2 F U2 B
B L' U L2 F' U2 B
B L' U L2 F2 U2 B
B L' U F L2 U2 B
B L' U F' L2 U2 B
B L' U F2 L2 U2 B
B L' U' R2 D2 R2 B
B L' U' D B D R2
B L' U' D2 B R2 D
B L' U' D2 B R2 D'
B L' U' D2 B R2 D2
B L' U' D2 B' R2 B2
B L' U' D2 B2 R2 B'
B L' U' B R D2 R2
B L' U' B R' D2 R2
B L' U' B R2 D2 R2
B L' U' B U2 L2 U2
B L' U' B D2 R2 D
B L' U' B D2 R2 D'
B L' U' B D2 R2 D2
B L' U' B2 D2 R2 B'
B L' U' B2 D2 B' R2
B L' U2 D' B2 U B'
B L' D U' B D R2
B L' D F2 U' D B
B L' D F2 U' D' B
B L' D F2 U' D2 B
B L' D F2 U' B D
B L' D F2 U' B D'
B L' D F2 U' B D2
B L' D F2 D U' B
B L' D F2 D' U' B
B L' D F2 D2 U' B
B L' D' U2 B2 U B'
B L' D2 U' B R2 D
B L' D2 U' B R2 D'
B L' D2 U' B R2 D2
B L' D2 U' B' R2 B2
B L' D2 U' B2 R2 B'
B L' D2 F U' B R2
B L' D2 F' U' B R2
B L' D2 F2 U' B R2
B L' F U L2 U2 B
B L' F U' D2 B R2
B L' F U' B D2 R2
B L' F D F2 U' B
U2 L' F B U' B R
B L' F D2 U' B R2
B L' F' U L2 U2 B
B L' F' U' D2 B R2
B L' F' U' B D2 R2
B L' F' D F2 U' B
B L' F' D2 U' B R2
B L' F2 U L2 U2 B
B L' F2 U' D2 B R2
B L' F2 U' B D2 R2
B L' F2 D F2 U' B
B L' F2 D2 U' B R2
D' L' B R2 U L U2
D2 L' B U L F2 U2
D2 L' B U F2 L U2
D' L' B U' D B2 R'
D2 L' B U' D2 B2 R'
U' L' B U' D' B R2
D' L' B D U' B2 R'
U' L' B U2 B2 U B'
D2 L' B D2 U' B2 R'
U' L' B D' U' B R2
U' L' B D2 F2 U' B
U2 L' B F U' B R
U L' B U' B' R' B2
D' L' B' R2 B2 U' R
B' L' B2 U L U2 B'
B L2 F2 L U' B R
L2 U' L F B U' B
