F2 L R U2 B U
F2 L R' F' R2 U'
F' L R' F' R U'
L R U2 L2 B U
R L U2 L2 B U
L R U2 B L2 U
R L U2 B L2 U
R' L D' F' U' B2
R' L D2 F' R2 U'
L R D2 R2 F' U'
R L D2 R2 F' U'
R' L F' U' D' B2
R' L F' U2 L2 U
R' L F' D' U' B2
R' L F' D2 R2 U'
L R' D' F' U' B2
L R' D2 F' R2 U'
U2 L' U2 L2 F U'
L R' F' U' D' B2
L R' F' U2 L2 U
L R' F' D' U' B2
L R' F' D2 R2 U'
U2 L' D B' U F2
U2 L' D2 R2 B' U
U2 L' D2 B' R2 U
U2 L' B' U D F2
U2 L' B' U2 L2 U'
U2 L' B' D U F2
U2 L' B' D2 R2 U
F2 R L U2 B U
F' R' L F' R U'
L U' D' B' R' B'
F2 R' L F' R2 U'
L U' B D' B2 R'
L U' B' R' D' B2
L U' B' D' R' B2
F' R' F' L R U'
F' R' F' R L U'
L U2 L' B' L' U
F2 R' F' L R2 U'
F2 R' F' R2 L U'
L D' R' F' U' B2
L D' U' B' R' B'
L D2 R' F' R' U'
F' D' L U' B' R'
R' F' D' L U' B'
R2 F2 L R F' U'
R' F2 R F L U'
R2 F2 R L F' U'
R2 F2 R F' L U'
U2 B' L' B' R' U
U2 B2 L' R' B' U
U2 B2 R' L' B' U
U2 B2 R' L' B' U
D2 L R U2 L2 B U
D' L R U2 L2 B U
D2 L R U2 B L2 U
D' L R U2 B L2 U
F2 L R U2 D B U
F2 L R U2 D' B U
F2 L R U2 D2 B U
F2 L R U2 B U D
F2 L R U2 B U D'
F2 L R U2 B U D2
F2 L R U2 B D U
F2 L R U2 B D' U
F2 L R U2 B D2 U
D L R U2 L2 B U
F2 L R D U2 B U
D L R U2 B L2 U
F L R U2 B L U
F2 L R D' U2 B U
D2 L R D2 R2 F' U'
D' L R D2 R2 F' U'
F2 L R D2 U2 B U
D L R D2 R2 F' U'
F2 L R F U2 B U
F2 L R F' U2 B U
F2 L R F2 U2 B U
F2 L R' D F' U' B2
D' L R' D' F' U' B2
D2 L R' D' F' U' B2
D' L R' D2 F' R2 U'
D2 L R' D2 F' R2 U'
D L R' D' F' U' B2
F' L R' F' R U' D
F' L R' F' R U' D'
F' L R' F' R U' D2
F' L R' F' R D U'
F' L R' F' R D' U'
F' L R' F' R D2 U'
F' L R' F' D R U'
F' L R' F' D' R U'
F' L R' F' D2 R U'
F2 L R' F R2 F2 U'
D L R' D2 F' R2 U'
D' L R' F' U' D' B2
D' L R' F' U2 L2 U
D2 L R' F' U' D' B2
D2 L R' F' U2 L2 U
D' L R' F' D' U' B2
D' L R' F' D2 R2 U'
D2 L R' F' D' U' B2
D2 L R' F' D2 R2 U'
F L R' F R F2 U'
F2 L R' F' R2 U' D
F2 L R' F' R2 U' D'
F2 L R' F' R2 U' D2
F2 L R' F' R2 D U'
F2 L R' F' R2 D' U'
F2 L R' F' R2 D2 U'
F2 L R' F' U' D B2
F2 L R' F' D U' B2
D L R' F' U' D' B2
F2 L R' F2 R2 F U'
D L R' F' U2 L2 U
D L R' F' D' U' B2
F L R' F' U2 L' U
D L R' F' D2 R2 U'
L R U' B' D' R2 B2
L R U' B' D' B2 R2
R' L U2 L2 U2 F' U'
F' L R2 F' R F' U'
R L U' B' D' R2 B2
R L U' B' D' B2 R2
L R U2 L' B L' U
F L R2 F R F' U'
L R U2 L2 D B U
L R U2 L2 D' B U
L R U2 L2 D2 B U
L R U2 L2 B U D
L R U2 L2 B U D'
L R U2 L2 B U D2
L R U2 L2 B D U
L R U2 L2 B D' U
L R U2 L2 B D2 U
R L U2 L' B L' U
R L U2 L2 D B U
R L U2 L2 D' B U
R L U2 L2 D2 B U
R L U2 L2 B U D
R L U2 L2 B U D'
R L U2 L2 B U D2
R L U2 L2 B D U
R L U2 L2 B D' U
R L U2 L2 B D2 U
L R U2 D' B U B
F L U L F U2 R
F L U L' U2 B' R'
R L U2 D' B U B
L R U2 B L2 U D
L R U2 B L2 U D'
L R U2 B L2 U D2
L R U2 B L2 D U
L R U2 B L2 D' U
L R U2 B L2 D2 U
L R U2 B U D' B2
L R U2 B D' U B2
L R U2 B' L2 B2 U
R L U2 B L2 U D
R L U2 B L2 U D'
R L U2 B L2 U D2
R L U2 B L2 D U
R L U2 B L2 D' U
R L U2 B L2 D2 U
R L U2 B U D' B2
R L U2 B D' U B2
R L U2 B' L2 B2 U
F L U F U2 R B
F L U F' L' U2 B'
R' L D F' R2 U' B
R' L D F' U F' U2
F' L U' D B' R' B
F L U' R B' R' B2
D2 L U' D' B' R' B'
D' L U' D' B' R' B'
F L U' R2 B' R' B
D L U' D' B' R' B'
D2 L U' B D' B2 R'
D' L U' B D' B2 R'
F' L U' B' D R' B
D2 L U' B' R' D' B2
D' L U' B' R' D' B2
D2 L U' B' D' R' B2
D' L U' B' D' R' B2
F2 L U' B' R' D B2
L R D' R2 F' U' B2
D L U' B D' B2 R'
D L U' B' R' D' B2
D L U' B' D' R' B2
F L U' B' R B R2
R' L D' F' R U' B2
R' L D' F' R' U' B2
R' L D' F' R2 U' B2
R' L D' F' U' B2 D
R' L D' F' U' B2 D'
R' L D' F' U' B2 D2
R' L D' F' D' R2 U'
F L U' B2 R B R'
D2 L U2 L' B' L' U
D' L U2 L' B' L' U
R L D' R2 F' U' B2
L R D' U2 B U B
R2 L D' F' U' R B2
R2 L D' F' U' B2 R
D L U2 L' B' L' U
R L D' U2 B U B
R' L D2 R2 U2 B U
L R D2 R2 D F' U'
L R D2 R2 D' F' U'
L R D2 R2 D2 F' U'
L R D2 R2 F' U' D
L R D2 R2 F' U' D'
L R D2 R2 F' U' D2
L R D2 R2 F' D U'
L R D2 R2 F' D' U'
L R D2 R2 F' D2 U'
R' L D2 F R2 F2 U'
R' L D2 F' R2 U' D
R' L D2 F' R2 U' D'
R' L D2 F' R2 U' D2
R' L D2 F' R2 D U'
R' L D2 F' R2 D' U'
R' L D2 F' R2 D2 U'
R' L D2 F' U' D B2
R' L D2 F' D U' B2
R L D2 R2 D F' U'
R L D2 R2 D' F' U'
R L D2 R2 D2 F' U'
R L D2 R2 F' U' D
R L D2 R2 F' U' D'
R L D2 R2 F' U' D2
R L D2 R2 F' D U'
R L D2 R2 F' D' U'
R L D2 R2 F' D2 U'
R' L D2 F2 R2 F U'
L R D2 F R2 F' U'
L R D2 F' R2 F' U'
F2 L D R U2 B U
F' L D R' F' U' B
L R D2 F2 R2 F' U'
R L D2 F R2 F' U'
F2 L D R' F' R2 U'
R L D2 F' R2 F' U'
R L D2 F2 R2 F' U'
F' L D U' B' R' B
L R F U2 L2 B U
L R F U2 B L2 U
R L F U2 L2 B U
D' L D' R' F' U' B2
D2 L D' R' F' U' B2
R L F U2 B L2 U
F2 L D' R U2 B U
L R F D2 R2 F' U'
F2 L D' R' F' R2 U'
D L D' R' F' U' B2
R L F D2 R2 F' U'
D' L D' U' B' R' B'
D2 L D' U' B' R' B'
R' L F' R U' D' B2
R' L F' R U2 L2 U
D L D' U' B' R' B'
R' L F' R D' U' B2
R' L F' R D2 R2 U'
R' L F' R' U' D' B2
R' L F' R' U2 L2 U
R' L F' R' D' U' B2
R' L F' R' D2 R2 U'
R' L F' R2 U' D' B2
R' L F' R2 U2 L2 U
R' L F' R2 D' U' B2
R' L F' R2 D2 R2 U'
R' L F' U D F2 U2
R' L F' U' D' B2 D
R' L F' U' D' B2 D'
R' L F' U' D' B2 D2
R' L F' U' B D' B2
R' L F' U' B' D' B2
R' L F' U' B2 D' B2
R' L F' U2 L2 U D
R' L F' U2 L2 U D'
R' L F' U2 L2 U D2
R' L F' U2 L2 D U
R' L F' U2 L2 D' U
R' L F' U2 L2 D2 U
R' L F' D U F2 U2
R' L F' D' R U' B2
R' L F' D' R' U' B2
R' L F' D' R2 U' B2
R' L F' D' U' B2 D
R' L F' D' U' B2 D'
R' L F' D' U' B2 D2
L R F' U2 L2 B U
R' L F' D2 R2 U' D
R' L F' D2 R2 U' D'
R' L F' D2 R2 U' D2
R' L F' D2 R2 D U'
R' L F' D2 R2 D' U'
R' L F' D2 R2 D2 U'
L R F' U2 B L2 U
R L F' U2 L2 B U
D' L D2 R' F' R' U'
R L F' U2 B L2 U
F2 L D2 R U2 B U
D2 L D2 R' F' R' U'
L R F' D2 R2 F' U'
F2 L D2 R' F' R2 U'
D L D2 R' F' R' U'
R L F' D2 R2 F' U'
U2 L D2 F R2 B U'
R' L F2 U2 L2 B' U
R' L F2 D' F U' B2
L R F2 U2 L2 B U
R' L F2 D2 R2 F U'
L R F2 U2 B L2 U
R' L F2 D2 F R2 U'
R L F2 U2 L2 B U
R L F2 U2 B L2 U
L R F2 D2 R2 F' U'
F2 L F R' F' R U'
F L F R U2 B U
R L F2 D2 R2 F' U'
F L F R' F' R2 U'
F' L F U2 L' B' U
U2 L F U2 L2 F' U
U2 L F U2 F' L2 U
U2 L F D2 R2 B U'
L' R B U2 B' L2 U'
F' L F' R U2 B U
F' L F' R' F' R2 U'
F L F' U2 L' B' U
F L F2 R' F' R U'
F2 L F2 U2 L' B' U
L R' U2 L2 U2 F' U'
L' R' U2 F' L2 B' U'
R' L' U2 F' L2 B' U'
U2 L' R U2 L2 F U'
U2 L' R D B' U F2
U2 L' R D2 R2 B' U
U2 L' R D2 B' R2 U
B2 L' R B R2 F' U
U2 L' R B' U D F2
U2 L' R B' U2 L2 U'
U2 L' R B' D U F2
U2 L' R B' D2 R2 U
U2 L' R' U2 L2 F U'
B2 L' R' U2 F' B2 U'
B2 L' R' U2 B2 F' U'
L R' D F' R2 U' B
U2 L' R' D B' U F2
L R' D F' U F' U2
F' L' R' F' L2 R U'
F' L' R' F' R L2 U'
U2 L' R' D2 R2 B' U
U2 L' R' D2 B' R2 U
F2 L' R' F' L2 R2 U'
F2 L' R' F' R2 L2 U'
U2 L' R' B' U D F2
U2 L' R' B' U2 L2 U'
U2 L' R' B' D U F2
U2 L' R' B' D2 R2 U
U2 L' R2 U2 L2 F U'
U2 L' R2 D B' U F2
U2 L' R2 D2 R2 B' U
U2 L' R2 D2 B' R2 U
L R' D' F' R U' B2
L R' D' F' R' U' B2
L R' D' F' R2 U' B2
L R' D' F' U' B2 D
L R' D' F' U' B2 D'
L R' D' F' U' B2 D2
L R' D' F' D' R2 U'
U2 L' R2 B' U D F2
U2 L' R2 B' U2 L2 U'
U2 L' R2 B' D U F2
U2 L' R2 B' D2 R2 U
L R' D2 R2 U2 B U
L R' D2 F R2 F2 U'
L R' D2 F' R2 U' D
L R' D2 F' R2 U' D'
L R' D2 F' R2 U' D2
L R' D2 F' R2 D U'
L R' D2 F' R2 D' U'
L R' D2 F' R2 D2 U'
L R' D2 F' U' D B2
L R' D2 F' D U' B2
L R' D2 F2 R2 F U'
R' L' F' L2 U' D' B2
R' L' F' L2 U2 L2 U
R' L' F' L2 D' U' B2
R' L' F' L2 D2 R2 U'
L' R' F' L2 U' D' B2
L' R' F' L2 U2 L2 U
L' R' F' L2 D' U' B2
L' R' F' L2 D2 R2 U'
U2 L' U2 L2 D F U'
U2 L' U2 L2 D' F U'
U2 L' U2 L2 D2 F U'
U2 L' U2 L2 F U' D
U2 L' U2 L2 F U' D'
U2 L' U2 L2 F U' D2
U2 L' U2 L2 F D U'
U2 L' U2 L2 F D' U'
U2 L' U2 L2 F D2 U'
L R' F' R U' D' B2
L R' F' R U2 L2 U
L R' F' R D' U' B2
L R' F' R D2 R2 U'
L R' F' R' U' D' B2
L R' F' R' U2 L2 U
L R' F' R' D' U' B2
L R' F' R' D2 R2 U'
L R' F' R2 U' D' B2
L R' F' R2 U2 L2 U
L R' F' R2 D' U' B2
L R' F' R2 D2 R2 U'
L R' F' U D F2 U2
L R' F' U' D' B2 D
L R' F' U' D' B2 D'
L R' F' U' D' B2 D2
L R' F' U' B D' B2
L R' F' U' B' D' B2
L R' F' U' B2 D' B2
L R' F' U2 L2 U D
L R' F' U2 L2 U D'
L R' F' U2 L2 U D2
L R' F' U2 L2 D U
L R' F' U2 L2 D' U
L R' F' U2 L2 D2 U
U2 L' U2 F L2 F U'
L R' F' D U F2 U2
U2 L' U2 F' L2 F U'
L R' F' D' R U' B2
L R' F' D' R' U' B2
L R' F' D' R2 U' B2
L R' F' D' U' B2 D
L R' F' D' U' B2 D'
L R' F' D' U' B2 D2
U2 L' U2 F2 L2 F U'
L R' F' D2 R2 U' D
L R' F' D2 R2 U' D'
L R' F' D2 R2 U' D2
L R' F' D2 R2 D U'
L R' F' D2 R2 D' U'
L R' F' D2 R2 D2 U'
B2 L' U2 B2 L F U'
U2 L' D R B' U F2
U2 L' D R' B' U F2
U2 L' D R2 B' U F2
