F2 L' R' B' U' F
L' R' F2 B' U' F'
R' L' F2 B' U' F'
L' R' B' F2 U' F'
R' L' B' F2 U' F'
F2 R' L' B' U' F
F2 R' U' F' L' F
R' F2 L' B' U' F
R' F2 U' F' L' F
L' R B' R2 F2 U' F'
F2 L' R B' R2 U' F
F2 L' R' D B' U' F
R' L' D B' U' R2 F
R' L' D B' U' F R2
L' R' D B' U' R2 F
L' R' D B' U' F R2
F2 L' R' D' B' U' F
F2 L' R' D2 B' U' F
F2 L' R' B' U' D F
F2 L' R' B' U' D' F
F2 L' R' B' U' D2 F
F2 L' R' B' U' F D
F2 L' R' B' U' F D'
F2 L' R' B' U' F D2
F2 L' R' B' D U' F
F2 L' R' B' D' U' F
F2 L' R' B' D2 U' F
F L' R' B' U' F R
F2 L' R2 B' R U' F
R' L' F2 L U' F' L'
L' R' F2 L U' F' L'
L2 R' F2 L B' U' F
F2 L' D R' B' U' F
R' L' F2 D B' U' F'
L' R' F2 D B' U' F'
R' L' F2 D' B' U' F'
L' R' F2 D' B' U' F'
R' L' F2 D2 B' U' F'
L' R' F2 D2 B' U' F'
R' L' F2 B' L U' F'
R' L' F2 B' L' U' F'
R' L' F2 B' L2 U' F'
R' L' F2 B' U' D F'
R' L' F2 B' U' D' F'
R' L' F2 B' U' D2 F'
R' L' F2 B' U' F' D
R' L' F2 B' U' F' D'
R' L' F2 B' U' F' D2
R' L' F2 B' D U' F'
R' L' F2 B' D' U' F'
L' R' F2 B' L U' F'
R' L' F2 B' D2 U' F'
L' R' F2 B' L' U' F'
L' R' F2 B' L2 U' F'
L' R' F2 B' U' D F'
L' R' F2 B' U' D' F'
L' R' F2 B' U' D2 F'
L' R' F2 B' U' F' D
L' R' F2 B' U' F' D'
L' R' F2 B' U' F' D2
L' R' F2 B' D U' F'
L' R' F2 B' D' U' F'
L' R' F2 B' D2 U' F'
F2 L' D' R' B' U' F
R' L' B' U' D R2 F
R' L' B' U' D F R2
L' R' B' U' D R2 F
L' R' B' U' D F R2
R2 L' B' R F2 U' F'
F2 L' D2 R' B' U' F
R' L' B' D U' R2 F
R' L' B' D U' F R2
L' R' B' D U' R2 F
L' R' B' D U' F R2
R L' B' R2 F2 U' F'
R' L' B' F2 L U' F'
R' L' B' F2 L' U' F'
R' L' B' F2 L2 U' F'
L' R' B' F2 L U' F'
L' R' B' F2 L' U' F'
L' R' B' F2 L2 U' F'
R' L' B' F2 U' D F'
R' L' B' F2 U' D' F'
R' L' B' F2 U' D2 F'
R' L' B' F2 U' F' D
R' L' B' F2 U' F' D'
R' L' B' F2 U' F' D2
R' L' B' F2 D U' F'
R' L' B' F2 D' U' F'
R' L' B' F2 D2 U' F'
L' R' B' F2 U' D F'
L' R' B' F2 U' D' F'
L' R' B' F2 U' D2 F'
L' R' B' F2 U' F' D
L' R' B' F2 U' F' D'
L' R' B' F2 U' F' D2
L' R' B' F2 D U' F'
L' R' B' F2 D' U' F'
L' R' B' F2 D2 U' F'
F' L' F' R' B' U' F2
B L' B' R' F2 U' F'
R' L2 F2 L B' U' F
L' R2 B' R F2 U' F'
L' U R' F2 B' U' F'
L' U R' B' F2 U' F'
F2 R L' B' R2 U' F
L' U' R' F2 B' U' F'
L' U' R' B' F2 U' F'
F2 R' L' D B' U' F
F2 R' L' D' B' U' F
F2 R' L' D2 B' U' F
F2 R' L' B' U' D F
F2 R' L' B' U' D' F
F2 R' L' B' U' D2 F
F2 R' L' B' U' F D
F2 R' L' B' U' F D'
F2 R' L' B' U' F D2
F2 R' L' B' D U' F
F2 R' L' B' D' U' F
F2 R' L' B' D2 U' F
R' U' F' L' F D R2
F R' L' B' U' F R
D2 R' U' D' R2 F' L'
F2 R' U' L' F' L' F2
F2 R' U' F' L' D F
F2 R' U' F' L' D' F
F2 R' U' F' L' D2 F
F2 R' U' F' L' F D
F2 R' U' F' L' F D'
F2 R' U' F' L' F D2
F2 R' U' F2 L' F L'
D2 R' D' U' R2 F' L'
F2 R' D' L' B' L U'
F R' D F L' B' U'
F R' F L' B' U' F
F R' F U' F' L' F
U' R' F2 L' U' F L'
U' R' F2 U' L' F L'
U' R' F2 U' F L' F
D R' F2 U' R' F' L'
L' U2 R' F2 B' U' F'
L' U2 R' B' F2 U' F'
F2 R' B L' B' U' F
