R' U F' B2 U' B'
R' U B2 F' U' B'
B2 R' F' U' F B
B2 R' F' U' B F
R2 D L2 R B R'
R2 D R L2 B R'
R2 D R B L2 R'
R2 D R B R' L2
R' F' B2 U' F B'
R' F' B2 U' B' F
R' B U F' B U'
R' B U B F' U'
R' B2 F' U' F B'
R' B2 F' U' B' F
R' L U F' B2 U' B'
D2 L R B' D' L2 R2
D2 L R B' D' R2 L2
R' L U B2 F' U' B'
B2 L R' F' U' F B
B2 L R' F' U' B F
R2 L D L2 R B R'
R2 L D R L2 B R'
R2 L D R B L2 R'
R2 L D R B R' L2
R' L F' B2 U' F B'
R' L F' B2 U' B' F
R' L B U F' B U'
R' L B U B F' U'
R' L B2 F' U' F B'
R' L B2 F' U' B' F
L' R' U F' B2 U' B'
R' L' U F' B2 U' B'
L R' U F' B2 U' B'
L2 R' U F' B2 U' B'
L' R' U B2 F' U' B'
R' L' U B2 F' U' B'
L R' U B2 F' U' B'
L2 R' U B2 F' U' B'
R2 L' D L2 R B R'
R2 L' D R L2 B R'
R2 L' D R B L2 R'
R2 L' D R B R' L2
B2 L' R' F' U' F B
B2 L' R' F' U' B F
R' L' F' B2 U' F B'
R' L' F' B2 U' B' F
L' R' F' B2 U' F B'
L' R' F' B2 U' B' F
L2 R' F' B2 U' F B'
L2 R' F' B2 U' B' F
L R' F' B2 U' F B'
L R' F' B2 U' B' F
R' L' B U F' B U'
R' L' B U B F' U'
L' R' B U F' B U'
L' R' B U B F' U'
L2 R' B U F' B U'
L2 R' B U B F' U'
L R' B U F' B U'
L R' B U B F' U'
R' L' B2 F' U' F B'
R' L' B2 F' U' B' F
L' R' B2 F' U' F B'
L' R' B2 F' U' B' F
L2 R' B2 F' U' F B'
L2 R' B2 F' U' B' F
L R' B2 F' U' F B'
L R' B2 F' U' B' F
R' L2 U F' B2 U' B'
R' L2 U B2 F' U' B'
L' R2 D L2 R B R'
L' R2 D R L2 B R'
L' R2 D R B L2 R'
L' R2 D R B R' L2
L2 R2 D L2 R B R'
R2 L2 D L2 R B R'
L R2 D L2 R B R'
L2 R2 D R L2 B R'
R2 L2 D R L2 B R'
L2 R2 D R B L2 R'
L2 R2 D R B R' L2
R2 L2 D R B L2 R'
R2 L2 D R B R' L2
L R2 D R L2 B R'
L R2 D R B L2 R'
L R2 D R B R' L2
B2 L2 R' F' U' F B
B2 L2 R' F' U' B F
R' L2 F' B2 U' F B'
R' L2 F' B2 U' B' F
R' L2 B U F' B U'
R' L2 B U B F' U'
D L2 U' B' L U R'
R' L2 B2 F' U' F B'
R' L2 B2 F' U' B' F
R' U D F' U' L2 B
R U R2 F' B2 U' B'
R' U D F' U' B L2
R U R2 B2 F' U' B'
D2 R L B' D' L2 R2
D2 R L B' D' R2 L2
R2 U F R F' B2 U'
R2 U F R B2 F' U'
R' U F' U' D L2 B
R' U F' U' D B L2
R2 U F B2 R F' U'
R' U F' D U' L2 B
R' U F' D U' B L2
R' U F' B2 R U' B'
R' U F' B2 R' U' B'
R' U F' B2 R2 U' B'
R' U F' B2 U' D B'
R' U F' B2 U' D' B'
R' U F' B2 U' D2 B'
R' U F' B2 U' B' D
R' U F' B2 U' B' D'
R' U F' B2 U' B' D2
R' U F' B2 D U' B'
R' U F' B2 D' U' B'
R' U F' B2 D2 U' B'
R' U B2 R U' B' R'
R' U B2 D F' U' B'
R' U B2 D' F' U' B'
R' U B2 D2 F' U' B'
R' U B2 F' R U' B'
R' U B2 F' R' U' B'
R' U B2 F' R2 U' B'
R' U B2 F' U' D B'
R' U B2 F' U' D' B'
R' U B2 F' U' D2 B'
R' U B2 F' U' B' D
R' U B2 F' U' B' D'
R' U B2 F' U' B' D2
R' U B2 F' D U' B'
R' U B2 F' D' U' B'
R' U B2 F' D2 U' B'
R2 U B2 F R F' U'
B2 R' L F' U' F B
B2 R' L F' U' B F
B2 R' L' F' U' F B
B2 R' L' F' U' B F
B2 R' L2 F' U' F B
B2 R' L2 F' U' B F
B' R' U F' B' U' B2
B' R' U B' F' U' B2
B R' U F' U' L' B
B R' U F' U' B L'
B2 R' D F' U' F B
B2 R' D F' U' B F
B2 R' D' F' U' F B
B2 R' D' F' U' B F
B2 R' D2 F' U' F B
B2 R' D2 F' U' B F
F' R' F D L2 B R2
F' R' F D B L2 R2
F' R' F D B R2 L2
B2 R' F' U' D F B
B2 R' F' U' D B F
B2 R' F' U' D' F B
B2 R' F' U' D' B F
B2 R' F' U' D2 F B
B2 R' F' U' D2 B F
B2 R' F' U' F D B
B2 R' F' U' F D' B
B2 R' F' U' F D2 B
B2 R' F' U' F B D
B2 R' F' U' F B D'
B2 R' F' U' F B D2
B2 R' F' U' B D F
B2 R' F' U' B D' F
B2 R' F' U' B D2 F
B2 R' F' U' B F D
B2 R' F' U' B F D'
B2 R' F' U' B F D2
B2 R' F' D U' F B
B2 R' F' D U' B F
B' R' F' B' U' F B2
B' R' F' B' U' B2 F
U R' F B2 U' R B'
U R' F B2 U' B' R
B2 R' F' D' U' F B
B2 R' F' D' U' B F
F' R' F' B2 U' F2 B'
F' R' F' B2 U' B' F2
B2 R' F' D2 U' F B
B2 R' F' D2 U' B F
B R' F' U' F B L
B R' F' U' B F L
F2 R' F' B2 U' F' B'
F2 R' F' B2 U' B' F'
B' R' B U F' B2 U'
B' R' B U B2 F' U'
B2 R' B U F' B' U'
B2 R' B U B' F' U'
B R' B U F' U' L'
B' R' B' F' U' F B2
B' R' B' F' U' B2 F
F' R' B2 F' U' F2 B'
F' R' B2 F' U' B' F2
F2 R' B2 F' U' F' B'
F2 R' B2 F' U' B' F'
U R' B2 F U' R B'
U R' B2 F U' B' R
R2 D L' R B L' R'
R2 D L' R B R' L'
R' D L2 U F' U' B
R' D L2 B U F' U'
R2 D L2 R B R' D
R2 D L2 R B R' D'
R2 D L2 R B R' D2
R2 D L2 R B D R'
R2 D L2 R B D' R'
R2 D L2 R B D2 R'
R2 D L2 R2 B R' B
R2 D L2 B R B R2
R2 D R L' B L' R'
R2 D R L' B R' L'
R2 D R L2 B R' D
R2 D R L2 B R' D'
R2 D R L2 B R' D2
R2 D R L2 B D R'
R2 D R L2 B D' R'
R2 D R L2 B D2 R'
R D L2 B' D' R2 B
R2 D R B L2 R' D
R2 D R B L2 R' D'
R2 D R B L2 R' D2
R2 D R B L2 D R'
R2 D R B L2 D' R'
R2 D R B L2 D2 R'
R2 D R B R' L2 D
R2 D R B R' L2 D'
R2 D R B R' L2 D2
R2 D R2 L2 B R' B
R' D U F' U' L2 B
R' D U F' U' B L2
R2 D R2 B L2 R' B
R2 D R2 B R' L2 B
R2 D R2 B R' B L2
R' D F' U' F L2 B
R' D F' U' F B L2
R' D F' U' B F L2
R' D B L2 U F' U'
R' D B U F' U' L2
R2 D B L2 R B R2
R2 D B R L2 B R2
R2 D B R B L2 R2
R2 D B R B R2 L2
R D B' L2 D' R2 B
U' D B' L U L R'
U' D B' L U R' L
D U' B' L U L R'
D U' B' L U R' L
R2 D2 R D' L2 B R'
R2 D2 R D' B L2 R'
R2 D2 R D' B R' L2
R D2 B' D' L2 R2 B
R D2 B' D' R2 L2 B
R D2 B' D' R2 B L2
U F R' B2 U' R2 B'
U F R' B2 U' B' R2
R' F D L2 F' B R2
R' F D L2 B F' R2
R' F D F' L2 B R2
R' F D F' B L2 R2
R' F D F' B R2 L2
R' F D B L2 F' R2
R' F D B F' L2 R2
R' F D B F' R2 L2
U F B2 R' U' B R2
U F B2 U' R' B R2
B D B R' F' U' F
R' F' U' D F L2 B
R' F' U' D F B L2
R' F' U' D B F L2
R' F' U' F D L2 B
R' F' U' F D B L2
R' F' D U' F L2 B
R' F' D U' F B L2
R' F' D U' B F L2
B2 D' R' F' R U' F
R' F' B2 R U' F B'
R' F' B2 R U' B' F
R' F' B2 R' U' F B'
R' F' B2 R' U' B' F
R' F' B2 R2 U' F B'
R' F' B2 R2 U' B' F
R' F' B2 U' D F B'
R' F' B2 U' D B' F
R' F' B2 U' D' F B'
R' F' B2 U' D' B' F
R' F' B2 U' D2 F B'
R' F' B2 U' D2 B' F
R' F' B2 U' F D B'
R' F' B2 U' F D' B'
R' F' B2 U' F D2 B'
R' F' B2 U' F B' D
R' F' B2 U' F B' D'
R' F' B2 U' F B' D2
R' F' B2 U' B' D F
R' F' B2 U' B' D' F
R' F' B2 U' B' D2 F
R' F' B2 U' B' F D
R' F' B2 U' B' F D'
R' F' B2 U' B' F D2
R' F' B2 D U' F B'
R' F' B2 D U' B' F
R' F' B2 D' U' F B'
R' F' B2 D' U' B' F
R' F' B2 D2 U' F B'
R' F' B2 D2 U' B' F
R' B L U F' B U'
R' B L U B F' U'
R' B L' U F' B U'
R' B L' U B F' U'
R' B L2 U F' B U'
R' B L2 U B F' U'
R' B R2 U' F' B U
R' B R2 U' B F' U
D B R' F' U' F L2
R' B U D F' B U'
R' B U D B F' U'
R' B U D' F' B U'
R' B U D' B F' U'
R' B U D2 F' B U'
R' B U D2 B F' U'
R' B U F' D B U'
R' B U F' D' B U'
R' B U F' D2 B U'
R' B U F' B U' D
