R' U' F R U' F'
F L U R' F U2 F
F L U F R' U2 F
B2 L D F' R D2 B2
B2 L D F' D2 R B2
B2 L D F' D2 B2 R
F L' R2 U' F2 B' L'
F L' R2 U' B' F2 L'
F L' U R' U2 F2 B'
F L' U R' U2 B' F2
B' L' U F' B' L R'
B' L' U F' B' R' L
B2 L' U F' B' L2 R'
B2 L' U F' B' R' L2
B' L' U B' L F' R'
B' L' U B' F' L R'
B' L' U B' F' R' L
B2 L' U B' L2 F' R'
B2 L' U B' F' L2 R'
B2 L' U B' F' R' L2
F L' U' F2 B2 L B
F L' U' B2 L F2 B
F L' U' B2 L B F2
F L' U' B2 F2 L B
F' L' D B2 L B R2
B' L' B' L F' D R2
B2 L' B' L2 D F' R
F' L' B2 L D B R2
F' L' B2 L B D R2
F' L' B2 D L B R2
F L' B2 U' L F2 B
F L' B2 U' L B F2
F L' B2 U' F2 L B
F L2 U' F2 B2 L B'
F L2 U' B2 L F2 B'
F L2 U' B2 L B' F2
F L2 U' B2 F2 L B'
B' L2 B' U L F' B'
B' L2 B' U L B' F'
B' L2 B' U F' L B'
F' L2 B2 L D R2 B'
F' L2 B2 L D B' R2
F' L2 B2 L B' D R2
F L2 B2 U' L F2 B'
F L2 B2 U' L B' F2
F L2 B2 U' F2 L B'
L' U F' B2 L B R'
L' U B2 L F' B R'
L' U B2 L B F' R'
L' U B2 F' L B R'
R' U' R F R U' F2
R' U' D' F L' R U'
R' U' D' F R L' U'
R' U' F L R U' F'
R' U' F L' R U' F'
R' U' F L2 R U' F'
R' U' F R L U' F'
R' U' F R L' U' F'
R' U' F R L2 U' F'
R' U' F R U' D F'
R' U' F R U' D' F'
R' U' F R U' D2 F'
R' U' F R U' F' D
R' U' F R U' F' D'
R' U' F R U' F' D2
R' U' F R D U' F'
R' U' F R D' U' F'
R' U' F R D2 U' F'
D2 R' U' F R U' F'
D' R' U' F R U' F'
D R' U' F R U' F'
R' U2 R F' D B R2
R' U2 R F' B D R2
R' U2 R B F' D R2
F R2 L' U' F2 B' L'
F R2 L' U' B' F2 L'
F' R2 U F2 U' L' B'
F R2 F2 L' D R2 B'
F R2 F2 L' D B' R2
F R2 F2 L' B' D R2
F R2 F2 D L' R2 B'
F R2 F2 D L' B' R2
F R2 F2 D R2 L' B'
L D F L' R' U2 F2
L D F R' L' U2 F2
L D F R' U2 F2 R
L D F' R D2 L2 B2
L D F' R D2 B2 L2
L D F' D2 B2 L R
L D F' D2 B2 R L
F' U R2 F2 U' L' B'
F' U F2 U R' F' U2
R' D' U' F L' R U'
R' D' U' F R L' U'
B2 U' F R U' L F2
B2 U' F R U' F2 L
F U' F2 D' B2 L B'
F U' F2 B2 D' L B'
B2 U2 L D F' R B
F U' B2 F2 D' L B'
F' U2 R' U2 D R2 B
F' U2 R' D U2 R2 B
F' U2 R' D F' U2 R2
F' U2 R' D' L2 F' U2
F' U2 R' D' F' L2 U2
F' U2 R' F' U' F' U'
F' U2 D R' F' U2 R'
F' U2 D' L2 R' F' U2
F' U2 D' R' L2 F' U2
F' U2 D' R' F' L2 U2
U' F R U R2 U2 F2
U' F R U' F2 D2 L2
U F R2 U' F2 L' B'
U F U R' F' U2 F'
F' D L' B2 L B R2
F' D L2 B2 L R2 B'
F' D L2 B2 L B' R2
F' D L2 B2 R2 L B'
F' D R2 U2 R U2 B
F' D R2 F2 L' F2 B'
F' D R2 F2 L' B' F2
U' F B2 R U' L F2
U' F B2 R U' F2 L
F' D U2 R' F' U2 R'
F' D F2 R2 F2 L' B'
F' D B' L' R2 B' L
F' D B' L' B' L R2
F' D B' L' B' R2 L
F' D B' R2 L' B' L
F' D B2 L' R2 B' L2
F' D B2 L' B' L2 R2
F' D B2 L' B' R2 L2
F' D B2 R2 L' B' L2
R2 F' D R2 F' L' B'
F D' L2 U' B2 L B'
F D' L2 B2 U' L B'
L2 F' B2 L B' D' R2
F' D' U2 L2 R' F' U2
F' D' U2 R' L2 F' U2
F' D' U2 R' F' L2 U2
U F' B2 D L R2 B'
U F' B2 D L B' R2
U F' B2 D R2 L B'
R2 B R U' F R U'
R' B U' F R U' F'
B' F L' U' F2 B' L
B' F L' U' B' L F2
B' F L' U' B' F2 L
B2 F L F2 D R2 B
B2 F L' U' F2 B' L2
B2 F L' U' B' L2 F2
B2 F L' U' B' F2 L2
L2 B' L U F' B' L
L2 B' L U B' L F'
L2 B' L U B' F' L
B2 F U' F2 D' L B'
B' F' L' B' L D R2
B' F' L' B' D L R2
B' F' L' B' D R2 L
B' F' L' B' D R2 L
L2 B' U L F' B' L
L2 B' U L B' L F'
L2 B' U L B' F' L
F' B' L' B' L D R2
F' B' L' B' D L R2
F' B' L' B' D R2 L
F' B' L' B' D R2 L
B2 F' L' B' L2 D R2
L2 B' U F' L B' L
R' B' U' F R U' F'
L2 B' U F' B' L B'
L2 B' U B' L F' B'
L2 B' U B' L B' F'
L2 B' U B' F' L B'
F B' L' U' F2 B' L
F B' L' U' B' L F2
F B' L' U' B' F2 L
B2 F' D L' R2 B' L2
B2 F' D L' B' L2 R2
B2 F' D L' B' R2 L2
B2 F' D R2 L' B' L2
L' B2 L F' D B R2
L' B2 L F' B D R2
L' B2 L B F' D R2
U2 B2 L D F' R B
L2 B2 L F' B' D' R2
L2 B2 L B' D' F' R2
L2 B2 L B' F' D' R2
F' B2 L' B' L2 D R2
F B2 L F2 D R2 B
F B2 L' U' F2 B' L2
F B2 L' U' B' L2 F2
F B2 L' U' B' F2 L2
R' B2 U' F R U' F'
U' B2 F R U' L F2
U' B2 F R U' F2 L
F' B2 D L' R2 B' L2
F' B2 D L' B' L2 R2
F' B2 D L' B' R2 L2
F' B2 D R2 L' B' L2
F B2 U' F2 D' L B'
L2 B2 F' L B' D' R2
U B2 F' D L R2 B'
U B2 F' D L B' R2
U B2 F' D R2 L B'
