U R B2 U' F' R' B'
B' R' B' U B2 L U2
B' R' B' U' R' D2 F2
B' R' B' U' D2 R' F2
B' R' B' U' D2 F2 R'
B' R' B' D L2 U' R'
B' R' B' D2 U' R' F2
B' R' B' D2 U' F2 R'
B' R2 B' R U' R2 F'
U2 F R B2 U' F' R'
B' D R' B' L U' R'
U2 F B2 R U' F' R2
B2 D' F L' U' R' B
B2 D' F2 U' R' F' B
B2 D' F2 U' R' B F'
D2 F2 U' L F B' U2
D2 F2 U' L B' F U2
R2 B' R' B' U' F' R'
U B2 R U' F' B R2
U B2 R U' B F' R2
U2 B2 U' R F' B R2
U2 B2 U' R B F' R2
R B2 U' D' F' R' B
R B2 U' F' D' R' B
U2 B2 F R U' F' R2
R B2 D' U' F' R' B
