U' L D B2 R' F' L'
D2 L F L R U R
D2 L F R L U R
F' L' R2 F2 B' U' R
F' L' R2 B' U L' U2
F' L' R2 B' F2 U' R
R2 L' B' U L' B' U2
F' L' F2 B' R2 U' R'
F' L' B' R2 U L' U2
F' L' B' R2 F2 U' R
F' L' B' F2 R2 U' R'
F' L2 U' L R2 B' U'
F' L2 U' L B' R2 U'
F' L2 U' R2 L B' U'
L' R2 B' U L' B' U2
R2 U L' B' L' R' U2
R2 U L' B' R' L' U2
R2 U L2 U2 F' L' F
R2 U B L2 U2 L' F
R2 U' R D2 R2 F' L'
R2 U' R' D2 F' L' R2
R2 U' R' D2 F' R2 L'
R2 U' R' F' D2 L' R2
R2 U' R' F' D2 R2 L'
R2 U' D2 R' F' L' R'
R2 U' D2 R' F' R' L'
F' R2 L' F2 B' U' R
F' R2 L' B' U L' U2
F' R2 L' B' F2 U' R
F' R2 D L' F2 B' U'
F' R2 D L' B' F2 U'
F' R2 D2 L' B' U' R2
L D F R U B2 R'
R2 D F' L' F' B' U'
R2 D F' L' B' F' U'
R' D' B2 L F R U
R' D2 R' U' R' F' L'
R2 D2 U' R' F' L' R'
R2 D2 U' R' F' R' L'
R2 D2 F' L' B' U' R2
F' D L' F2 B' U' B'
F' D L' B' F2 U' B'
R2 F D F2 L' B' U'
L F D R U B2 R'
R2 F' L' F2 B' U' R
R2 F' L' B' U L' U2
R2 F' L' B' F2 U' R
D F' L' F' B' U' B'
D F' L' B' F' U' B'
F D F2 L' B' U' B'
R2 F' D L' F2 B' U'
R2 F' D L' B' F2 U'
R2 F' D2 L' B' U' R2
U B L D F B2 R'
U B L D B2 R' F
U B L D B2 F R'
U B L F D B2 R'
L' B' R2 U L' B' U2
