D' B U L R' B'
D' B U R' L B'
U' L U F B' L' U
U' L U B' F L' U
B L D2 B' L U L'
B2 L F B' L' U L2
B L F B' L' U L
F L B L2 B2 U L'
D' L B U L R' B2
D' L B U R' L B2
F L B' L2 U' R' U2
F2 L B' U' R' F' U2
B2 L B' U D' L B'
F L B' U D' B2 L
B2 L B' D' U L B'
F L B' D' U B2 L
B2 L B' F L' U L2
B L B' F L' U L
F L' U2 F U R U2
F L' F2 U2 F' U' L'
F L' B U2 F U' L
B2 L2 F L' B' U L
L2 U2 R' F' R U' L'
L D B' U' R' U2 B
B' U D' B2 L B' R'
B U D' L B R' B2
R2 D' F2 B L R' B'
R2 D' F2 B R' L B'
R2 D' B L R' F2 B'
R2 D' B L R' B' F2
R2 D' B L F2 R' B'
L2 D' B U L B' R'
R2 D' B R' L F2 B'
R2 D' B R' L B' F2
R2 D' B R' F2 L B'
R2 D' B F2 L R' B'
R2 D' B F2 R' L B'
L D' B' U B2 L B'
L D2 B' L U' R' U2
F' U2 D2 R F' U' L'
L2 F L' B' U' R' U2
D' F B U L R' B'
D' F B U R' L B'
L2 F B L' B' U L2
L F B L' B2 U L2
L2 F B2 L' B' U L
L F B' L' U' R' U2
F D' L' B U L R'
F D' L' B U R' L
D' F' B U L R' B'
D' F' B U R' L B'
B' D' U B2 L B' R'
B D' U L B R' B2
F D' B L' U L2 R'
F D' B L' U R' L2
L' F2 U2 F' U' L' B'
D' F2 B U L R' B'
D' F2 B U R' L B'
L F2 B' U' R' F' U2
F' D2 U2 R F' U' L'
D' B L' U L2 R' B'
D' B L' U R' L2 B'
D' B U L R B' R2
D' B U L R' D B'
D' B U L R' D' B'
D' B U L R' D2 B'
D' B U L R' B' D
D' B U L R' B' D'
D' B U L R' B' D2
D' B U L R2 B' R
D' B U L D R' B'
D' B U L D' R' B'
D' B U L D2 R' B'
D' B U R L B' R2
D' B U R' L D B'
D' B U R' L D' B'
D' B U R' L D2 B'
D' B U R' L B' D
D' B U R' L B' D'
D' B U R' L B' D2
D' B U R2 L B' R
D' B U D2 L R' B
D' B U D2 R' L B
L2 B U D' L B' R'
L B U D' L R2 B'
L B U D' L B' R2
L B U D' R2 L B'
B2 F L B' L2 U L'
B F L B' L2 U L2
B F L' U2 F U' L2
F2 B L2 U L' B' R'
F B L B' L2 U L2
F B L' U2 F U' L2
L2 B D' U L B' R'
D' B D2 U L R' B
D' B D2 U R' L B
D' B F U L R' B'
D' B F U R' L B'
L B D' U L R2 B'
L B D' U L B' R2
L B D' U R2 L B'
L2 B F L' B' U L2
D' B F' U L R' B'
D' B F' U R' L B'
D' B F2 U L R' B'
D' B F2 U R' L B'
L B F L' B2 U L2
D' B' U B2 L R' B'
D' B' U B2 R' L B'
D' B' U' L R' U2 B'
D' B' U' R' L U2 B'
L B' U D' B2 L B'
L B' U B2 D' L B'
L B' U' D R' U2 B
L B' D U' R' U2 B
L B' D' U B2 L B'
L B' F L' U' R' U2
L B' F2 U' R' F' U2
F B2 L B' L2 U L'
B F2 L2 U L' B' R'
L2 B2 F L' B' U L
