U2 L D F' R U'
U' F U' L F2 U'
U' F U' F2 L U'
U2 F' L U F2 U2
U2 F' L U F2 U2
U2 F' L U' D2 B2
U2 F' L D R2 U'
U2 F' L D2 U' B2
U2 F' D L R2 U'
U2 F' D R2 L U'
U2 F' D2 L U' B2
U2 L D F' R U' D
U2 L D F' R U' D'
U2 L D F' R U' D2
U2 L D F' R D U'
U2 L D F' R D' U'
U2 L D F' R D2 U'
U2 L D F' D R U'
U2 L D F' D' R U'
U2 L D F' D2 R U'
F' L D2 R' B U' B
U2 L D2 F' R' U' B
U2 L F' U' L B' L'
U2 L F' U2 L U B'
U2 L F' D2 R' U' B
F L' U' F2 L2 B' U'
B2 L2 R2 B R U B2
B L2 R2 B R' U B2
L2 R2 B U2 L' U' B2
R2 L2 B U2 L' U' B2
F' L2 D R2 B' L' U'
F' L2 D B' L' R2 U'
F' L2 D B' R2 L' U'
L2 U L' F' U' L B'
F' L2 B' L' U F2 U2
F' L2 B' L' U' D2 B2
F' L2 B' L' D R2 U'
F' L2 B' L' D2 U' B2
F' L2 B' D L' R2 U'
F' L2 B' D R2 L' U'
F' L2 B' D2 L' U' B2
L2 U B' U L' F' U'
R U' F U' L F U'
B2 R' U' D' F L' U2
B2 R' D' U' F L' U2
B2 R' D2 L2 U B' R'
L2 U2 L' D F' R U'
L' U2 L2 F' R U' B
L' U2 F' L2 R U' B
L' U2 F' R L2 U' B
B2 R2 L2 B R U B2
B R2 L2 B R' U B2
F R2 U' L F2 B U'
F R2 U' L B F2 U'
F R2 U' F2 L B U'
B2 R2 B L2 R U B'
B2 R2 B R L2 U B'
B2 R2 B R U' F U2
B R2 B L2 R' U B'
B R2 B R' L2 U B'
B R2 B R' U' F U2
U2 D L D F' R U'
L D F' R U2 F U
U' D F U' L F2 U'
U' D F U' F2 L U'
U2 D F' L U F2 U2
U2 D F' L U' D2 B2
U2 D F' L D R2 U'
U2 D F' L D2 U' B2
U2 D F' D L R2 U'
U2 D F' D R2 L U'
U2 D F' D2 L U' B2
F U D2 F' B2 R' U
F U D2 B2 F' R' U
F U F' U2 L F' U'
F U F' U2 F' L U'
U2 D' L D F' R U'
F U' L F2 U2 F U
F U' L' F2 L2 B' U'
D' U' F U' L F2 U'
U' D' F U' L F2 U'
D' U' F U' F2 L U'
U' D' F U' F2 L U'
D2 U' F U' L F2 U'
D2 U' F U' F2 L U'
D U' F U' L F2 U'
D U' F U' F2 L U'
U2 D' F' L U F2 U2
U2 D' F' L U' D2 B2
U2 D' F' L D R2 U'
U2 D' F' L D2 U' B2
U2 D' F' D L R2 U'
U2 D' F' D R2 L U'
U2 D' F' D2 L U' B2
L' D2 L' R2 B U B2
D' U2 L D F' R U'
D2 U2 L D F' R U'
U2 D2 L D F' R U'
D U2 L D F' R U'
L' D2 R2 L' B U B2
F U' F2 L2 B' L' U'
L' D2 R2 B L' U B'
U' D2 F U' L F2 U'
U' D2 F U' F2 L U'
B' U2 L' F' L' U' B'
D' U2 F' L U F2 U2
D' U2 F' L U' D2 B2
D' U2 F' L D R2 U'
D' U2 F' L D2 U' B2
D2 U2 F' L U F2 U2
D2 U2 F' L U' D2 B2
D2 U2 F' L D R2 U'
D2 U2 F' L D2 U' B2
D' U2 F' D L R2 U'
D' U2 F' D R2 L U'
D' U2 F' D2 L U' B2
D2 U2 F' D L R2 U'
D2 U2 F' D R2 L U'
U2 D2 F' L U F2 U2
U2 D2 F' L U' D2 B2
U2 D2 F' L D R2 U'
U2 D2 F' L D2 U' B2
D2 U2 F' D2 L U' B2
D U2 F' L U F2 U2
D U2 F' L U' D2 B2
D U2 F' L D R2 U'
D U2 F' L D2 U' B2
U2 D2 F' D L R2 U'
U2 D2 F' D R2 L U'
U2 D2 F' D2 L U' B2
D U2 F' D L R2 U'
D U2 F' D R2 L U'
D U2 F' D2 L U' B2
U' F L U' F2 U' F2
U' F L' U' L2 F2 U'
U' F L' U' F2 L2 U'
U' F L' U2 D R2 F2
U' F L' U2 D F2 R2
U' F L' D U2 R2 F2
U' F L' D U2 F2 R2
U' F L' D' L2 B2 U2
U' F L' D' B2 L2 U2
U2 F L F2 U F2 U2
U2 F L F2 U' D2 B2
U2 F L F2 D R2 U'
U2 F L F2 D2 U' B2
U' F L2 U' L' F2 U'
B' U2 F' L' U F2 U2
B' U2 F' L' U' D2 B2
B' U2 F' L' D R2 U'
B' U2 F' L' D2 U' B2
B' U2 F' D L' R2 U'
B' U2 F' D R2 L' U'
B' U2 F' D2 L' U' B2
U' F U D2 B2 R' U
U' F U' L U' D R2
U' F U' L D U' R2
U' F U' L F2 U' D
U' F U' L F2 U' D'
U' F U' L F2 U' D2
U' F U' L F2 D U'
U' F U' L F2 D' U'
U' F U' L F2 D2 U'
U' F U' L' F2 L2 U'
U' F U' D L U' R2
U' F U' F' L F' U'
U' F U' F2 L U' D
U' F U' F2 L U' D'
U' F U' F2 L U' D2
U' F U' F2 L D U'
U' F U' F2 L D' U'
U' F U' F2 L D2 U'
U' F U' F2 D L U'
U' F U' F2 D' L U'
U' F U' F2 D2 L U'
U F U L F2 R U'
U2 F U' F2 L U' L'
U' F D U' L U' R2
F' D L2 R2 B' L' U'
U' F D' L2 U' L' U'
F' D L2 B' L' R2 U'
F' D L2 B' R2 L' U'
U' F D2 U B2 R' U
F' D R2 L2 B' L' U'
U2 F' L R U F2 U2
U2 F' L R U' D2 B2
U2 F' L R D R2 U'
U2 F' L R D2 U' B2
U2 F' L R' U F2 U2
U2 F' L R' U' D2 B2
U2 F' L R' D R2 U'
U2 F' L R' D2 U' B2
U2 F' L R2 U F2 U2
U2 F' L R2 U' D2 B2
U2 F' L R2 D R2 U'
U2 F' L R2 D2 U' B2
U2 F' L U F2 U2 D
U2 F' L U F2 U2 D'
U2 F' L U F2 U2 D2
U2 F' L U F2 D U2
U2 F' L U F2 D' U2
U2 F' L U F2 D2 U2
U2 F' L U' D2 B2 D
U2 F' L U' D2 B2 D'
U2 F' L U' D2 B2 D2
U2 F' L U' B D2 B2
U2 F' L U' B' D2 B2
U2 F' L U' B2 D2 B2
U2 F' L U2 D' L2 U
U2 F' L D R2 U' D
U2 F' L D R2 U' D'
U2 F' L D R2 U' D2
U2 F' L D R2 D U'
U2 F' L D R2 D' U'
U2 F' L D R2 D2 U'
U2 F' L D' U2 L2 U
U2 F' L D2 R U' B2
U2 F' L D2 R' U' B2
U2 F' L D2 R2 U' B2
U2 F' L D2 U' B2 D
U2 F' L D2 U' B2 D'
U2 F' L D2 U' B2 D2
U F' L U F2 R U2
U F' L U' L' D2 B2
U F' L U' D2 L' B2
U F' L U' D2 B2 L'
U2 F' L' D R2 U' F2
U F' L D R2 U' L'
U F' L D2 U' L' B2
U F' L D2 U' B2 L'
U2 F' L2 D L' R2 U'
U2 F' L2 D R2 L' U'
U2 F' L2 D2 L' U' B2
U2 F' R L U F2 U2
U2 F' R L U' D2 B2
U2 F' R L D R2 U'
U2 F' R L D2 U' B2
U2 F' R D L R2 U'
U2 F' R D R2 L U'
U2 F' R D2 L U' B2
U2 F' R' L U F2 U2
U2 F' R' L U' D2 B2
U2 F' R' L D R2 U'
U2 F' R' L D2 U' B2
U2 F' R' D L R2 U'
U2 F' R' D R2 L U'
U2 F' R' D2 L U' B2
U2 F' R2 L U F2 U2
U2 F' R2 L U' D2 B2
U2 F' R2 L D R2 U'
U2 F' R2 L D2 U' B2
U2 F' R2 D L R2 U'
U2 F' R2 D R2 L U'
U2 F' R2 D2 L U' B2
U2 F' U F2 U' L U'
L F' U' L D' B' L
U2 F' D L R2 U' D
U2 F' D L R2 U' D'
U2 F' D L R2 U' D2
U2 F' D L R2 D U'
U2 F' D L R2 D' U'
U2 F' D L R2 D2 U'
U2 F' D L U' D B2
U2 F' D L D U' B2
U2 F' D R2 L U' D
U2 F' D R2 L U' D'
U2 F' D R2 L U' D2
U2 F' D R2 L D U'
U2 F' D R2 L D' U'
U2 F' D R2 L D2 U'
U2 F' D R2 D L U'
U2 F' D R2 D' L U'
U2 F' D R2 D2 L U'
L F' U2 D F L' U
L F' U2 F L U B'
U2 F' D' L U2 L U
U F' D L R2 U' L'
U F' D R2 L U' L'
L F' D U2 F L' U
U2 F' D2 L R U' B2
U2 F' D2 L R' U' B2
U2 F' D2 L R2 U' B2
U2 F' D2 L U' B2 D
U2 F' D2 L U' B2 D'
U2 F' D2 L U' B2 D2
U2 F' D2 L D' R2 U'
U2 F' D2 R L U' B2
U2 F' D2 R' L U' B2
U2 F' D2 R2 L U' B2
U F' D2 L U' L' B2
U F' D2 L U' B2 L'
U2 F2 R2 F L U' B
F D2 U F' B2 R' U
F D2 U B2 F' R' U
L2 B U2 L' F' U' B2
L2 B' U L' F' U' L
R' B2 L2 R' B U B2
R' B2 R' L2 B U B2
R' B2 R' B L2 U B'
R' B2 R' B U' F U2
R2 B2 R' B' L2 U B'
R2 B2 R' B' U' F U2
L2 B2 U2 L' F' U' B
