B' L U' B2 U' B
B' L U2 D B' L2
B' L D U2 B' L2
B' L D' R2 U2 B'
B U B2 L U2 B'
B U' D2 R' F2 B
B U' D2 R' B F2
B U' D2 F2 R' B
B D2 U' R' F2 B
B D2 U' R' F2 B
B D2 U' R' B F2
B D2 U' F2 R' B
B' L R U' B2 U' B
B' L R U2 D B' L2
B' L R D U2 B' L2
B' L R D' R2 U2 B'
B' L R' U' B2 U' B
B' L R' U2 D B' L2
B' L R' D U2 B' L2
B' L R' D' R2 U2 B'
B' L R2 U' B2 U' B
B' L R2 U2 D B' L2
B' L R2 D U2 B' L2
B' L R2 D' R2 U2 B'
B' L U D2 F2 U B'
B L U B2 L U2 B
B' L U' R B2 U' B
B' L U' R' B2 U' B
B' L U' R2 B2 U' B
B L U' R' D2 F2 B'
B L U' R' D2 B' F2
B L U' D2 R' F2 B'
B L U' D2 R' B' F2
B L U' D2 F2 R' B'
B' L U' B2 U' D B
B' L U' B2 U' D' B
B' L U' B2 U' D2 B
B' L U' B2 U' B D
B' L U' B2 U' B D'
B' L U' B2 U' B D2
B' L U' B2 D U' B
B' L U' B2 D' U' B
B' L U' B2 D2 U' B
B' L U2 L2 D L2 B'
B' L U2 D B L2 B2
B' L U2 D B' L2 D
B' L U2 D B' L2 D'
B' L U2 D B' L2 D2
B' L U2 D B2 L2 B
B' L U2 D' B' D2 L2
B' L U2 D2 B' D' L2
B' L U2 B' U B' U'
B' L D R U2 B' L2
B' L D R' U2 B' L2
B' L D R2 U2 B' L2
B' L D U2 B L2 B2
B' L D U2 B' L2 D
B' L D U2 B' L2 D'
B' L D U2 B' L2 D2
B' L D U2 B2 L2 B
B' L D F U2 B' L2
B' L D F' U2 B' L2
B' L D F2 U2 B' L2
B' L D' R2 U2 D B'
B' L D' R2 U2 D' B'
B' L D' R2 U2 D2 B'
B' L D' R2 U2 B' D
B' L D' R2 U2 B' D'
B' L D' R2 U2 B' D2
B' L D' R2 D U2 B'
B' L D' R2 D' U2 B'
B' L D' R2 D2 U2 B'
B' L D' R2 F U2 B'
B' L D' R2 F' U2 B'
B' L D' R2 F2 U2 B'
B' L D' U2 B' D2 L2
B' L D' F R2 U2 B'
B' L D' F' R2 U2 B'
B' L D' F2 R2 U2 B'
B' L D2 U F2 U B'
B' L D2 U2 B' D' L2
B L D2 U' R' F2 B'
B L D2 U' R' B' F2
B L D2 U' F2 R' B'
B' L F U' B2 U' B
B' L F U2 D B' L2
B' L F D U2 B' L2
B' L F D' R2 U2 B'
B' L F' U' B2 U' B
B' L F' U2 D B' L2
B' L F' D U2 B' L2
B' L F' D' R2 U2 B'
B' L F2 U' B2 U' B
B' L F2 U2 D B' L2
B' L F2 D U2 B' L2
B' L F2 D' R2 U2 B'
B L' U F B2 L U2
B L' U B2 F L U2
B L' D L2 U' R' B'
B' L' F L2 U' B2 U'
B' L' F L2 U2 D L2
B' L' F L2 D U2 L2
B' L' F L2 D' R2 U2
B' L2 D L' U2 B' L'
B' L2 D' L' R2 U2 B'
B' L2 D' R2 L' U2 B'
B' R L U' B2 U' B
B' R L U2 D B' L2
B' R L D U2 B' L2
B' R L D' R2 U2 B'
L U B L U' R' B2
B' R' L U' B2 U' B
B' R' L U2 D B' L2
B' R' L D U2 B' L2
B' R' L D' R2 U2 B'
R' U' B' L R' U2 B'
R' U' B' R' L U2 B'
L U' B U' R' F' B2
L U' B U' R' B2 F'
B' R2 L U' B2 U' B
B' R2 L U2 D B' L2
B' R2 L D U2 B' L2
B' R2 L D' R2 U2 B'
B U L B2 L U2 B
B U L' F B2 L U2
B U L' B2 F L U2
B U L2 B2 L F U2
B U D2 R' F2 L' B
B U D2 R' F2 B L'
B U D2 R' B F2 L'
B U F B2 L U2 B'
B U F' B2 L U2 B'
B U F2 B2 L U2 B'
B U B2 L U2 D B'
B U B2 L U2 D' B'
