B2 L R D' F' B2
B2 L R D' B2 F'
B2 L R F' D' B2
B2 L R F' D' B2
B2 L' U L2 R F'
B2 L' U R L2 F'
B2 L' U R F' L2
R' U L' U R2 F'
L' U R D2 L2 F'
L' U R D2 F' L2
L' U R F' D2 L2
B2 R L D' F' B2
B2 R L D' B2 F'
B2 R L F' D' B2
L' U' R' U2 R2 F'
L' U' R' B U2 R2
B2 R F' D' L B'
R' B U L' U R2
L' B2 U L R F'
L' B2 U R L F'
L' B2 U R F' L
R' L U L2 U R2 F'
B2 L R U' L2 U F'
B2 L R D' F' B2 D
B2 L R D' F' B2 D'
B2 L R D' F' B2 D2
B2 L R D' B2 D F'
B2 L R D' B2 D' F'
B2 L R D' B2 D2 F'
B2 L R D' B2 F' D
B2 L R D' B2 F' D'
B2 L R D' B2 F' D2
B2 L R D2 F' D B2
B2 L R F' U' L2 U
B2 L R F' D' B2 D
B2 L R F' D' B2 D'
B2 L R F' D' B2 D2
B2 L R F' B D' B2
B2 L R F' B' D' B2
B2 L R F' B2 D' B2
B2 L R F2 D' F B2
B2 L R F2 D' B2 F
B2 L R B D' F' B2
B2 L R B D' B2 F'
B2 L R B F' D' B2
B2 L R B' D' F' B2
B2 L R B' D' B2 F'
B2 L R B' F' D' B2
B2 L R B2 D' F' B2
B2 L R B2 D' B2 F'
B2 L R B2 F' D' B2
B2 L R2 D' R' F' B2
B2 L R2 D' R' B2 F'
R' L U2 R2 D' F' B2
R' L U2 R2 D' B2 F'
R' L U2 R2 F' D' B2
B2 L U' L2 U R F'
L' R D2 L2 D' F' B2
L' R D2 L2 D' B2 F'
L' R D2 L2 F' D' B2
L R D' B2 D' L2 F'
L R D' B2 D' F' L2
R L D' B2 D' L2 F'
R L D' B2 D' F' L2
L R D2 L2 D F' B2
L R D2 L2 D B2 F'
L R D2 L2 F' D B2
R L D2 L2 D F' B2
R L D2 L2 D B2 F'
R L D2 L2 F' D B2
L' R D2 F' L2 D' B2
L R D2 F' L2 D B2
R L D2 F' L2 D B2
D L D' B2 L R F'
D L D' B2 R L F'
D L D' B2 R F' L
B2 L D' B2 D R F'
L' R F' D2 L2 D' B2
L R F' D' B2 D' L2
L R F' D2 L2 D B2
R L F' D' B2 D' L2
R L F' D2 L2 D B2
R' L B U L2 U R2
R' L B U2 R2 D' B2
B2 L B R D' F' B2
B2 L B R D' B2 F'
B2 L B R F' D' B2
L2 R' U L U R2 F'
L R' U L2 U R2 F'
B2 L B' R D' F' B2
B2 L B' R D' B2 F'
B2 L B' R F' D' B2
B2 L B2 R D' F' B2
B2 L B2 R D' B2 F'
B2 L B2 R F' D' B2
R' L' U2 R2 D F' B2
R' L' U2 R2 D B2 F'
L' R' U2 R2 D F' B2
L' R' U2 R2 D B2 F'
R' L' U2 R2 F' D B2
L' R' U2 R2 F' D B2
L R' U2 R2 D' F' B2
L R' U2 R2 D' B2 F'
L R' U2 R2 F' D' B2
B2 L' R F' L2 D' B2
B2 L' R' U L2 R2 F'
F2 L' R' U' R2 U' F'
B2 L' R' U R2 L2 F'
B2 L' R' U R2 F' L2
F2 L' R' D B U2 B
F2 L' R' D' F2 B U2
F2 L' R' D' B F2 U2
F2 L' R' B U' R2 U'
F2 L' R' B U2 D B2
F2 L' R' B D U2 B2
F2 L' R' B D' F2 U2
D2 L' U R D2 F L2
D2 L' U R F D2 L2
B2 L' U L R F' L
U' L' U R D2 L2 F'
U' L' U R D2 F' L2
B2 L' U L2 R D F'
B2 L' U L2 R D' F'
B2 L' U L2 R D2 F'
B2 L' U L2 R F' D
B2 L' U L2 R F' D'
B2 L' U L2 R F' D2
U' L' U R F' D2 L2
U2 L' U R D2 L2 F'
U2 L' U R D2 F' L2
R L' D2 L2 D' F' B2
R L' D2 L2 D' B2 F'
U2 L' U R F' D2 L2
B2 L' U R L F' L
R L' D2 L2 F' D' B2
B2 L' U R L2 D F'
B2 L' U R L2 D' F'
B2 L' U R L2 D2 F'
B2 L' U R L2 F' D
B2 L' U R L2 F' D'
B2 L' U R L2 F' D2
B2 L' U R F L2 F2
B2 L' U R F' L2 D
B2 L' U R F' L2 D'
B2 L' U R F' L2 D2
U L' U R D2 L2 F'
U L' U R D2 F' L2
U L' U R F' D2 L2
R L' D2 F' L2 D' B2
D2 L' U' R' U2 R2 F
D2 L' U' R' U2 F R2
U' L' U' R' U2 R2 F'
U' L' U' R' B U2 R2
B2 L' U' R F' L2 B'
U2 L' U' R' U2 R2 F'
U2 L' U' R' B U2 R2
U L' U' R' U2 R2 F'
U L' U' R' B U2 R2
R L' F' D2 L2 D' B2
R' L' B U2 R2 D B2
L' R' B U2 R2 D B2
L R' B U L2 U R2
L R' B U2 R2 D' B2
R' L2 U L U R2 F'
B2 L' B U L2 R F'
B2 L' B U R L2 F'
B2 L' B U R F' L2
B L' B U L R F'
B L' B U R L F'
B L' B U R F' L
B' L' B' U L R F'
B' L' B' U R L F'
B' L' B' U R F' L
B2 L' B' U L2 R F'
B2 L' B' U R L2 F'
B2 L' B' U R F' L2
D2 L' B2 U R F L
U' L' B2 U L R F'
U' L' B2 U R L F'
U' L' B2 U R F' L
B2 L' B2 U L2 R F'
B2 L' B2 U R L2 F'
B2 L' B2 U R F' L2
U2 L' B2 U L R F'
U2 L' B2 U R L F'
U2 L' B2 U R F' L
U L' B2 U L R F'
U L' B2 U R L F'
U L' B2 U R F' L
L' U L R D2 L2 F'
L' U L R D2 F' L2
L' U L R F' D2 L2
R' U L' R U R F'
L' U L' R D2 L2 F'
L' U L' R D2 F' L2
L' U L' R F' D2 L2
R' U L' U R2 D F'
R' U L' U R2 D' F'
R' U L' U R2 D2 F'
R' U L' U R2 F' D
R' U L' U R2 F' D'
R' U L' U R2 F' D2
R' U L' U F R2 F'
R' U L' U F' R2 F'
R' U L' U F2 R2 F'
R' U L' U' B U2 R2
L' U L2 R D2 L2 F'
L' U L2 R D2 F' L2
L' U L2 R F' D2 L2
R' U R L' U R F'
L' U R L D2 L2 F'
L' U R L D2 F' L2
L' U R L F' D2 L2
L' U R L' D2 L2 F'
L' U R L' D2 F' L2
L' U R L' F' D2 L2
L' U R L2 D2 L2 F'
L' U R L2 D2 F' L2
L' U R L2 F' D2 L2
L' U R U2 R2 B U2
L' U R D F' D L2
L' U R D2 L F' L
L' U R D2 L2 D F'
L' U R D2 L2 D' F'
