F2 L' R2 U F'
F2 L' U' B U2
F2 R2 L' U F'
F2 L' R2 U D F'
F2 L' R2 U D' F'
F2 L' R2 U D2 F'
F2 L' R2 U F' D
F2 L' R2 U F' D'
F2 L' R2 U F' D2
F2 L' R2 D U F'
F2 L' R2 D' U F'
F2 L' R2 D2 U F'
F2 L' U R2 F' R2
F2 L' U' D B U2
F2 L' U' D' B U2
F2 L' U' D2 B U2
F2 L' U' B U2 D
F2 L' U' B U2 D'
F2 L' U' B U2 D2
F2 L' U' B D U2
F2 L' U' B D' U2
F2 L' U' B D2 U2
F2 L' D R2 U F'
F2 L' D U' B U2
F2 L' D' R2 U F'
F2 L' D' U' B U2
F2 L' D2 R2 U F'
F2 L' D2 U' B U2
F2 R D2 L' U F
F2 R2 L' U D F'
F2 R2 L' U D' F'
F2 R2 L' U D2 F'
F2 R2 L' U F' D
F2 R2 L' U F' D'
F2 R2 L' U F' D2
F2 R2 L' D U F'
F2 R2 L' D' U F'
F2 R2 L' D2 U F'
F2 R2 D L' U F'
F2 R2 D' L' U F'
F2 R2 D2 L' U F'
F R2 F L' U F2
B U F2 B' L' U
B U B' F2 L' U
F2 U' B U L' U
F2 D L' R2 U F'
F2 D L' U' B U2
F2 D R2 L' U F'
F2 D' L' R2 U F'
F2 D' L' U' B U2
L' F2 L' R2 U F'
L' F2 L' U' B U2
F2 D' R2 L' U F'
L2 F2 L' R2 U F'
L2 F2 L' U' B U2
L F2 L' R2 U F'
L F2 L' U' B U2
L' F2 R2 L' U F'
L2 F2 R2 L' U F'
L F2 R2 L' U F'
R2 F2 U2 R' U' F
F2 D2 L' R2 U F'
F2 D2 L' U' B U2
F2 D2 R2 L' U F'
U' B U F2 L' U
F2 L R2 U D' F' B2
F2 L R2 U D' B2 F'
F2 L R2 U F' D' B2
F2 L R2 D' U F' B2
F2 L R2 D' U B2 F'
F2 L U' D F2 B U2
F2 L U' D B F2 U2
F2 L U' D' B U2 B
F2 L U' B U L2 U
F2 L U' B U2 D' B2
F2 L U' B D F2 U2
F2 L U' B D' U2 B2
F2 L U2 D2 R2 U' F'
F2 L D U' F2 B U2
F2 L D U' B F2 U2
F2 L D' R2 U F' B2
F2 L D' R2 U B2 F'
F2 L D' U' B U2 B
F2 L D2 U2 R2 U' F'
R2 L F2 U2 R' U' F
F' L F' L' R2 U F'
F' L F' L' U' B U2
F' L F' R2 L' U F'
F2 L B2 L2 B2 U F
F2 L' R U R F' R'
F2 L' R' U2 L U' F
F2 L' R' D R' U F'
F2 L' R' D' R' U F'
F2 L' R' D2 R' U F'
F2 L' R2 U L' F' L
F2 L' R2 U L2 F' L2
F2 L' R2 U D F' D
F2 L' R2 U D F' D'
F2 L' R2 U D F' D2
F2 L' R2 U D' F' D
F2 L' R2 U D' F' D'
F2 L' R2 U D' F' D2
F2 L' R2 U D2 F' D
F2 L' R2 U D2 F' D'
F2 L' R2 U D2 F' D2
F2 L' R2 U F2 D F
F2 L' R2 U F2 D' F
F2 L' R2 U F2 D2 F
F2 L' R2 U' B U2 F'
F2 L' R2 U' B' U2 F'
F2 L' R2 U' B2 U2 F'
F2 L' R2 U2 L U' F'
F2 L' R2 U2 L' U' F'
F2 L' R2 U2 L2 U' F'
F2 L' R2 D U F' D
F2 L' R2 D U F' D'
F2 L' R2 D U F' D2
F2 L' R2 D' U F' D
F2 L' R2 D' U F' D'
F2 L' R2 D' U F' D2
F2 L' R2 D2 U F' D
