U' L F2 B' U' F'
U' L B' F2 U' F'
B U' L F2 B' U'
B U' L B' F2 U'
B U' F2 L B' U'
U' F2 L B' U' F
B2 L U' F2 B' L U'
B2 L U' B' L F2 U'
B L U' F2 B' U' F2
B2 L U' B' F2 L U'
B L U' B' F2 U' F2
U' L D B' U' R2 F
U' L D B' U' F R2
U' L F2 L U' F' L'
U' L F2 D B' U' F'
U' L F2 D' B' U' F'
B L F2 D R2 B' U'
U' L F2 D2 B' U' F'
B L F2 D B' R2 U'
U' L F2 B' L U' F'
U' L F2 B' L' U' F'
U' L F2 B' L2 U' F'
U' L F2 B' U' D F'
U' L F2 B' U' D' F'
U' L F2 B' U' D2 F'
U' L F2 B' U' F' D
U' L F2 B' U' F' D'
U' L F2 B' U' F' D2
U' L F2 B' D U' F'
U' L F2 B' D' U' F'
U' L F2 B' D2 U' F'
B L F2 D2 B' U' B'
B L F2 B' U F2 U2
B L F2 B' U' D2 B2
B L F2 B' D R2 U'
B L F2 B' D2 U' B2
U' L B' U' D R2 F
U' L B' U' D F R2
U' L B' D U' R2 F
U' L B' D U' F R2
U' L B' F2 L U' F'
U' L B' F2 L' U' F'
U' L B' F2 L2 U' F'
U' L B' F2 U' D F'
U' L B' F2 U' D' F'
U' L B' F2 U' D2 F'
U' L B' F2 U' F' D
U' L B' F2 U' F' D'
U' L B' F2 U' F' D2
U' L B' F2 D U' F'
U' L B' F2 D' U' F'
U' L B' F2 D2 U' F'
B L B' F2 U F2 U2
B L B' F2 U' D2 B2
B L B' F2 D R2 U'
B L B' F2 D2 U' B2
B L' U' L2 F2 B' U'
B L' U' L2 B' F2 U'
U' L2 F2 L' B' U' F
U' L2 F2 U' F' L' F
D' L2 B R' U' L U'
D' L2 B' U R' U L
B R U' L F2 B' U'
B R U' L B' F2 U'
B R U' F2 L B' U'
R' U' L F2 B' U' F'
R' U' L B' F2 U' F'
R2 U' L F2 B' U' F'
L U' L F2 U' F' L'
R2 U' L B' F2 U' F'
R U' L F2 B' U' F'
R U' L B' F2 U' F'
R' U' F2 L B' U' F
L2 U' F2 L U' F L'
R2 U' F2 L B' U' F
R U' F2 L B' U' F
B R' U' L F2 B' U'
B R' U' L B' F2 U'
L U' F2 B' L U' F
B R' U' F2 L B' U'
L U' B' L F2 U' F'
L U' B' F2 L U' F
B R2 U' L F2 B' U'
B R2 U' L B' F2 U'
B R2 U' F2 L B' U'
U' D L U' R2 F L'
U' D L U' F L' R2
U' D L U' F R2 L'
B U L F2 R B' U'
B U L F2 B' R U'
B U L B' F2 R U'
D U' L U' R2 F L'
D U' L U' F L' R2
D U' L U' F R2 L'
B2 U' L F2 B' L U'
B2 U' L B' L F2 U'
B2 U' L B' F2 L U'
B U' L D B' U' R2
B U' L F2 D B' U'
B U' L F2 D' B' U'
B U' L F2 D2 B' U'
B U' L F2 B' U' D
B U' L F2 B' U' D'
B U' L F2 B' U' D2
B U' L F2 B' D U'
B U' L F2 B' D' U'
B U' L F2 B' D2 U'
B U' L B' U' D R2
B U' L B' D U' R2
B U' L B' F2 U' D
B U' L B' F2 U' D'
B U' L B' F2 U' D2
B U' L B' F2 D U'
B U' L B' F2 D' U'
B U' L B' F2 D2 U'
B U' F' L F' B' U'
B U' F' L B' F' U'
B2 U' F2 L B' L U'
B' U' F2 B2 L B' U'
B2 U' F2 B' L B' U'
B U' F2 L D B' U'
B U' F2 L D' B' U'
B U' F2 L D2 B' U'
B U' F2 L B' U' D
B U' F2 L B' U' D'
B U' F2 L B' U' D2
B U' F2 L B' D U'
B U' F2 L B' D' U'
B U' F2 L B' D2 U'
B2 U' B' L F2 B' U'
B2 U' B' L B' F2 U'
B' U' B2 L F2 B' U'
B' U' B2 L B' F2 U'
B2 U' B' F2 L B' U'
B' U' B2 F2 L B' U'
B U2 L F2 B' U' B
B U2 L B' F2 U' B
B2 U2 D L' R2 F L'
B2 U2 D L' F L' R2
B2 U2 D L' F R2 L'
B2 U2 D R2 L' F L'
B2 U2 D R2 F L' F
B2 U2 D F L' R2 F
B2 U2 D F L' F R2
B2 U2 D F R2 L' F
B U2 F2 L B' U' B
D F R2 B L' D F2
B2 D L' U2 R2 F L'
B2 D L' U2 F L' R2
B2 D L' U2 F R2 L'
B2 D L' F L' R2 B
B2 D L' F R2 L' B
B2 D L' F R2 B L'
F2 D R2 U' L F L'
U' F' L F' B' U' F2
U' F' L B' F' U' F2
B2 D U2 L' R2 F L'
B2 D U2 L' F L' R2
B2 D U2 L' F R2 L'
B2 D U2 R2 L' F L'
B2 D U2 R2 F L' F
B2 D U2 F L' R2 F
B2 D U2 F L' F R2
B2 D U2 F R2 L' F
B2 D F L' R2 F B
B2 D F L' R2 B F
B2 D F R2 L' F B
B2 D F R2 L' B F
B2 D F R2 B L' F
B2 D' L2 R' B R' U2
B2 D' L2 B R' B U2
B2 D' R' L2 B R' U2
B2 D' R' B L2 R' U2
B2 D' R' B R' L2 U2
U' F2 L D B' U' F
U' F2 L D' B' U' F
U' F2 L D2 B' U' F
U' F2 L B' U' D F
U' F2 L B' U' D' F
U' F2 L B' U' D2 F
U' F2 L B' U' F D
U' F2 L B' U' F D'
U' F2 L B' U' F D2
U' F2 L B' D U' F
U' F2 L B' D' U' F
U' F2 L B' D2 U' F
U' F2 L2 U' F' L' F
B2 D' B L2 R' B U2
B2 D' B R' L2 B U2
B2 D' B R' B L2 U2
U' F2 D L U' F L'
L' F2 D R2 B L U'
U' F2 B L B' U' F
U' F2 B' L B' U' F
F2 D2 R' B L U' B
U' F2 B2 L B' U' F
U' B L F2 B' U' F'
U' B L B' F2 U' F'
D' B L2 R' U' L' U'
D' B R' L2 U' L' U'
R' B U' L F2 B' U'
R' B U' L B' F2 U'
R' B U' F2 L B' U'
R2 B U' L F2 B' U'
R2 B U' L B' F2 U'
F2 B L D R2 B' U'
F2 B L D B' R2 U'
F2 B L D2 B' U' B'
F2 B L B' U F2 U2
F2 B L B' U' D2 B2
F2 B L B' D R2 U'
F2 B L B' D2 U' B2
R2 B U' F2 L B' U'
L B U' L F2 B2 U'
L B U' L B2 F2 U'
R B U' L F2 B' U'
R B U' L B' F2 U'
L B U' F2 L B2 U'
R B U' F2 L B' U'
U' B F2 L B' U' F
U' B' L F2 B' U' F'
U' B' L B' F2 U' F'
D' B' L2 U R' U L'
U' B' F2 L B' U' F
U' B2 L F2 B' U' F'
U' B2 L B' F2 U' F'
B F2 L D R2 B' U'
B F2 L D B' R2 U'
B F2 L D2 B' U' B'
B F2 L B' U F2 U2
B F2 L B' U' D2 B2
B F2 L B' D R2 U'
B F2 L B' D2 U' B2
U' B2 F2 L B' U' F
