R' F2 U R B L
F L R' F U R B
U L' U R' F' L' U
B' L' U' R' B' L U'
R' U R B L D2 R2
R U D' F2 R B L
R' U F2 R F2 B L
R' U F2 R B L F2
R' U F2 R B F2 L
R' U' L F L2 R U2
R' U' L F R L2 U2
U R D' F2 B L R
U R D' F2 B R L
U R D' B F2 L R
U R D' B F2 R L
R' U' L' U2 B L B2
R' U' L' F R U2 B'
R' U' L' F' U2 B' L'
U R B D' F2 L R
U R B D' F2 R L
F R' L F U R B
F2 R' U R B L R
F2 R' U R B R L
F R' F U R B L
F' R' F' U R B L
D' R' F2 U R B L
D2 R' F2 U R B L
D R' F2 U R B L
F2 R' B L F U R2
F R' B L F U R
R' D F2 U R B L
F2 U R D' F2 B L
F2 U R D' B L F2
F2 U R D' B F2 L
F2 U R B L D' F2
F2 U R B D' L F2
F2 U R B D' F2 L
R D' U F2 R B L
R' D' F2 U R B L
R' D2 F2 U R B L
F' U2 R' F' L' U R
F2 U2 R' F' L' U R2
R' F L F U R B
R' F B L F U R
F' D R' B L F U
U2 F' L' R' F' U R
U2 F' R' L' F' U R
R2 F2 L' B' R' U' R2
U F2 R D' F2 B L
U F2 R D' B L F2
U F2 R D' B F2 L
U F2 R B L D' F2
U F2 R B D' L F2
U F2 R B D' F2 L
R' F2 U L R B L
R' F2 U L' R B L
R' F2 U L2 R B L
R' F2 U R L B L
R' F2 U R L' B L
R' F2 U R L2 B L
R' F2 U R D B L
R' F2 U R D' B L
R' F2 U R D2 B L
R' F2 U R B L D
R' F2 U R B L D'
R' F2 U R B L D2
R' F2 U R B D L
R' F2 U R B D' L
R' F2 U R B D2 L
R' F2 U D R B L
R' F2 U D' R B L
R' F2 U D2 R B L
R' F2 U B L R B
R' F2 U B R L B
R' F2 D U R B L
R' F2 D' U R B L
R' F2 D2 U R B L
R' B L D' F B2 U
R' B L D' B2 F U
R' B L D2 F U R2
R' B L F U D2 R2
R' B L F U' L2 U2
R' B L F D' B2 U
R' B L F D2 U R2
R' B F L F U R
L' B2 U' L B R' U'
