R' U B R F L
D' L U' F L' U F
F L U' D' F L' U
F L D' U' F L' U
F L D2 L D' B' L
F L' R' B R D L2
F L' R' B D L2 R
F L' R' B D R L2
F L' U R' B' U' B2
F L' U B' R' U' B
D L2 D L2 F L' B'
D' L2 D' L B' L F
F L2 D' B' D' L B'
F L2 D2 L D B' L
R' U L' B L R F
R' U L' B R L F
R U R2 B R F L
R' U D B R F L
R' U D' B R F L
R' U D2 B R F L
R' U F D2 B L R'
R' U F D2 B R' L
R' U B L D2 R F'
R' U B R D F L
R' U B R D' F L
R' U B R D2 F L
R' U B R F L D
R' U B R F L D'
R' U B R F L D2
R' U B R F D L
R' U B R F D' L
R' U B R F D2 L
R' U B R F' L F2
R' U B R F2 L F'
R' U B R' F L R2
R' U B R' F R2 L
R' U B R2 F L R'
R' U B R2 F R' L
R' U B D R F L
R' U B D' R F L
R' U B D2 R F L
L' U B' U2 R' U B
R' U B2 R F B' L
R' U B2 R B' F L
U2 R F' U' B U' F2
R U' F R' D2 L2 B2
R U' F R' D2 B2 L2
F R' L' B R D L2
F R' L' B D L2 R
F R' L' B D R L2
B' R' U B R F L
F' R' U B L R F2
F' R' U B R L F2
F' R' U B R F2 L
R U' F' U2 L' R' F2
R U' F' U2 L' F2 R'
R U' F' U2 R' L' F2
B2 R' U B R F L
U2 R' U F' U F2 B
U2 R' U F' U B F2
F2 R' U B L R F'
F2 R' U B R L F'
F2 R' U B R F' L
B R' U B R F L
R' U' B R F' L' F2
F2 R' U' B R F' L'
U2 R' U2 F D' L2 B
U2 R' U2 F D' B L2
U2 R' U2 F B D' L2
U2 R' U2 B F D' L2
U' R' F' U L' F2 B
U' R' F' U L' B F2
U' R' F' U B L' F2
R2 U2 R2 D' F L' B'
U R' B' U' F B2 L
U R' B' U' B2 F L
U R' B2 U' F B' L
U R' B2 U' B' F L
U2 R2 U2 D' F L' B'
U2 R2 D' U2 F L' B'
R' D U B R F L
F U R' B' U' B2 L
F U R' B2 U' B' L
F U D B R' U' L
D2 U B U' F L B'
F U D2 B U' L B'
D U B R' U' F L
U D B R' U' F L
F U B R' U' L B
F U B U' D2 L B'
R' D' U B R F L
F U B D2 U' L B'
F U B' U R' U2 B
L2 D2 L D B' L F
L2 D2 L2 D' F L' B'
F U' F U' R F' U2
R' D2 U B R F L
F U2 R F' U' B U'
F U2 R' U F' U B
U D2 B U' F L B'
D' F L U' F L2 U
D2 F L U' F U B'
D2 F L B' U' F U
D' F L' U B' U' B
D2 F L' B D L2 B'
D2 F L2 D' L' B' L
U F R' D B L R'
U F R' D B R' L
D2 F U B U' L B'
D' F U' L' F' U L'
D F U B R' U' L
F D U B R' U' L
U' F' R' U L' F2 B
U' F' R' U L' B F2
U' F' R' U B L' F2
F D' L U' F L' U
F D' L2 D' L B' L
F D' L2 D' B' L B'
D2 F2 L F' D' B' L2
D2 F2 L F' B' D' L2
D2 F2 L B' F' D' L2
F2 D2 L F' D' B' L2
F2 D2 L F' B' D' L2
F2 D2 L B' F' D' L2
F D2 L U' F U B'
F D2 L B' U' F U
F D2 L' B D L2 B'
F D2 L2 D' L' B' L
F D2 U B U' L B'
U B R' U' F L B
U B U' D2 F L B'
U B U' F D2 L B'
U B D2 U' F L B'
U B' U R' U2 F B
U B' U R' U2 B F
