L' B' U F' U B2
F' L U D2 F B R'
F' L U D2 B R' F
F' L U D2 B F R'
F' L U F' B R F2
F' L U B F' R F2
F2 L D B R F L'
F L D' F L2 B R
B L D' F D' L2 R2
B L D' F D' R2 L2
F L D' F B L2 R
F L D' F B R L2
F L D' B F L2 R
F L D' B F R L2
F' L D2 U F B R'
F' L D2 U B R' F
F' L D2 U B F R'
B L D2 F R2 D' L2
B L F D' L2 D' R2
B L F D2 R2 D L2
F L F2 U F' B R
F L F2 U B F' R
F2 L B R D F L'
F2 L B D R F L'
F L B D' F L2 R
F L B D' F R L2
R2 L' F' B' U' B2 U'
R2 L' F' B' U2 D L2
R2 L' F' B' D U2 L2
R2 L' F' B' D' R2 U2
F L' D' L2 F B R
F L' D' L2 B F R
R2 L' B' D F' U2 L2
R2 L' B' D' R2 U2 B
R2 L' B' D' F' R2 U2
R2 L' B' F' U' B2 U'
R2 L' B' F' U2 D L2
R2 L' B' F' D U2 L2
R2 L' B' F' D' R2 U2
D2 L' B' U F' U B2
D' L' B' U F' U B2
B' L' B' U F' U B'
D L' B' U F' U B2
B L' B' U F' U B
L' R2 F' B' U' B2 U'
L' R2 F' B' U2 D L2
L' R2 F' B' D U2 L2
L' R2 F' B' D' R2 U2
L' R2 B' D F' U2 L2
L' R2 B' D' R2 U2 B
L' R2 B' D' F' R2 U2
L' R2 B' F' U' B2 U'
L' R2 B' F' U2 D L2
L' R2 B' F' D U2 L2
L' R2 B' F' D' R2 U2
L' U L2 F' U F2 B
L' U L2 F' U B F2
L' U F' L2 U F B
L' U F' L2 U B F
L' U F' U B D2 F2
L' U F' U' B' U2 B2
L' U2 L2 F D' L2 B
L' U2 L2 F D' B L2
L' U2 L2 F B D' L2
L' U2 L2 B F D' L2
L' U2 F D' L2 F B
L' U2 F D' L2 B F
L' D B' U F' U B2
L D' F D' L2 B R2
L D' F D' B L2 R2
L D' F D' B R2 L2
L D' F' B2 U F2 B'
L D' F' B2 U B' F2
L' D' B' U F' U B2
L D' B2 F' U F2 B'
L D' B2 F' U B' F2
L D2 F B R2 D' L2
L D2 F' U F2 B R2
L D2 F' U B R2 F2
L D2 F' U B F2 R2
L' D2 B' U F' U B2
L D2 B F R2 D' L2
L' F U2 D' L2 F B
L' F U2 D' L2 B F
L' F D R2 F' B' U2
L' F D R2 B' F' U2
L' F D B' R2 U2 B2
L' F D' U2 L2 F B
L' F D' U2 L2 B F
L' F D' B' U2 L2 B2
L' F D' B' U2 B2 L2
L F D' L2 D' B R2
L' F B' U F2 U B2
L' F B' U2 B2 D' L2
L F B D' L2 D' R2
L F B D2 R2 D L2
F D R2 F' L' B' U2
L F' L' U F2 B R
L F' L' U B F2 R
L2 F' U' L B' U2 B2
U F' U R' F' R B
U F' U D2 B R' F'
L F' U D2 B R2 F'
F' D' L B' U F B2
F' D' L B' U B2 F
U F' U B R' F' R
L F' U F2 D2 B R2
L F' U F2 B D2 R2
L F' U B F2 D2 R2
L F' U' L2 U2 F2 B
L F' U' L2 U2 B F2
F D' L F L B R
U F' D2 U B R' F'
L F' D2 U B R2 F'
L' F' B' U2 B2 D L2
F D' B L F L R
F D' B L F R L
F' D2 L U F B R'
F' D2 L U B R' F
F' D2 L U B F R'
L' F2 B' U F U B2
F2 B L R D F L'
F2 B L D R F L'
B F L D' F L2 R
B F L D' F R L2
F B L D' F L2 R
F B L D' F R L2
B F L' D' L2 F R
F B L' D' L2 F R
F2 B R L D F L'
F2 B R U' F R U
L B D' F D' L2 R2
L B D' F D' R2 L2
L B D2 F R2 D' L2
L B F D' L2 D' R2
L B F D2 R2 D L2
B F D' L F L R
B F D' L F R L
F B D' L F L R
F B D' L F R L
L' B' R2 U' B U' B
L' B' U L F' U B2
L' B' U L' F' U B2
L' B' U L2 F' U B2
L' B' U D L2 F' U
L' B' U D F' L2 U
L' B' U F' L U B2
L' B' U F' L' U B2
L' B' U F' L2 U B2
L' B' U F' U B2 D
L' B' U F' U B2 D'
L' B' U F' U B2 D2
L' B' U F' D L2 U
L' B' U' R2 B U' B
L' B' U' D' R2 B U'
L' B' U2 B2 U' F' U
L' B' D U L2 F' U
L' B' D U F' L2 U
L' B' D' U' R2 B U'
L' B' D2 F2 U F U
L' B' F U F2 U B2
L' B' F U2 B2 D' L2
L' B' F' U2 B2 D L2
L' B' F2 U F U B2
B F2 L R D F L'
B F2 L D R F L'
B F2 R L D F L'
B F2 R U' F R U
