D L B2 U' R' F' B
D L B2 U' R' B F'
F' L' R D2 F2 U' L'
F L' R F2 B2 U L'
F L' R B2 U' R U2
F L' R B2 F2 U L'
F L' R' B2 R2 U L
F' L' D2 R F2 U' L2
F L' B2 R U' R U2
F L' B2 R F2 U L'
F L' B2 D' R F2 U
F L' B2 D2 R U L2
F' R L' D2 F2 U' L'
F R L' F2 B2 U L'
F R L' B2 U' R U2
F R L' B2 F2 U L'
F' R D2 L' F2 U' L'
F R B2 L' U' R U2
F R B2 L' F2 U L'
F R' L' B2 R2 U L
F R' B2 L' R2 U L2
F R' B2 R2 L' U L2
F R2 U L' R' B2 U
F R2 U R' L' B2 U
F R2 U R' B2 L' U
R' F L' B2 R U L
R2 F L' R B2 U L
R2 F R L' B2 U L
R2 F R B2 L' U L2
R2 F U L' R B2 U
R2 F U L' B2 R U
R2 F U R L' B2 U
R2 F U R B2 L' U
R2 F U B2 L' R U
R2 F U B2 R L' U
R' F B2 L' R U L2
R' F B2 R L' U L2
F' D' F2 L' R U R
F' D' F2 R L' U R
B' D2 B' L U L F
F D2 F2 L' R U' L'
F D2 F2 R L' U' L'
B2 F L' R U' R U2
B2 F L' R F2 U L'
B2 F L' D' R F2 U
B2 F L' D2 R U L2
B2 F R L' U' R U2
B2 F R L' F2 U L'
B2 F D' L' R F2 U
B2 F D' R L' F2 U
B2 F D2 L' R U L'
B2 F D2 R L' U L'
B2 F' D' F2 L' R U
B2 F' D' F2 R L' U
F B2 L' R U' R U2
F B2 L' R F2 U L'
F B2 L' D' R F2 U
F B2 L' D2 R U L2
R' B2 U D' L F B'
R' B2 U D' L B' F
F B2 R L' U' R U2
F B2 R L' F2 U L'
R' B2 D' U L F B'
R' B2 D' U L B' F
R' B2 F L' R U L2
R' B2 F R L' U L2
F' B2 D' F2 L' R U
F' B2 D' F2 R L' U
F B2 D' L' R F2 U
F B2 D' R L' F2 U
F B2 D2 L' R U L'
F B2 D2 R L' U L'
