F' L2 B U R' F2
F' L2 B U F2 R'
B R' D' F L' B2
B R' D' F B2 L'
B R' D' B2 F L'
L2 F' U' B' L U2
F' B L2 U R' F2
F' B L2 U F2 R'
B F R' D' L2 B2
B F R' D' B2 L2
F B R' D' L2 B2
F B R' D' B2 L2
B' F D' B2 L2 R'
B' F D' B2 R' L2
B F D' L2 R' B2
B F D' R' L2 B2
B F D' R' B2 L2
F B D' L2 R' B2
F B D' R' L2 B2
F B D' R' B2 L2
F' B' L2 U F2 R
B' F' L2 U F2 R
B F' L2 U R' F2
B F' L2 U F2 R'
F B' D' B2 L2 R'
F B' D' B2 R' L2
L2 R U' B' L R' U2
L2 R U' B' R' L U2
F' L D L R2 B' U
F' L D L B' R2 U
F' L D R2 L B' U
F L B D' L2 R' B
F L B D' R' L2 B
F L B D' R' B L2
F' L' B L' U R' F2
F' L' B L' U F2 R'
R L2 U' B' L R' U2
R L2 U' B' R' L U2
F' L2 R B U R' F2
F' L2 R B U F2 R'
F' L2 R' B U R' F2
F' L2 R' B U F2 R'
F' L2 R2 B U R' F2
F' L2 R2 B U F2 R'
F' L2 U F' D2 F' R
F' L2 U F2 B R' B'
F' L2 U B R' F2 B'
F' L2 U B R' B' F2
F' L2 U B F2 R' B'
F' L2 U' B U2 R' F2
F' L2 U' B U2 F2 R'
F' L2 U' B' L U2 F2
U' L2 F' U' B' L U2
U2 L2 F' U' B' L U2
U L2 F' U' B' L U2
F' L2 B R U R2 F2
F' L2 B R U F2 R2
F' L2 B R2 U R F2
F L2 F2 B U R' F2
F L2 F2 B U F2 R'
F' L2 B U R F2 R2
F' L2 B U R' F2 D
F' L2 B U R' F2 D'
F' L2 B U R' F2 D2
F' L2 B U F R' F
F' L2 B U F2 R' D
F' L2 B U F2 R' D'
F' L2 B U F2 R' D2
F' L2 B U F2 D R'
F' L2 B U F2 D' R'
F' L2 B U F2 D2 R'
F' L2 B D R2 U R
F' L2 B' U' L U2 F2
F L2 B F2 U R' F2
F L2 B F2 U F2 R'
F' R L2 B U R' F2
F' R L2 B U F2 R'
F' R B L2 U R' F2
F' R B L2 U F2 R'
F R B R' D' L2 B2
F R B R' D' B2 L2
F' R B' L2 U F2 R
F R B D' L2 R' B2
F R B D' R' L2 B2
F R B D' R' B2 L2
F R B' D' B2 L2 R'
F R B' D' B2 R' L2
F' R' L2 B U R' F2
F' R' L2 B U F2 R'
L2 U' B' L U F' U
B R' D F L2 B' L
B' R' D' F B2 L' R'
B' R' D' F B2 R' L'
B' R' D' B2 R' F L'
B' R' D' B2 F L' R'
B' R' D' B2 F R' L'
B R' D' F L B2 L2
B R' D' F L' B2 D
B R' D' F L' B2 D'
B R' D' F L' B2 D2
B R' D' F B L' B
B R' D' F B2 L' D
B R' D' F B2 L' D'
B R' D' F B2 L' D2
B R' D' F B2 D L'
B R' D' F B2 D' L'
B R' D' F B2 D2 L'
B R' D' B F L' B
B R' D' B2 F L' D
B R' D' B2 F L' D'
B R' D' B2 F L' D2
B R' D' B2 F D L'
B R' D' B2 F D' L'
B R' D' B2 F D2 L'
F' R' B L2 U R' F2
F' R' B L2 U F2 R'
F' R' B' L2 U F2 R
F R' B R' D' L2 B2
F R' B R' D' B2 L2
B R' B D' F L' B2
B R' B D' F B2 L'
B R' B D' B2 F L'
F R' B D' L2 R' B2
F R' B D' R' L2 B2
F R' B D' R' B2 L2
B R' B' D' F L' B2
B R' B' D' F B2 L'
B R' B' D' B2 F L'
F R' B' D' B2 L2 R'
F R' B' D' B2 R' L2
B R' B2 D' F L' B2
B R' B2 D' F B2 L'
B R' B2 D' B2 F L'
F' R2 L2 B U R' F2
F' R2 L2 B U F2 R'
D2 R2 D2 B U' R' F
D2 R2 D2 B U' F R'
L D L F' R B' U
L D L F' B' R U
L D L B' F' R U
D2 R2 F' B U' R F2
F' R2 B L2 U R' F2
F' R2 B L2 U F2 R'
D2 R2 B U' F' R F2
D2 R2 B F' U' R F2
F' R2 B' L2 U F2 R
F R2 B R' D' L2 B2
F R2 B R' D' B2 L2
F R2 B D' L2 R' B2
F R2 B D' R' L2 B2
F R2 B D' R' B2 L2
F R2 B' D' B2 L2 R'
F R2 B' D' B2 R' L2
L D F' L R B' U
L D F' L B' R U
L D F' R L B' U
B U R' D' F L' B2
B U R' D' F B2 L'
B U R' D' B2 F L'
B' U F D' B2 L2 R'
B' U F D' B2 R' L2
B' U F' L2 U F2 R
B U F R' D' L2 B2
B U F R' D' B2 L2
B U F D' L2 R' B2
B U F D' R' L2 B2
B U F D' R' B2 L2
B U F' L2 U R' F2
B U F' L2 U F2 R'
F' U F2 B R' D' B2
F' U F2 B D' R' B2
F' U F2 B' D' B2 R'
F' U B R' F2 D' B2
F' U B F2 R' D' B2
F' U B F2 D' R' B2
F' U B' F2 D' B2 R'
F U' L2 F2 B U R'
F U' L2 B F2 U R'
B U' R' D' F L' B2
B U' R' D' F B2 L'
B U' R' D' B2 F L'
L D2 L F' U R F'
B' U' F D' B2 L2 R'
B' U' F D' B2 R' L2
B' U' F' L2 U F2 R
B U' F R' D' L2 B2
B U' F R' D' B2 L2
B U' F D' L2 R' B2
B U' F D' R' L2 B2
B U' F D' R' B2 L2
B U' F' L2 U R' F2
B U' F' L2 U F2 R'
F U' F2 L2 B U R'
F U' F2 B L2 U R'
F U' B L2 F2 U R'
F U' B F2 L2 U R'
F U' B' L2 F2 U R
L2 D2 F' U' B' U2 R
L D2 F' L U R F'
B U2 R' D' F L' B2
B U2 R' D' F B2 L'
B U2 R' D' B2 F L'
B2 U2 F R D' L2 B2
B2 U2 F R D' B2 L2
B' U2 F D' B2 L2 R'
B' U2 F D' B2 R' L2
B2 U2 F D' L2 R B2
B2 U2 F D' L2 B2 R
B2 U2 F D' R L2 B2
B2 U2 F D' R B2 L2
B2 U2 F D' B2 L2 R
B2 U2 F D' B2 R L2
B' U2 F' L2 U F2 R
B U2 F R' D' L2 B2
B U2 F R' D' B2 L2
B U2 F D' L2 R' B2
B U2 F D' R' L2 B2
B U2 F D' R' B2 L2
B U2 F' L2 U R' F2
B U2 F' L2 U F2 R'
D2 F D' L2 D2 B2 R'
D F D' L2 B R' B2
U' F B R' D' L2 B2
