L' U R' F' U B'
B2 L U L2 U2 B' L
D2 L' U R' F' U B'
D' L' U R' F' U B'
D L' U R' F' U B'
B2 L' U2 B' D L F2
B2 L' U2 B' D F2 L
B' L' D' R' B U2 B2
B2 L' B' D L F2 R
L' U R' D F' U B'
L' U R' D' F' U B'
L' U R' D2 F' U B'
L' U R' F' U D B'
L' U R' F' U D' B'
L' U R' F' U D2 B'
L' U R' F' U B' D
L' U R' F' U B' D'
L' U R' F' U B' D2
L' U R' F' D U B'
L' U R' F' D' U B'
L' U R' F' D2 U B'
L' U D R' F' U B'
L' U D' R' F' U B'
L' U D2 R' F' U B'
L' U F R' F' U B'
L' U F' R' F' U B'
L' U F2 R' F' U B'
B' R' D L' U2 F B'
B' R' D L' U2 B' F
L' U2 F' B' D L' F
L' U2 B' D F' L' F
L' U2 B' F' D L' F
L' D U R' F' U B'
F' U R' F' U R B
R D B2 L' U2 B' L
L' D' U R' F' U B'
L' D2 U R' F' U B'
L F L2 U R' F' U
L' F U R' F' U B'
B' D L' R' U2 F B'
B' D L' R' U2 B' F
B' D R' L' U2 F B'
B' D R' L' U2 B' F
L' F' U R' F' U B'
U F' R' F' U R B
B' D' L' R' B U2 B2
B' D' R' L' B U2 B2
B' D' R' B L' U2 B'
L' F2 U R' F' U B'
L' B' D' R' B U2 B'
L2 B2 L U' R' B' L
