R' B L F U' B'
B L R' F B U' B2
B L R' B F U' B2
U' L D F R B' L
U' L D F B' L R
U' L D F B' R L
B L D F U' B' L
U' L D B' F L R
U' L D B' F R L
U L D B' L R' F'
U L D B' R' L F'
U L D B' R' F' L
R' L F B L U' B2
U' L D' F R B' L'
U' L D' F B' L' R
U' L D' F B' R L'
B L D' F U' B' L'
U' L D' B' F L' R
U' L D' B' F R L'
B L F R' B U' B2
U' L F D R B' L
B L F U' D B' L
U' L F D B' L R
U' L F D B' R L
B L F D U' B' L
R' L B F L U' B2
U' L B' D' F L' R
U' L B' D' F R L'
L R' F B L U' B2
L R' B F L U' B2
D2 L' F B' R' U B
D2 L' B' R' F U B
D2 L' B' F R' U B
R2 U L B' R' F' L'
B R' L F B U' B2
B R' L B F U' B2
R2 U' B L F R B'
R2 U' B L F B' R
R2 U' B L B' F R
F' R' B L F U' B'
F2 R' B L F U' B'
F R' B L F U' B'
L D F U' B' L F
R' D' B L R' F U'
R' D' B L F R' U'
R' D' B R' L F U'
D F L' B' R' U L
L F R' B L U' B2
L F U' D B' L F
L F D U' B' L F
R' F B L F U' B'
R' F' B L F U' B'
R' F2 B L F U' B'
R' B L R F U' B'
R' B L R' F U' B'
R' B L R2 F U' B'
D' B L R' F U' L'
R' B L D F U' B'
R' B L D' F U' B'
R' B L D2 F U' B'
R' B L F R U' B'
R' B L F R' U' B'
R' B L F R2 U' B'
R' B L F U' D B'
R' B L F U' D' B'
R' B L F U' D2 B'
R' B L F U' B' D
R' B L F U' B' D'
R' B L F U' B' D2
R' B L F D U' B'
R' B L F D' U' B'
R' B L F D2 U' B'
D' B L F R' U' L'
R' B R L F U' B'
R' B R' L F U' B'
D' B R' L F U' L'
R' B R2 L F U' B'
R' B F L F U' B'
R' B F' L F U' B'
R' B F2 L F U' B'
