B2 L R' F' U' B
B2 L U' B' R' B
B2 R' L F' U' B
B2 R' F' L U' B
R' U2 F' B2 U' B'
R' U2 B2 F' U' B'
B2 D2 L U' B' R'
R B R2 F' U B
B2 L R' D F' U' B
B2 L R' D' F' U' B
B2 L R' D2 F' U' B
B2 L R' F' U' D B
B2 L R' F' U' D' B
B2 L R' F' U' D2 B
B2 L R' F' U' B D
B2 L R' F' U' B D'
B2 L R' F' U' B D2
B2 L R' F' D U' B
B2 L R' F' D' U' B
B2 L R' F' D2 U' B
R' L U2 F' B2 U' B'
R' L U2 B2 F' U' B'
B2 L U' R' B' R' B2
B2 L U' B' R' D B
B2 L U' B' R' D' B
B2 L U' B' R' D2 B
B2 L U' B' R' B D
B2 L U' B' R' B D'
B2 L U' B' R' B D2
B2 L U' B2 R' B R'
B2 L D' R' F' R U'
B2 L F R' F' U' B
B2 L F U' B' R' B
L' R B R2 F' U B
L R B R2 F' U B
L2 R B R2 F' U B
R L B R2 F' U B
B2 L F' R' F' U' B
B2 L F' U' B' R' B
B2 L F2 R' F' U' B
B2 L F2 U' B' R' B
R' L' U2 F' B2 U' B'
L' R' U2 F' B2 U' B'
L R' U2 F' B2 U' B'
L2 R' U2 F' B2 U' B'
R' L' U2 B2 F' U' B'
L' R' U2 B2 F' U' B'
L R' U2 B2 F' U' B'
L2 R' U2 B2 F' U' B'
B2 L' R' F' L2 U' B
R L' B R2 F' U B
R' L2 U2 F' B2 U' B'
R' L2 U2 B2 F' U' B'
R L2 B R2 F' U B
R' U F' B2 U' F B'
R' U F' B2 U' B' F
R' U B U F' B U'
R' U B U B F' U'
R U B R2 F' U B
R' U B2 F' U' F B'
R' U B2 F' U' B' F
F' R B R2 F' U B
F2 R B R2 F' U B
F R B R2 F' U B
B2 R' L D F' U' B
B2 R' L D' F' U' B
B2 R' L D2 F' U' B
B2 R' L F' U' D B
B2 R' L F' U' D' B
B2 R' L F' U' D2 B
B2 R' L F' U' B D
B2 R' L F' U' B D'
B2 R' L F' U' B D2
B2 R' L F' D U' B
B2 R' L F' D' U' B
B2 R' L F' D2 U' B
B2 R' L' F' L2 U' B
F' R' U2 F' B2 U' B'
R U' B R2 F' U B
F2 R' U2 F' B2 U' B'
F' R' U2 B2 F' U' B'
B2 R' D L F' U' B
F2 R' U2 B2 F' U' B'
U2 R' U2 B2 U' B' R'
F R' U2 F' B2 U' B'
F R' U2 B2 F' U' B'
B2 R' D F' L U' B
B2 R' D' L F' U' B
B2 R' D' F' L U' B
B2 R' D2 L F' U' B
B2 R' D2 F' L U' B
B2 R' F L F2 U' B
B2 R' F' L U' D B
B2 R' F' L U' D' B
B2 R' F' L U' D2 B
B2 R' F' L U' B D
B2 R' F' L U' B D'
B2 R' F' L U' B D2
B2 R' F' L D U' B
B2 R' F' L D' U' B
B2 R' F' L D2 U' B
B2 R' F' D L U' B
B' R' F' B' L U' B2
B2 R' F' D' L U' B
B2 R' F' D2 L U' B
B R' F' U' B L F
B' R' B' L F' U' B2
R' U2 D F' U' L2 B
R' U2 D F' U' B L2
B' R' B' F' L U' B2
R' U2 F' U' D L2 B
R' U2 F' U' D B L2
R' U2 F' D U' L2 B
R' U2 F' D U' B L2
R' U2 F' B2 R U' B'
R' U2 F' B2 R' U' B'
R' U2 F' B2 R2 U' B'
R' U2 F' B2 U' D B'
R' U2 F' B2 U' D' B'
R' U2 F' B2 U' D2 B'
R' U2 F' B2 U' B' D
R' U2 F' B2 U' B' D'
R' U2 F' B2 U' B' D2
R' U2 F' B2 D U' B'
R' U2 F' B2 D' U' B'
R' U2 F' B2 D2 U' B'
R U2 B R2 F' U B
R' U2 B2 R U' B' R'
R' U2 B2 D F' U' B'
R' U2 B2 D' F' U' B'
R' U2 B2 D2 F' U' B'
R' U2 B2 F' R U' B'
R' U2 B2 F' R' U' B'
R' U2 B2 F' R2 U' B'
R' U2 B2 F' U' D B'
R' U2 B2 F' U' D' B'
R' U2 B2 F' U' D2 B'
R' U2 B2 F' U' B' D
R' U2 B2 F' U' B' D'
R' U2 B2 F' U' B' D2
R' U2 B2 F' D U' B'
R' U2 B2 F' D' U' B'
R' U2 B2 F' D2 U' B'
R2 D R U L2 B R'
R2 D R U B L2 R'
R2 D R U B R' L2
R' D U2 F' U' L2 B
R' D U2 F' U' B L2
R' D F' U' B L2 F
B' U' B' L U' R' B
R' D2 F2 L2 B' U B2
R' D2 F2 U2 F U' B
R' F U D L2 B R2
R' F U D B L2 R2
R' F U D B R2 L2
R' F U2 F2 B2 U' B'
R' F U2 B2 F2 U' B'
R' F D U L2 B R2
R' F D U B L2 R2
R' F D U B R2 L2
R' F D2 F2 B2 U B'
R' F D2 B2 F2 U B'
B D B L R' F' U'
B D B R' L F' U'
B D B R' F' L U'
R' F' U' D B L2 F
B2 D' L R' F' R U'
R F' U B R2 F' U
R' F' D U' B L2 F
B2 D' R' L F' R U'
B2 D' R' F' L R U'
B2 D' R' F' R L U'
B2 D2 L R' F' U' B'
B2 D2 L U' R B' R'
B2 D2 L U' R' B' R'
B2 D2 L U' R2 B' R'
B2 D2 L U' D B' R'
B2 D2 L U' D' B' R'
B2 D2 L U' D2 B' R'
B2 D2 L U' B' R' D
B2 D2 L U' B' R' D'
B2 D2 L U' B' R' D2
B2 D2 L U' B' D R'
B2 D2 L U' B' D' R'
B2 D2 L U' B' D2 R'
B2 D2 L D U' B' R'
B2 D2 L D' U' B' R'
B2 D2 L D2 U' B' R'
B2 D2 L F U' B' R'
R' F2 U2 F B2 U' B'
B2 D2 L F' U' B' R'
B2 D2 L F2 U' B' R'
R' F2 U2 B2 F U' B'
B2 D2 R' L F' U' B'
B2 D2 R' F' L U' B'
B2 D2 F L U' B' R'
R B L R2 F' U B
B2 D2 F' L U' B' R'
R B L' R2 F' U B
B2 D2 F2 L U' B' R'
R B L2 R2 F' U B
B D2 B L U' B' R'
R' B U F' B U' F
R' B U B F' U' F
R B R2 L F' U B
R B R2 L' F' U B
R B R2 L2 F' U B
R B R2 D F' U B
B2 F L R' F' U' B
R B R2 D' F' U B
R B R2 D2 F' U B
R B R2 F' L U B
R B R2 F' L' U B
B2 F L U' B' R' B
R B R2 F' L2 U B
R B R2 F' U D B
R B R2 F' U D' B
R B R2 F' U D2 B
R B R2 F' U B D
R B R2 F' U B D'
R B R2 F' U B D2
R B R2 F' D U B
R B R2 F' D' U B
R B R2 F' D2 U B
B2 F R' L F' U' B
B2 F R' F' L U' B
B2 F D2 L U' B' R'
B2 F' L R' F' U' B
