U F' L' U' B' L
B' L U F' L' U' B'
L' U F' L' U' B' L
L2 U F' L' U' B' L
L U F' L' U' B' L
F R F2 U B R' U2
R U' B L R' F' U2
R U' B R' L F' U2
R U' B R' F' L U2
B' U F' L' U' B' L2
F' U2 L' U' B' U2 L
U F' L' R U' B' L
U F' L' R' U' B' L
U F' L' R2 U' B' L
U F' L' U' B' L D
U F' L' U' B' L D'
U F' L' U' B' L D2
U F' L' U' B' D L
U F' L' U' B' D' L
U F' L' U' B' D2 L
U F' L' B U' B2 L
U F' R L' U' B' L
U F' R' L' U' B' L
U F' R2 L' U' B' L
U F' B' L' U' B' L2
R2 B U' R' F' B U2
R2 B U' R' B F' U2
B' F' U2 L' U L2 F
F' B' U2 L' U L2 F
U B' F' L' U' B' L2
