D' L' U2 F B U
D' L' U2 B F U
B2 L2 F L U' L2
L' U2 F B U L'
L' U2 B F U L'
F2 U2 B R U L
L' F U2 B U L'
L' F2 U2 B U L
L B2 L2 F U' L'
L' R D R' B U' R'
F2 L U2 B R U L
B L B L2 F U' L'
D' L B' L2 U' D' R2
D' L B' L2 U2 B2 U
D' L B' L2 D' U' R2
D' L B' L2 D2 F2 U'
B' L B' L2 F U' L'
D' L B2 L2 F B U'
D' L B2 L2 B F U'
R L' D R' B U' R'
D' L' U2 D F B U
D' L' U2 D B F U
D' L' U2 D' F B U
R2 L' F' R2 U R' U2
D' L' U2 D' B F U
R2 L' F' R2 B2 U' L
D' L' U2 D2 F B U
D' L' U2 D2 B F U
D' L' U2 F D B U
D' L' U2 F D' B U
D' L' U2 F D2 B U
D' L' U2 F B U D
D' L' U2 F B U D'
D' L' U2 F B U D2
D' L' U2 F B D U
D' L' U2 F B D' U
D' L' U2 F B D2 U
B' L' U2 F B2 U L'
D2 L' U2 B U' R' U2
D' L' U2 B D F U
D' L' U2 B D' F U
D' L' U2 B D2 F U
D' L' U2 B F U D
D' L' U2 B F U D'
D' L' U2 B F U D2
D' L' U2 B F D U
D' L' U2 B F D' U
D' L' U2 B F D2 U
F2 L' U2 B R U L
B' L' U2 B2 F U L'
D' L' D U2 F B U
D' L' D U2 B F U
D' L' D' U2 F B U
D' L' D' U2 B F U
D' L' D2 U2 F B U
D' L' D2 U2 B F U
B' L' D2 F2 B' U' L
B' L' D2 B' F2 U' L
B' L' F U' L' D' R2
B' L' F U' D' L' R2
B' L' F U' D' R2 L'
B' L' F U2 B2 U L'
B' L' F D' U' L' R2
B' L' F D' U' R2 L'
D' L' F' U2 F2 B U
D' L' F' U2 B F2 U
B L' F' U R U2 R'
B' L' F' D2 F2 U' L'
D' L' F2 U2 F' B U
D' L' F2 U2 B F' U
D2 L' B U R' U2 R
D2 L' B' U' L D' R2
D2 L' B' U' D' L R2
D2 L' B' U' D' R2 L
D' L' B' U2 F B2 U
D' L' B' U2 B2 F U
D2 L' B' D' U' L R2
D2 L' B' D' U' R2 L
D2 L' B' D2 F2 U' L
D' L' B2 U2 F B' U
D' L' B2 U2 B' F U
L' R2 F' R2 U R' U2
L' R2 F' R2 B2 U' L
F2 L2 U2 B R U L
B' L2 D' L B' U' R2
B2 L2 D' F L B' U'
B2 L2 F L U' L2 D
B2 L2 F L U' L2 D'
B2 L2 F L U' L2 D2
B2 L2 F L D' B2 U'
B2 L2 F L B U' L2
B2 L2 F L B' U' L2
B2 L2 F L B2 U' L2
B2 L2 F U' L' D F2
B2 L2 F D L U' L2
B2 L2 F D' L U' L2
B2 L2 F D2 L U' L2
B2 L2 F' L F2 U' L'
B2 L2 F2 L F' U' L'
L' U2 D2 B U' R' U2
L' U2 F D B U L'
L' U2 F D' B U L'
L' U2 F D2 B U L'
L' U2 F B U L' D
L' U2 F B U L' D'
L' U2 F B U L' D2
L' U2 F B U D L'
L' U2 F B U D' L'
L' U2 F B U D2 L'
L' U2 F B D U L'
L' U2 F B D' U L'
L' U2 F B D2 U L'
L' U2 F' B U' R U2
L' U2 B U F L' F'
L' U2 B F U L' D
L' U2 B F U L' D'
L' U2 B F U L' D2
L' U2 B F U D L'
L' U2 B F U D' L'
L' U2 B F U D2 L'
L' U2 B F D U L'
L' U2 B F D' U L'
L' U2 B F D2 U L'
L' U2 B F' U' R U2
L' U2 B2 D2 B' U L
R D L' R' B U' R'
R D R' L' B U' R'
R D R' B L' U' R'
L2 D' L B' U' D' R2
L2 D' L B' U2 B2 U
L2 D' L B' D' U' R2
L2 D' L B' D2 F2 U'
U2 D F2 B R F' U
U2 D B F2 R F' U
L' D2 U2 B U' R' U2
L' D2 B U R' U2 R
D U2 F2 B R F' U
L' D2 B' U' L D' R2
L' D2 B' U' D' L R2
L' D2 B' U' D' R2 L
L' D2 B' D' U' L R2
L' D2 B' D' U' R2 L
L' D2 B' D2 F2 U' L
D U2 B F2 R F' U
F2 U2 D B R U L
F2 U2 D' B R U L
L2 F L U2 B U L2
F2 U2 D2 B R U L
F2 U2 F' B U L F
F2 U2 B R U L D
F2 U2 B R U L D'
F2 U2 B R U L D2
F2 U2 B R U D L
F2 U2 B R U D' L
F2 U2 B R U D2 L
F2 U2 B R D U L
F2 U2 B R D' U L
F2 U2 B R D2 U L
F2 U2 B R F U L
F2 U2 B R F' U L
F2 U2 B R F2 U L
F2 U2 B D R U L
F2 U2 B D' R U L
F2 U2 B D2 R U L
F2 U2 B F' U L F
F U2 B U L' D F2
F U2 B U2 L U' L2
F2 U2 B2 R B' U L
L' F U' L' U' B U
F U2 B' R' B2 U L'
L' F U2 D B U L'
L' F U2 D' B U L'
L' F U2 D2 B U L'
L' F U2 B U L' D
L' F U2 B U L' D'
L' F U2 B U L' D2
L' F U2 B U D L'
L' F U2 B U D' L'
L' F U2 B U D2 L'
L' F U2 B D U L'
L' F U2 B D' U L'
L' F U2 B D2 U L'
L' F D U2 B U L'
L' F D' U2 B U L'
L' F D2 U2 B U L'
U2 F B U L F L2
L' F B' U' L' D' R2
L' F B' U' D' L' R2
L' F B' U' D' R2 L'
L' F B' U2 B2 U L'
L' F B' D' U' L' R2
L' F B' D' U' R2 L'
L' F B2 U2 B' U L'
L F B2 L2 F U' L
F2 D U2 B R U L
B' D' L B' L2 U' R2
B' D' L' U2 F U R2
L' F' U2 F2 B U L'
L' F' U2 B U' R U2
L' F' U2 B F2 U L'
L' F' B U R U2 R'
L' F' B' D2 F2 U' L'
L2 F2 L U2 B U L
F2 D' U2 B R U L
L F2 L2 U2 B U L
L' F2 R2 F' R2 U' L'
L' F2 U2 D B U L
L' F2 U2 D' B U L
L' F2 U2 D2 B U L
L' F2 U2 F B U L
L' F2 U2 F' B U L
L' F2 U2 F2 B U L
L' F2 U2 B U L D
L' F2 U2 B U L D'
L' F2 U2 B U L D2
L' F2 U2 B U D L
L' F2 U2 B U D' L
L' F2 U2 B U D2 L
L' F2 U2 B D U L
L' F2 U2 B D' U L
L' F2 U2 B D2 U L
L' F2 U2 B F U L
L' F2 U2 B F' U L
L' F2 U2 B F2 U L
B' D2 L' F2 B' U' L
B' D2 L' B' F2 U' L
L' F2 D U2 B U L
D F2 U2 B R F' U
L' F2 D' U2 B U L
L' F2 D2 U2 B U L
U2 F2 B R F' U L'
D2 B L' U R' U2 R
F2 D2 U2 B R U L
B' D2 B' L' F2 U' L2
U2 B D F2 R F' U
U2 B F U L F L2
L' B F' U R U2 R'
U2 B F2 R F' U L'
D' B' L B' L2 F U'
D2 B' L' U' L2 D' R2
D2 B' L' U2 B2 U L2
D' B' L' U2 F B2 U
D' B' L' U2 B2 F U
D2 B' L' D' B2 U' R2
B2 F U2 B' R' U L'
L' B' U2 F B2 U L'
L' B' U2 B2 F U L'
D2 B' D' L' U' L2 R2
D2 B' D' L' U' R2 L2
D2 B' D2 L' F2 U' L2
L' B' D2 F2 B' U' L
L' B' D2 B' F2 U' L
L' B' F U' L' D' R2
L' B' F U' D' L' R2
L' B' F U' D' R2 L'
L' B' F U2 B2 U L'
L' B' F D' U' L' R2
L' B' F D' U' R2 L'
L' B' F' D2 F2 U' L'
L' B2 L2 F L2 U' L
L B2 L2 F U' L' D
L B2 L2 F U' L' D'
L B2 L2 F U' L' D2
L B2 L2 F U' D L'
L B2 L2 F U' D' L'
L B2 L2 F U' D2 L'
L B2 L2 F D U' L'
L B2 L2 F D' U' L'
L B2 L2 F D2 U' L'
L B2 L2 F B U' L'
L B2 L2 F B' U' L'
L B2 L2 F B2 U' L'
L B2 L2 B F U' L'
L B2 L2 B' F U' L'
L B2 L2 B2 F U' L'
L' B2 U2 D2 B' U L
L' B2 U2 F B' U L'
L' B2 U2 B' F U L'
L' B2 D2 U2 B' U L
L' B2 F U2 B' U L'
F B2 U2 B' R' U L'
L B2 F L2 F U' L
