B' L U B U2 B'
B' L' D2 R2 U' F'
B L2 R' B2 U' F
B R B2 R2 U' F'
B R' L2 B2 U' F
B' R' U2 L U F
B R' U' D L2 F
B R' D U' L2 F
B R' B2 U B U2
B' R2 U2 L U F'
B' U2 L R2 U F'
B' U2 L U' B U2
B' U2 R2 L U F'
B D R' U' L2 F
U' B R' B2 U' R
B L R' B2 L U' F
B' L U D B U2 B'
B' L U D' B U2 B'
B' L U D2 B U2 B'
B' L U F B U2 B'
B' L U F' B U2 B'
B' L U F2 B U2 B'
B' L U B U2 D B'
B' L U B U2 D' B'
B' L U B U2 D2 B'
B' L U B U2 B' D
B' L U B U2 B' D'
B' L U B U2 B' D2
B' L U B D U2 B'
B' L U B D' U2 B'
B' L U B D2 U2 B'
B' L U B F U2 B'
B' L U B F' U2 B'
B' L U B F2 U2 B'
B' L D U B U2 B'
B' L D' U B U2 B'
B' L D2 U B U2 B'
B' L' R2 U' D' F' B2
B' L' R2 U' D' B2 F'
B' L' R2 U' F' D' B2
B' L' R2 U2 L2 U F'
B L' R' B2 L' U' F
B' L' R2 D' U' F' B2
B' L' R2 D' U' B2 F'
B' L' U D F2 B U2
B' L' U D B F2 U2
B' L' U D' B U2 B
B' L' U B U L2 U
B' L' U B U2 D' B2
B' L' U B D F2 U2
B' L' U B D' U2 B2
B' L' U2 L2 R2 U F'
B' L' U2 L2 U' B U2
B' L' U2 R2 L2 U F'
B' L' D U F2 B U2
B' L' D U B F2 U2
B' L' D' R2 U' F' B2
B' L' D' R2 U' B2 F'
B' L' D' U B U2 B
B' L' D2 L R2 U' F'
B' L' D2 L' R2 U' F'
B' L' D2 L2 R2 U' F'
B' L' D2 R2 L U' F'
B' L' D2 R2 L' U' F'
B' L' D2 R2 L2 U' F'
B' L' D2 R2 U' D F'
B' L' D2 R2 U' D' F'
B' L' D2 R2 U' D2 F'
B' L' D2 R2 U' F' D
B' L' D2 R2 U' F' D'
B' L' D2 R2 U' F' D2
B' L' D2 R2 D U' F'
B' L' D2 R2 D' U' F'
B' L' D2 R2 D2 U' F'
B L2 R B2 R2 U' F
B L2 R' U' D F L2
B L2 R' U' F D L2
B L2 R' D U' F L2
B' L2 R2 U2 L' U F'
B L2 R' B2 U' D F
B L2 R' B2 U' D' F
B L2 R' B2 U' D2 F
B L2 R' B2 U' F D
B L2 R' B2 U' F D'
