L' B' U F' L' U
F2 L R D F L' B
F2 L R D F B L'
F2 L R D B F L'
F2 L R B D F L'
F2 L D R F L' B
F2 L D R F B L'
F2 L D R B F L'
F L D' F L2 R B
F L D' F R L2 B
F L D' F R B L2
R' L' D F' B' U2 L
L' R' D F' B' U2 L
R' L' D B' F' U2 L
L' R' D B' F' U2 L
R' L' D' F' R B' U2
R' L' D' F' B' R U2
L' R' D' F' R B' U2
L' R' D' F' B' R U2
R' L' D' B' F' R U2
L' R' D' B' F' R U2
R' L' F' D B' U2 L
L' R' F' D B' U2 L
F L' D' L2 F R B
R' L' B' D' F' R U2
L' R' B' D' F' R U2
D2 L' B' U F' L' U
D' L' B' U F' L' U
B' L' B' U F' L' U
B2 L' B' U F' L' U
D L' B' U F' L' U
B L' B' U F' L' U
L' U L' F' L' U F
L' U L2 F' L' U F2
F2 R L D F L' B
F2 R L D F B L'
F2 R L D B F L'
F2 R L B D F L'
L U F' L' U F2 R
F2 R B L D F L'
F2 R B U' F R U
R' D L' F' B' U2 L
R' D L' B' F' U2 L
L' D B' U F' L' U
R' D' L' F' R B' U2
R' D' L' F' B' R U2
R' D' L' B' F' R U2
L' D' B' U F' L' U
L' D2 B' U F' L' U
U F' L' U R' F' R
F D' L F L R B
F D' L F R L B
L' B' R' D' F' R U2
L' B' U L F' L' U
L' B' U L' F' L' U
L' B' U L2 F' L' U
L' B' U D F' L' U
L' B' U D' F' L' U
L' B' U D2 F' L' U
L' B' U F' L' U D
L' B' U F' L' U D'
L' B' U F' L' U D2
L' B' U F' L' D U
L' B' U F' L' D' U
L' B' U F' L' D2 U
L' B' U F' D L' U
L' B' U F' D' L' U
L' B' U F' D2 L' U
L' B' D U F' L' U
L' B' D' U F' L' U
L' B' D2 U F' L' U
