B L B2 U F U2 R'
B L' D F2 R B' L2
B L' D F2 B' L2 R
B L' D F2 B' R L2
B L' D B' F2 L2 R
B L' D B' F2 R L2
U L2 U F R U B
L U' F L R U2 F
L U' F R L U2 F
D2 R2 U B' R' U' F'
B' R2 D F2 L' U' B'
D U F2 B' R' U' F'
U D F2 B' R' U' F'
D2 U B' R' U' F' R'
D U B' R' F2 U' F
U D B' R' F2 U' F
D U B' F2 R' U' F'
U D B' F2 R' U' F'
B' U2 R' U D2 R2 B
B' U2 R' U' L2 F' U2
B' U2 R' U' F' L2 U2
B' U2 R' D2 U R2 B
U D2 B' R' U' F' R'
B' D R2 F2 L' U' B'
U B' R' U L2 U2 F'
U B' R' U' D2 F' R2
U B' R' U' F' D2 R2
U B' R' D F2 U' F
U B' R' D2 U' F' R2
D B' R2 F2 L' U' B'
U B' D R' F2 U' F
U B' D F2 R' U' F'
U B' D2 R' U' F' R'
