F' R D' F2 B L
F' R D' B L F2
F' R D' B F2 L
F' R B L D' F2
F' R B D' L F2
F' R B D' F2 L
U R' F' L' U R
F' L R D' F2 B L
F' L R D' B L F2
F' L R D' B F2 L
F' L R B L D' F2
F' L R B D' L F2
F' L R B D' F2 L
U L R' F' L' U R
F' L' R D' F2 B L
F' L' R D' B L F2
F' L' R D' B F2 L
F' L' R B L D' F2
F' L' R B D' L F2
F' L' R B D' F2 L
U L' R' F' L' U R
F L' U R' F' L' U
F' L2 R D' F2 B L
F' L2 R D' B L F2
F' L2 R D' B F2 L
F' L2 R B L D' F2
F' L2 R B D' L F2
F' L2 R B D' F2 L
U L2 R' F' L' U R
L' U R' F' L' U R
L2 U R' F' L' U R
L U R' F' L' U R
F' R L D' F2 B L
F' R L D' B L F2
F' R L D' B F2 L
F' R L B L D' F2
F' R L B D' L F2
F' R L B D' F2 L
F' R L' D' F2 B L
F' R L' D' B L F2
F' R L' D' B F2 L
F' R L' B L D' F2
F' R L' B D' L F2
F' R L' B D' F2 L
F' R L2 D' F2 B L
F' R L2 D' B L F2
F' R L2 D' B F2 L
F' R L2 B L D' F2
F' R L2 B D' L F2
F' R L2 B D' F2 L
F' R D' L F2 B L
F' R D' L B L F2
F' R D' L B F2 L
F' R D' L' F2 B L
F' R D' L' B L F2
F' R D' L' B F2 L
F' R D' L2 F2 B L
F' R D' L2 B L F2
F' R D' L2 B F2 L
D' R D' F2 B L R'
D' R D' F2 B R' L
D' R D' B L R' F2
D' R D' B L F2 R'
F' R D' F' B L F'
D' R D' B R' L F2
F' R D' F2 L B L
D' R D' B R' F2 L
F' R D' F2 L' B L
F' R D' F2 L2 B L
D' R D' B F2 L R'
F' R D' F2 D B L
D' R D' B F2 R' L
F' R D' F2 D' B L
F' R D' F2 D2 B L
F' R D' F2 B L D
F' R D' F2 B L D'
F' R D' F2 B L D2
F' R D' F2 B D L
F' R D' F2 B D' L
F' R D' F2 B D2 L
F' R D' B L F2 D
F' R D' B L F2 D'
F' R D' B L F2 D2
F' R D' B L' F2 L2
F' R D' B F' L F'
