U' F L U2 F U
U' F L' B' L2 U'
U2 F' L' D R2 F2
U2 F' L' D F2 R2
F L R2 B' U' B2 L
F L R2 B2 U' B' L
F' L F2 B U' L B'
F L B R2 U' L B
F L B U F' U2 L
F' L B F2 U' L B'
F L B' U F' R' U2
U' L' B' L F L U'
B2 L2 U R' B' U L
U R U2 F L B U'
L2 U B' U2 L' B' U'
L U' L' F B' U' F'
L U' L' B' F U' F'
U2 R F' L' D R2 F2
U2 R F' L' D F2 R2
L2 U' L2 F L B' U'
R' U' F L U2 F U
R' U' F L' B' L2 U'
R2 U' F L U2 F U
R2 U' F L' B' L2 U'
R U' F L U2 F U
R U' F L' B' L2 U'
B' R' U' F L U' F
U2 R' F' L' D R2 F2
U2 R' F' L' D F2 R2
U R' F' U2 L F2 U'
U R' F' U2 F2 L U'
U R' F' D2 B2 R' U
B' R' B U' F L U'
F R2 L B' U' B2 L
F R2 L B2 U' B' L
R' U2 F' L' D R2 F2
R' U2 F' L' D F2 R2
R2 U2 F' L' D R2 F2
R2 U2 F' L' D F2 R2
R U2 F' L' D R2 F2
R U2 F' L' D F2 R2
U2 R2 F' L' D R2 F2
U2 R2 F' L' D F2 R2
F R2 B' U' B2 L F
U' D F L U2 F U
U' D F L' B' L2 U'
U2 D F' L' D R2 F2
U2 D F' L' D F2 R2
D' U' F L U2 F U
U' D' F L U2 F U
D' U' F L' B' L2 U'
U' D' F L' B' L2 U'
D2 U' F L U2 F U
D2 U' F L' B' L2 U'
D U' F L U2 F U
D U' F L' B' L2 U'
U2 D' F' L' D R2 F2
U2 D' F' L' D F2 R2
B U' D2 F L' U' L2
U' D2 F L U2 F U
U' D2 F L' B' L2 U'
D' U2 F' L' D R2 F2
D' U2 F' L' D F2 R2
D2 U2 F' L' D R2 F2
D2 U2 F' L' D F2 R2
U2 D2 F' L' D R2 F2
U2 D2 F' L' D F2 R2
D U2 F' L' D R2 F2
D U2 F' L' D F2 R2
U' F L U2 D F U
U' F L U2 D' F U
U' F L U2 D2 F U
U' F L U2 F U D
U' F L U2 F U D'
U' F L U2 F U D2
U' F L U2 F D U
U' F L U2 F D' U
U' F L U2 F D2 U
U' F L D U2 F U
U' F L D' U2 F U
U' F L D2 U2 F U
U' F L B U2 F U
U' F L B' U2 F U
U' F L B2 U2 F U
U' F L' D B' U' F2
U' F L' B L2 B2 U'
U' F L' B' L2 U' D
U' F L' B' L2 U' D'
U' F L' B' L2 U' D2
U' F L' B' L2 D U'
U' F L' B' L2 D' U'
U' F L' B' L2 D2 U'
U' F L' B' U' D F2
U' F L' B' D U' F2
U' F L' B2 L2 B U'
U' F U' F' L' D F2
U' F D L U2 F U
U' F D L' B' L2 U'
U' F D' L U2 F U
U' F D' L' B' L2 U'
U' F D2 L U2 F U
U' F D2 L' B' L2 U'
U' F B L' B' L U'
U' F B2 U2 R' F' U
U' F' L F2 U2 F' U
U' F' L' F2 B' L2 U'
U' F' L' B' L2 F2 U'
U' F' L' B' F2 L2 U'
U2 F' L' R D R2 F2
U2 F' L' R D F2 R2
U2 F' L' R' D R2 F2
U2 F' L' R' D F2 R2
U2 F' L' R2 D R2 F2
U2 F' L' R2 D F2 R2
U2 F' L' U L2 F2 U'
U2 F' L' U F2 L2 U'
U2 F' L' D R' F2 R'
U2 F' L' D R2 F2 D
U2 F' L' D R2 F2 D'
U2 F' L' D R2 F2 D2
U2 F' L' D F R2 F
U2 F' L' D F2 R2 D
U2 F' L' D F2 R2 D'
U2 F' L' D F2 R2 D2
U F' L F2 R B U'
U2 F' R L' D R2 F2
U2 F' R L' D F2 R2
U2 F' R' L' D R2 F2
U2 F' R' L' D F2 R2
U2 F' R2 L' D R2 F2
U2 F' R2 L' D F2 R2
U2 F' U L F2 U' L2
U2 F' D L' R2 D F2
U2 F' D R2 L' D F2
U2 F' D' L' D F2 R
U F' D2 B2 R' F' U
U' F2 L F' U' D' L2
U' F2 L F' U2 F2 U
U' F2 L F' D' U' L2
U' F2 L F' D2 B2 U'
U' F2 L' F' B' L2 U'
U' F2 L' B' L2 F' U'
U' F2 L' B' F' L2 U'
U' B L' B' L F U'
B D2 U' F L' U' L2
U' B D2 F L' B' U'
U' B F L' B' L U'
B' F U F' R' U2 F'
F B' U F' R' U2 F'
U B2 R' F' U D R2
U B2 R' F' U2 F2 U'
U B2 R' F' D U R2
U B2 R' F' D2 B2 U
U' B2 F U2 R' F' U
