L' R U2 D' F B2
L' R U2 D' B2 F
L' R U2 F D' B2
F2 L U L2 R F
F2 L U R L2 F
L' R D F2 U2 F'
L' R D' U2 F B2
L' R D' U2 B2 F
R L' U2 D' F B2
R L' U2 D' B2 F
F2 L' R D' F B2
F2 L' R D' B2 F
R L' U2 F D' B2
F2 L' R F D' B2
R L' D F2 U2 F'
R L' D' U2 F B2
R L' D' U2 B2 F
F2 L' D' R F B2
F2 L' D' R B2 F
F2 L' D' B2 R F
F2 R L' D' F B2
F2 R L' D' F B2
F2 R L' D' B2 F
F2 R L' F D' B2
L U' L2 R U2 F
L U' R L2 U2 F
L U' R B' L2 U2
L U' B' L2 R U2
L U' B' R L2 U2
L' D R F2 U2 F'
L' D F2 U2 L' F'
L' D' R U2 F B2
L' D' R U2 B2 F
L' R U L2 U' B' U2
R' L U D2 L2 R2 F
R' L U D2 L2 F R2
R' L U D2 R2 L2 F
F2 L R' U L2 R2 F
F2 L R' U L2 F R2
F2 L R' U R2 L2 F
R' L U' L2 R2 U2 F
R2 L U' L2 R' U2 F
R' L U' R2 L2 U2 F
R' L U' R2 B' L2 U2
R2 L U' R' L2 U2 F
R2 L U' R' B' L2 U2
L' R U' D2 R2 U' F
F2 L R2 U L2 R' F
F2 L R2 U L2 F R'
F2 L R2 U R' L2 F
R' L U' B' L2 R2 U2
R' L U' B' R2 L2 U2
L' R U2 D' F B2 D
L' R U2 D' F B2 D'
L' R U2 D' F B2 D2
L' R U2 D' B2 D F
L' R U2 D' B2 D' F
L' R U2 D' B2 D2 F
L' R U2 D' B2 F D
L' R U2 D' B2 F D'
L' R U2 D' B2 F D2
L' R U2 D2 F D B2
L' R U2 F U' L2 U
L' R U2 F D' B2 D
L' R U2 F D' B2 D'
L' R U2 F D' B2 D2
L' R U2 F B D' B2
L' R U2 F B' D' B2
L' R U2 F B2 D' B2
L' R U2 F2 D' F' B2
L' R U2 F2 D' B2 F'
L' R U2 B D' F B2
L' R U2 B D' B2 F
L' R U2 B F D' B2
F2 L U L2 R D F
F2 L U L2 R D' F
F2 L U L2 R D2 F
F2 L U L2 R F D
F2 L U L2 R F D'
F2 L U L2 R F D2
F2 L U L2 R' F R2
F2 L U L2 R2 F R'
F2 L U L2 D R F
F2 L U L2 D' R F
F2 L U L2 D2 R F
L' R U2 B' D' F B2
L' R U2 B' D' B2 F
L' R U2 B' F D' B2
F2 L U R L2 D F
F2 L U R L2 D' F
F2 L U R L2 D2 F
F2 L U R L2 F D
F2 L U R L2 F D'
F2 L U R L2 F D2
L' R U2 B2 D' F B2
F2 L U R F L2 F
L' R U2 B2 D' B2 F
F2 L U R F' L2 F
L' R U2 B2 F D' B2
F2 L U R F2 L2 F
F2 L U R' L2 F R2
F2 L U R2 L2 F R'
F2 L U F' L2 F R
L' R D F2 U2 D F'
L' R D F2 U2 D' F'
L' R D F2 U2 D2 F'
L' R D F2 U2 F' D
L' R D F2 U2 F' D'
L' R D F2 U2 F' D2
L' R D F2 D U2 F'
L' R D F2 D' U2 F'
L' R D F2 D2 U2 F'
L' R D F2 B U2 F'
L' R D F2 B' U2 F'
L' R D F2 B2 U2 F'
D2 L U' L2 R U2 F'
U' L U' L2 R U2 F
U2 L U' L2 R U2 F
L' R D B F2 U2 F'
D2 L U' R L2 U2 F'
U' L U' R L2 U2 F
U2 L U' R L2 U2 F
L' R D B' F2 U2 F'
U' L U' R B' L2 U2
U2 L U' R B' L2 U2
L' R D B2 F2 U2 F'
U L U' L2 R U2 F
U L U' R L2 U2 F
U L U' R B' L2 U2
U' L U' B' L2 R U2
U' L U' B' R L2 U2
L' R D' U2 F B2 D
L' R D' U2 F B2 D'
L' R D' U2 F B2 D2
L' R D' U2 B2 D F
L' R D' U2 B2 D' F
L' R D' U2 B2 D2 F
L' R D' U2 B2 F D
L' R D' U2 B2 F D'
L' R D' U2 B2 F D2
U2 L U' B' L2 R U2
U2 L U' B' R L2 U2
F2 L U' B' U2 L2 R
F2 L U' B' U2 R L2
L' R D' F' U2 F2 B2
L' R D' F' U2 B2 F2
U L U' B' L2 R U2
L' R D' F2 U2 F' B2
L' R D' F2 U2 B2 F'
U L U' B' R L2 U2
L' R D' B U2 F B
L' R D' B U2 B F
L' R D' B' U2 F B'
L' R D' B' U2 B' F
R' L D2 U L2 R2 F
R' L D2 U L2 F R2
R' L D2 U R2 L2 F
L' R D2 U' R2 U' F
L' R D2 U2 F D B2
L' R F D F2 U2 F2
L' R F' U L2 U F2
L' R F' U2 F2 D' B2
L' R F2 U L2 U F'
L' R F2 U2 D' F' B2
L' R F2 U2 D' B2 F'
L' R F2 U2 F' D' B2
L' R F2 D F2 U2 F
L' R F2 D' U2 F' B2
L' R F2 D' U2 B2 F'
L' R B U2 D' F B2
L' R B U2 D' B2 F
L' R B U2 F D' B2
L' R B D F2 U2 F'
L' R B D' U2 F B2
L' R B D' U2 B2 F
L R B' L2 U L2 U
L R B' L2 U2 D' B2
L R B' L2 D F2 U2
L R B' L2 D' U2 B2
R L B' L2 U L2 U
R L B' L2 U2 D' B2
R L B' L2 D F2 U2
R L B' L2 D' U2 B2
L' R B' U2 D' F B2
L' R B' U2 D' B2 F
L' R B' U2 F D' B2
L' R B' D F2 U2 F'
L' R B' D' U2 F B2
L' R B' D' U2 B2 F
L' R B2 U2 D' F B2
L' R B2 U2 D' B2 F
L' R B2 U2 F D' B2
L' R B2 D F2 U2 F'
L' R B2 D' U2 F B2
L' R B2 D' U2 B2 F
R L' U L2 U' B' U2
L R' U D2 L2 R2 F
L R' U D2 L2 F R2
L R' U D2 R2 L2 F
L R' U' L2 R2 U2 F
L R' U' R2 L2 U2 F
L R' U' R2 B' L2 U2
R L' U' D2 R2 U' F
L R' U' B' L2 R2 U2
L R' U' B' R2 L2 U2
D2 L' R U L2 U F'
R2 L' U2 D' F B2 L
R2 L' U2 D' B2 F L
