R U' F' R' B' L'
B' L R F' R' D' L2
B' L R F' D' L2 R'
B' L R F' D' R' L2
B' L U' R F U F2
B' L U' F R U F'
B' L' U D B' L U'
D L' U B' L U' B'
B' L' D U B' L U'
B' L' D2 L' D F L'
D L2 D L' F L' B'
B' L2 D F D L' F
D' L2 D' L2 B' L F
B' L2 D2 L' D' F L'
B' R L F' R' D' L2
B' R L F' D' L2 R'
B' R L F' D' R' L2
R U F' R' B L B2
B2 R U F' R' B L
F' R U' F' R' B' L'
B2 R U' F' L' R' B
B2 R U' F' R' L' B
B2 R U' F' R' B L'
F2 R U' F' R' B' L'
R' U B U2 L R B2
R' U B U2 L B2 R
R' U B U2 R L B2
U2 R U' B U' F' B2
U2 R U' B U' B2 F'
B R U' F' L' R' B2
B R U' F' R' L' B2
B R U' F' R' B2 L'
F R U' F' R' B' L'
R' U B' R D2 L2 F2
R' U B' R D2 F2 L2
U2 R U2 F' B' D L2
U2 R U2 B' D L2 F'
U2 R U2 B' D F' L2
U2 R U2 B' F' D L2
R U' L F' L' R' B'
R U' L F' R' L' B'
U' R F U F2 B' L'
U' R F U B' F2 L'
U' R F2 U F B' L'
U' R F2 U B' F L'
R' U' R2 F' R' B' L'
U R B U' L F' B2
U R B U' L B2 F'
U R B U' F' L B2
R U' D F' R' B' L'
R U' D' F' R' B' L'
R U' D2 F' R' B' L'
L U' F U2 R U' F'
R U' F' L' D2 R' B
R U' F' R B' L' R2
R U' F' R B' R2 L'
R U' F' R' D B' L'
R U' F' R' D' B' L'
R U' F' R' D2 B' L'
R U' F' R' B L' B2
R U' F' R' B' L' D
R U' F' R' B' L' D'
R U' F' R' B' L' D2
R U' F' R' B' D L'
R U' F' R' B' D' L'
R U' F' R' B' D2 L'
R U' F' R' B2 L' B
R U' F' R2 B' L' R
R U' F' R2 B' R L'
R U' F' D R' B' L'
R U' F' D' R' B' L'
R U' F' D2 R' B' L'
R U' F2 R' F B' L'
R U' F2 R' B' F L'
R U' B' D2 F' L' R
R U' B' D2 F' R L'
U2 R' B U F' U B2
R2 U2 R2 D B' L F
U2 R2 U2 D B' L F
U2 R2 D U2 B' L F
R D U' F' R' B' L'
B' U B' U R' B U2
R D' U' F' R' B' L'
B' U' R F U F2 L'
B' U' R F2 U F L'
U' D' F' R U B' L'
D' U' F' R U B' L'
D2 U' F' U B' L' F
B' U' D' F' R U L'
B' U' D2 F' U L' F
B' U' F U' R U2 F'
L2 D2 L' D' F L' B'
B' U' F' R U L' F'
B' U' F' U D2 L' F
L2 D2 L2 D B' L F
B' U' F' D2 U L' F
R D2 U' F' R' B' L'
U' D2 F' U B' L' F
B' U2 R U' B U' F'
B' U2 R' B U F' U
U' F U' R U2 F' B'
U' F U' R U2 B' F'
B' D L' U B' L U'
B' D L2 D L' F L'
B' D L2 D F L' F
U' F' R U B' L' F'
U' F' U D2 B' L' F
U' F' U B' D2 L' F
U' F' D2 U B' L' F
B' D' U' F' R U L'
B' D2 L F' D' L2 F
B' D2 L' U B' U' F
B' D2 L' F U B' U'
B2 D2 L' F B D L2
B2 D2 L' B D F L2
B2 D2 L' B F D L2
B' D2 L2 D L F L'
B' D2 U' F' U L' F
U B R U' L F' B2
U B R U' L B2 F'
U B R U' F' L B2
D2 B' L F' D' L2 F
D2 B' L' U B' U' F
D2 B' L' F U B' U'
D B' L U' F U F'
D2 B' L2 D L F L'
D B' L' U B' L2 U'
U' B' R D' F' L' R
U' B' R D' F' R L'
D B' U L B U' L
D2 B' U' F' U L' F
D' B' U' F' R U L'
D2 B2 L' F B D L2
D2 B2 L' B D F L2
D2 B2 L' B F D L2
