U2 B2 U' B R' F'
B L F B U' B R
B L B F U' B R
U2 R B2 U' B R' F'
U2 R' B2 U' B R' F'
R' U2 B2 U' B R' F'
R2 U2 B2 U' B R' F'
R U2 B2 U' B R' F'
U2 R2 B2 U' B R' F'
B U L F B U' B
B U L B F U' B
B' U B2 L F B U'
B' U B2 L B F U'
B' U' R' U2 F' B' U'
B' U' R' U2 B' F' U'
D' F B' R D' F2 L'
D F B' L2 R D' F2
D F B' R L2 D' F2
F D B' L2 R D' F2
F D B' R L2 D' F2
U2 F' B2 L' U' B R'
B2 D' F U' B R F'
D2 F2 U R' F' R B'
D2 F2 U R' F' B' R
D2 F2 U R' B' F' R
D2 F2 U B' R' F' R
F D' B' R D' F2 L'
B2 D2 F L' U' B R
F D2 B' R D' L2 F2
F D2 B' R D' F2 L2
B F L B U' B R
F B L B U' B R
B2 F U' D' B R F'
B2 F U' B R D' F2
B2 F D' U' B R F'
D B' L2 F R D' F2
U B' U B' U' R' F'
D' B' F R D' F2 L'
D B' F L2 R D' F2
D B' F R L2 D' F2
U2 B2 L U' B R' F'
U2 B2 L' U' B R' F'
U2 B2 L2 U' B R' F'
U2 B2 U' F B R' F'
U2 B2 U' F' B R' F'
U2 B2 U' F2 B R' F'
U2 B2 U' B R' D F'
U2 B2 U' B R' D' F'
U2 B2 U' B R' D2 F'
U2 B2 U' B R' F' D
U2 B2 U' B R' F' D'
U2 B2 U' B R' F' D2
U2 B2 U' B D R' F'
U2 B2 U' B D' R' F'
U2 B2 U' B D2 R' F'
U2 B2 U' B F R' F'
U2 B2 U' B F' R' F'
U2 B2 U' B F2 R' F'
F B2 U' D' B R F'
F B2 U' B R D' F2
U2 B2 F' L' U' B R'
F B2 D' U' B R F'
