U2 L' U L2 F U2
U2 L' U' D2 R2 B'
U2 L' U' D2 B' R2
U2 L' U' B' D2 R2
U2 L' D F2 U' B'
U2 L' D2 U' R2 B'
U2 L' D2 U' B' R2
B2 U2 L' U' R' B'
L' R U L2 U2 L2 B
L' R U L2 U2 B L2
U2 L U' L2 U' B' L2
R' L F' U' L2 B' U'
U2 L F U' L2 U' L2
R' L' U L2 F' U2 L2
L' R' U L2 F' U2 L2
R L' U L2 U2 L2 B
R L' U L2 U2 B L2
R' L' U F' L2 U2 L2
L' R' U F' L2 U2 L2
R' L' U' L2 F' U2 F
L' R' U' L2 F' U2 F
U' L B' U' L2 R' U'
U' L B' U' R' L2 U'
R' L' U' F' L2 B' U2
L' R' U' F' L2 B' U2
U2 L' R U L2 F U2
U2 L' R U' D2 R2 B'
U2 L' R U' D2 B' R2
U2 L' R U' B' D2 R2
U2 L' R D F2 U' B'
U2 L' R D2 U' R2 B'
U2 L' R D2 U' B' R2
U2 L' R' U L2 F U2
U2 L' R' U' D2 R2 B'
U2 L' R' U' D2 B' R2
U2 L' R' U' B' D2 R2
U2 L' R' D F2 U' B'
U2 L' R' D2 U' R2 B'
U2 L' R' D2 U' B' R2
U2 L' R2 U L2 F U2
U2 L' R2 U' D2 R2 B'
U2 L' R2 U' D2 B' R2
U2 L' R2 U' B' D2 R2
U2 L' R2 D F2 U' B'
U2 L' R2 D2 U' R2 B'
U2 L' R2 D2 U' B' R2
U2 L' U L2 D F U2
U2 L' U L2 D' F U2
U2 L' U L2 D2 F U2
U2 L' U L2 F U2 D
U2 L' U L2 F U2 D'
U2 L' U L2 F U2 D2
U2 L' U L2 F D U2
U2 L' U L2 F D' U2
U2 L' U L2 F D2 U2
U2 L' U F L2 F U2
U2 L' U F' L2 F U2
U2 L' U F2 L2 F U2
U2 L' U' R D2 R2 B'
U2 L' U' R D2 B' R2
U2 L' U' R B' D2 R2
U2 L' U' R' D2 R2 B'
U2 L' U' R' D2 B' R2
U2 L' U' R' B' D2 R2
U2 L' U' R2 D2 R2 B'
U2 L' U' R2 D2 B' R2
U2 L' U' R2 B' D2 R2
U2 L' U' D B' D R2
U2 L' U' D2 R B' R
U2 L' U' D2 R2 D B'
U2 L' U' D2 R2 D' B'
U2 L' U' D2 R2 D2 B'
U2 L' U' D2 R2 B' D
U2 L' U' D2 R2 B' D'
U2 L' U' D2 R2 B' D2
U2 L' U' D2 B R2 B2
U2 L' U' D2 B' R2 D
U2 L' U' D2 B' R2 D'
U2 L' U' D2 B' R2 D2
U2 L' U' B' R D2 R2
U2 L' U' B' R' D2 R2
U2 L' U' B' R2 D2 R2
U2 L' U' B' U2 L2 U2
U2 L' U' B' D2 R2 D
U2 L' U' B' D2 R2 D'
U2 L' U' B' D2 R2 D2
U2 L' U' B2 D2 B R2
L R' F' U' L2 B' U'
U2 L' U2 D' B2 U B
U2 L' D R F2 U' B'
U2 L' D R' F2 U' B'
U2 L' D R2 F2 U' B'
U2 L' D U' B' D R2
U2 L' D F2 R U' B'
U2 L' D F2 R' U' B'
U2 L' D F2 R2 U' B'
U2 L' D F2 U' D B'
U2 L' D F2 U' D' B'
U2 L' D F2 U' D2 B'
U2 L' D F2 U' B' D
U2 L' D F2 U' B' D'
U2 L' D F2 U' B' D2
U2 L' D F2 D U' B'
U2 L' D F2 D' U' B'
U2 L' D F2 D2 U' B'
U2 L' D' U2 B2 U B
U2 L' D2 R U' R B'
U2 L' D2 R U' B' R
U2 L' D2 R' U' R' B'
U2 L' D2 U' R B' R
U2 L' D2 U' R2 D B'
U2 L' D2 U' R2 D' B'
U2 L' D2 U' R2 D2 B'
U2 L' D2 U' R2 B' D
U2 L' D2 U' R2 B' D'
U2 L' D2 U' R2 B' D2
U2 L' D2 U' B R2 B2
U2 L' D2 U' B' R2 D
U2 L' D2 U' B' R2 D'
U2 L' D2 U' B' R2 D2
U2 L' D2 F U' R2 B'
U2 L' D2 F U' B' R2
U2 L' D2 F' U' R2 B'
U2 L' D2 F' U' B' R2
U2 L' D2 F2 U' R2 B'
U2 L' D2 F2 U' B' R2
U2 L' F U L2 F U2
U2 L' F U' D2 R2 B'
U2 L' F U' D2 B' R2
U2 L' F U' B' D2 R2
U2 L' F D F2 U' B'
U2 L' F D2 U' R2 B'
U2 L' F D2 U' B' R2
U2 L' F' U L2 F U2
U2 L' F' U' D2 R2 B'
U2 L' F' U' D2 B' R2
U2 L' F' U' B' D2 R2
U2 L' F' D F2 U' B'
U2 L' F' D2 U' R2 B'
U2 L' F' D2 U' B' R2
U2 L' F2 U L2 F U2
U2 L' F2 U' D2 R2 B'
U2 L' F2 U' D2 B' R2
U2 L' F2 U' B' D2 R2
U2 L' F2 D F2 U' B'
U2 L' F2 D2 U' R2 B'
U2 L' F2 D2 U' B' R2
F2 L2 R F2 U B R
