D L2 B R F
D L' B L' R F
D L' B R L' F
D L2 D B R F
D L2 D' B R F
D L2 D2 B R F
D L2 F D2 B R'
D L2 B R D F
D L2 B R D' F
D L2 B R D2 F
D L2 B R F D
D L2 B R F D'
D L2 B R F D2
D L2 B R' F R2
D L2 B R2 F R'
D L2 B D R F
D L2 B D' R F
D L2 B D2 R F
D L2 B' R F B2
D L2 B' R B2 F
D L2 B2 R F B'
D L2 B2 R B' F
B2 R2 U' F' R' B'
U' D L2 B R F
U2 D L2 B R F
U D L2 B R F
D U L2 B R F
L2 D B R F L2
B2 U B U2 R B2
B2 U B U2 B2 R
D U' L2 B R F
B2 U' R2 F' R' B'
B2 U' B' R D2 F2
B' U' B' U' R B'
B' U' B' U' B' R
B2 U' B' D2 R F2
D U2 L2 B R F
F' D L2 F B R
F' D L2 B F R
D F' L2 F B R
D F' L2 B F R
D B L2 R D2 F2
L2 B R D' F L'
D' B R D2 F2 L'
D B L2 D2 R F2
D B R L2 D2 F2
D' B D2 L2 R F2
D' B D2 R L2 F2
D' B D2 R F2 L2
D B D2 R F2 L'
D' B' R2 U2 R' B2
D B' U2 L2 R B2
D B' U2 L2 B2 R
D B' U2 R L2 B2
D B' U2 R B2 L2
D B' U2 B2 L2 R
D B' U2 B2 R L2
L2 B2 U' R F B'
L2 B2 U' R B' F
L2 B2 U' B' R F
D L R D2 L F B'
D L R D2 L B' F
D' L R2 F' U2 R' F'
D L D L B R F
D L D' L B R F
D L D2 L B R F
D L F' L F B R
D L F' L B F R
D L' U L' B R F
D L' U B L' R F
D L' U B R L' F
D L' U' L' B R F
D L' U' B L' R F
D L' U' B R L' F
D L' U2 L' B R F
D L' U2 B L' R F
D L' U2 B R L' F
D' L' D2 L2 B R F'
D L' D2 L' B R F'
D' L' D2 B L2 R F'
D' L' D2 B R L2 F'
D' L' D2 B R F' L2
D L' D2 B L' R F'
D L' D2 B R L' F'
D' L' B R F2 L' F
D L' B L' R D F
D L' B L' R D' F
D L' B L' R D2 F
D L' B L' R F D
D L' B L' R F D'
D L' B L' R F D2
D L' B L' R' F R2
D L' B L' R2 F R'
D L' B L' D R F
D L' B L' D' R F
D L' B L' D2 R F
D L' B R L' D F
D L' B R L' D' F
D L' B R L' D2 F
D L' B R L' F D
D L' B R L' F D'
D L' B R L' F D2
D L' B R' L' F R2
D L' B R2 L' F R'
D' L' B D2 L2 R F'
D' L' B D2 R L2 F'
D' L' B D2 R F' L2
D L' B D2 L' R F'
D L' B D2 R L' F'
D L' B' L' R F B2
D L' B' L' R B2 F
D L' B' L' B2 R F
D L' B' R L' F B2
D L' B' R L' B2 F
D L' B' R B2 L' F
D L' B2 R B' L' F
D L2 R F R' B R
D L2 R' F R B R
D' L2 R2 F' U2 R' F2
D' L2 R2 F' U2 F2 R'
D L2 R2 F R' D2 B2
D L2 R2 F D2 R' B2
F' L2 D F L2 B R
F' L2 D F B L2 R
F' L2 D F B R L2
U' L2 D B R F L2
F' L2 D B F L2 R
F' L2 D B F R L2
D L2 D F D2 B R'
U2 L2 D B R F L2
D L2 D B R D F
D L2 D B R D' F
D L2 D B R D2 F
D L2 D B R F D
D L2 D B R F D'
D L2 D B R F D2
D L2 D B R' F R2
D L2 D B R2 F R'
D L2 D B D R F
D L2 D B D' R F
D L2 D B D2 R F
D L2 D B' R F B2
D L2 D B' R B2 F
D L2 D B2 R F B'
D L2 D B2 R B' F
U L2 D B R F L2
D2 L2 D' B R F L2
D L2 D' F D2 B R'
D L2 D' B R D F
D L2 D' B R D' F
D L2 D' B R D2 F
D L2 D' B R F D
D L2 D' B R F D'
D L2 D' B R F D2
D L2 D' B R' F R2
D L2 D' B R2 F R'
D L2 D' B D R F
D L2 D' B D' R F
D L2 D' B D2 R F
D L2 D' B' R F B2
D L2 D' B' R B2 F
D L2 D' B2 R F B'
D L2 D' B2 R B' F
D' L2 D2 B R F L2
D L2 D2 F D2 B R'
D L2 D2 B R D F
D L2 D2 B R D' F
D L2 D2 B R D2 F
D L2 D2 B R F D
D L2 D2 B R F D'
D L2 D2 B R F D2
D L2 D2 B R' F R2
D L2 D2 B R2 F R'
D L2 D2 B D R F
D L2 D2 B D' R F
D L2 D2 B D2 R F
D L2 D2 B' R F B2
D L2 D2 B' R B2 F
D L2 D2 B2 R F B'
D L2 D2 B2 R B' F
F' L2 F D L2 B R
F' L2 F D B L2 R
F' L2 F D B R L2
D' L2 F D2 L2 B R'
D' L2 F D2 B L2 R'
D' L2 F D2 B R' L2
D L2 F D2 B R' D
D L2 F D2 B R' D'
D L2 F D2 B R' D2
D L2 F D2 B D R'
D L2 F D2 B D' R'
D L2 F D2 B D2 R'
D2 L2 B R D' F L2
D' L2 B R F2 L' F'
U' L2 B R D' F L'
U2 L2 B R D' F L'
D L2 B R D F D
D L2 B R D F D'
D L2 B R D F D2
D L2 B R D' F D
D L2 B R D' F D'
D L2 B R D' F D2
D2 L2 B D' R F L2
D L2 B R D2 F D
D L2 B R D2 F D'
D L2 B R D2 F D2
D L2 B R F2 D F'
D L2 B R F2 D' F'
D L2 B R F2 D2 F'
D L2 B R' F R2 D
D L2 B R' F R2 D'
D L2 B R' F R2 D2
D L2 B R' F' R2 F2
D' L2 B D2 R F L2
D L2 B R2 D R' F
D L2 B R2 D F R'
D L2 B R2 D' R' F
D L2 B R2 D' F R'
D L2 B R2 D2 R' F
D L2 B R2 D2 F R'
D L2 B R2 F R' D
D L2 B R2 F R' D'
D L2 B R2 F R' D2
D L2 B R2 F D R'
D L2 B R2 F D' R'
D L2 B R2 F D2 R'
D L2 B R2 F' R' F2
U L2 B R D' F L'
D L2 B D R D F
D L2 B D R D' F
D L2 B D R D2 F
D L2 B D R F D
D L2 B D R F D'
D L2 B D R F D2
D L2 B D R' F R2
D L2 B D R2 F R'
D L2 B D' R D F
D L2 B D' R D' F
D L2 B D' R D2 F
D L2 B D' R F D
D L2 B D' R F D'
D L2 B D' R F D2
D L2 B D' R' F R2
D L2 B D' R2 F R'
