F2 L B' L' R' U
F2 L B' R' L' U
F2 U R' D F' R
F2 U D R' F' R
F2 U2 F' L' F U'
F2 D U R' F' R
F2 D2 B' R' B U
L B' L' R' F2 U
L B' L' F2 R' U
L B' R' L' F2 U
F2 B' D2 R' B U
B' F2 D2 R' B U
F2 L R B' L' R' U
F2 L R B' R' L' U
B' L R' B' L' F2 U
F2 L R' B' L' R' U
F2 L R' B' R' L' U
F2 L R2 B' L' R' U
F2 L R2 B' R' L' U
U' L U F2 B' U F'
U' L U B' F2 U F'
U L U' F2 B' R' U
U L U' B' R' F2 U
U L U' B' F2 R' U
U2 L U2 F2 B' R' U
U2 L U2 B' R' F2 U
U2 L U2 B' F2 R' U
B L U2 B' L' F2 U
F2 L D B' L' R' U
F2 L D B' R' L' U
F2 L D' B' L' R' U
F2 L D' B' R' L' U
F2 L D2 B' L' R' U
F2 L D2 B' R' L' U
R' L B' L' R' F2 U
R' L B' L' F2 R' U
R2 L B' L' R' F2 U
L R B' L' R' F2 U
R' L B' R' L' F2 U
R2 L B' L' F2 R' U
L R B' L' F2 R' U
R L B' L' R' F2 U
R L B' L' F2 R' U
R2 L B' R' L' F2 U
L R B' R' L' F2 U
R L B' R' L' F2 U
F' L B' L' F' R' U
F2 L B' L' R' U D
F2 L B' L' R' U D'
F2 L B' L' R' U D2
F2 L B' L' R' D U
F2 L B' L' R' D' U
F2 L B' L' R' D2 U
F2 L B' L' D R' U
F2 L B' L' D' R' U
F2 L B' L' D2 R' U
F L B' L' R' F U
F L B' L' F R' U
F2 L B' R' L' U D
F2 L B' R' L' U D'
F2 L B' R' L' U D2
F2 L B' R' L' D U
F2 L B' R' L' D' U
F2 L B' R' L' D2 U
F2 L B' R' D L' U
F2 L B' R' D' L' U
F2 L B' R' D2 L' U
F L B' R' L' F U
F2 L B' D L' R' U
F2 L B' D R' L' U
F2 L B' D' L' R' U
F2 L B' D' R' L' U
F2 L B' D2 L' R' U
F2 L B' D2 R' L' U
F2 L B2 L' B R' U
L R' B' L' R' F2 U
L R' B' L' F2 R' U
L R' B' R' L' F2 U
U2 L' F U2 R F U
L R2 B' L' R' F2 U
L R2 B' L' F2 R' U
L R2 B' R' L' F2 U
F2 R L B' L' R' U
F2 R L B' R' L' U
F2 R U R' D F' R
F2 R U D R' F' R
D2 R U2 F' L' B2 U'
D2 R U2 F' B2 L' U'
D2 R U2 B2 F' L' U'
F2 R U2 F' L' F U'
F2 R D U R' F' R
F2 R D2 B' R' B U
F2 R B' D2 R' B U
B' R' L B' L' F2 U
F2 R' L B' L' R' U
F2 R' L B' R' L' U
F2 R' U R' D F' R
F2 R' U D R' F' R
F2 R' U2 F' L' F U'
F2 R' D U R' F' R
U R' D F' D2 L2 R
U R' D F' D2 R L2
B' R' D' B U L2 R'
B' R' D' B U R' L2
U R' D' L2 D2 F' R
F2 R' D2 B' R' B U
B' R' F' D F' U R
B' R' F2 L B' L' U
B' R' F2 D' B U R'
