F2 L' U L' F' B'
F2 L' U L' B' F'
F L' F' U F L'
F L' F2 U F2 L'
D R' F2 U F' B
D R' F2 U B F'
F2 U L' B' L' F'
F2 U F' L' B' L'
F' U2 R U' L2 F2
F' U2 R U' F2 L2
U F L D' L B2
L F L' U F L2
U F L2 U' L U
U F U' L' U L'
F D L' F2 U F2
F' D F2 L' R2 U
F' D F2 R2 L' U
F' L R U' L F2 R
F2 L U L F' D2 B2
F2 L U L' F' B' L2
F2 L U L' B' L2 F'
F2 L U L' B' F' L2
F' L U F2 L D' B2
F2 L U F' L' B' L2
F' L U2 R U' L F2
F' L U2 R U' F2 L
R' L F L' U F L2
R2 L F L' U F L2
L R F L' U F L2
R L F L' U F L2
F L D' L B2 D' R2
F L F L2 U L' F'
F L F2 L2 U L' F2
F L B2 D' B2 L R2
F L B2 D' B2 R2 L
F L' R F' U F L'
F L' R F2 U F2 L'
F L' R' F' U F L'
F L' R' F2 U F2 L'
F L' R2 F' U F L'
F L' R2 F2 U F2 L'
F2 L' U L' D F' B'
F2 L' U L' D B' F'
F2 L' U L' D' F' B'
F2 L' U L' D' B' F'
F2 L' U L' D2 F' B'
F2 L' U L' D2 B' F'
F2 L' U L' F' D B'
F2 L' U L' F' D' B'
F2 L' U L' F' D2 B'
F2 L' U L' F' B' D
F2 L' U L' F' B' D'
F2 L' U L' F' B' D2
F2 L' U L' B' D F'
F2 L' U L' B' D' F'
F2 L' U L' B' D2 F'
F2 L' U L' B' F' D
F2 L' U L' B' F' D'
F2 L' U L' B' F' D2
F2 L' U L2 F' L B'
F L' U L' U L U'
F L' U L2 D L F2
F L' U L2 D F2 L
F2 L' U D L' F' B'
F2 L' U D L' B' F'
F2 L' U D' L' F' B'
F2 L' U D' L' B' F'
F2 L' U D2 L' F' B'
F2 L' U D2 L' B' F'
F2 L' U B L' F' B'
F2 L' U B L' B' F'
F2 L' U B' L' F' B'
F2 L' U B' L' B' F'
F2 L' U B2 L' F' B'
F2 L' U B2 L' B' F'
L R' F L' U F L2
F' L' U2 R U' L' F2
F2 L' D U L' F' B'
F2 L' D U L' B' F'
F L' D F' U F L'
F L' D F2 U F2 L'
U L' D' L F B' L2
U L' D' L B' F L2
F2 L' D' U L' F' B'
F2 L' D' U L' B' F'
F L' D' F' U F L'
F L' D' F2 U F2 L'
F2 L' D2 U L' F' B'
F2 L' D2 U L' B' F'
F L' D2 F' U F L'
F L' D2 F2 U F2 L'
F L' F' R U F L'
F L' F' R' U F L'
F L' F' R2 U F L'
F L' F' U F L' D
F L' F' U F L' D'
F L' F' U F L' D2
F L' F' U F D L'
F L' F' U F D' L'
F L' F' U F D2 L'
F L' F2 U L F2 L'
F L' F2 U L' F2 L'
F L' F2 U L2 F2 L'
F L' F2 U F2 L' D
F L' F2 U F2 L' D'
F L' F2 U F2 L' D2
F L' F2 U F2 D L'
F L' F2 U F2 D' L'
F L' F2 U F2 D2 L'
F L' F2 U' R U2 F2
L R2 F L' U F L2
F' L2 U R U' R' F2
F' L2 U R U' F2 R'
F L2 U' L U' L' U2
F L2 F L U L' F'
F L2 F' L U L' F
F L2 F2 L U L' F2
F L2 B U' B' L U
F' R L U' L F2 R
F L2 B2 U' B2 L U
R' U F L D' L B2
R' U F L2 U' L U
R' U F U' L' U L'
R2 U F L D' L B2
R2 U F L2 U' L U
R U F L D' L B2
R U F L2 U' L U
F R L' F' U F L'
R2 U F U' L' U L'
F R L' F2 U F2 L'
R U F U' L' U L'
F' R U L2 F2 D2 B2
F' R U F' L2 F' B'
F' R U F' L2 B' F'
F' R U F2 L2 D2 B2
F' R U' L F2 L R
F' R U' L F2 R L
F' R U' L2 F2 D2 R2
F' R U' F2 L2 D2 R2
F R D L' F2 U F2
F' R F' U F' L2 B'
D R F2 L2 U F' B'
D R F2 L2 U B' F'
D R F2 U F' D2 B2
D R F2 U' F U2 F2
F R' L' F' U F L'
F R' L' F2 U F2 L'
F' R' U L2 F2 D B2
F' R' U F2 L2 D B2
D R' U D' F L2 B
D R' U D' F B L2
D R' U D' B F L2
D R' U B D' F L2
F' R' U2 R2 U' L2 F2
F' R' U2 R2 U' F2 L2
F' R' D R2 F2 U B2
F' R' D F2 R2 U B2
F R' D L' F2 U F2
D R' D' U F L2 B
D R' D' U F B L2
D R' D' U B F L2
D R' F2 L U F' B
D R' F2 L U B F'
D R' F2 L' U F' B
D R' F2 L' U B F'
D R' F2 L2 U F' B
D R' F2 L2 U B F'
D R' F2 U D F' B
D R' F2 U D B F'
D R' F2 U D' F' B
D R' F2 U D' B F'
D R' F2 U D2 F' B
D R' F2 U D2 B F'
D R' F2 U F' D B
D R' F2 U F' D' B
D R' F2 U F' D2 B
D R' F2 U F' B D
D R' F2 U F' B D'
D R' F2 U F' B D2
D R' F2 U B D F'
D R' F2 U B D' F'
D R' F2 U B D2 F'
D R' F2 U B F' D
D R' F2 U B F' D'
D R' F2 U B F' D2
D R' F2 D U F' B
D R' F2 D U B F'
D R' F2 D' U F' B
D R' F2 D' U B F'
D R' F2 D2 U F' B
D R' F2 D2 U B F'
F R2 L' F' U F L'
F R2 L' F2 U F2 L'
F' R2 U2 R' U' L2 F2
F' R2 U2 R' U' F2 L2
F' R2 D R2 F2 L' U
F R2 D L' F2 U F2
B' R2 F' R U' L2 F2
B' R2 F' R U' F2 L2
R' D R' F2 U F' B
R' D R' F2 U B F'
R2 D R' F2 U F' B
R2 D R' F2 U B F'
R D R' F2 U F' B
R D R' F2 U B F'
F' U L F2 L D' B2
F2 U L F' L D2 B2
F2 U L F' D2 L B2
F2 U L' D B' L' F'
F2 U L' D' B' L' F'
F2 U L' D2 B' L' F'
F2 U L' F' D2 B' L
F2 U L' B L' F' B2
F2 U L' B L' B2 F'
F2 U L' B' L F' L2
F' U L2 U R U' F2
F2 U L' B' L' D F'
F2 U L' B' L' D' F'
F2 U L' B' L' D2 F'
F2 U L' B' L' F' D
F2 U L' B' L' F' D'
F2 U L' B' L' F' D2
F2 U L' B' L2 F' L
F2 U L' B' D L' F'
F2 U L' B' D' L' F'
F2 U L' B' D2 L' F'
F2 U L' B2 L' F' B
F2 U L' B2 L' B F'
F' U L2 F2 U' L' U
F2 U L2 F' L B' L'
F' U R U' L2 R' F2
F' U R U' L2 F2 R'
F' U R U' R' L2 F2
F' U R U' R' F2 L2
F' U R U' F2 L2 R'
F' U R U' F2 R' L2
D' U F L D B' L2
D' U F L' D L2 B'
L' D' L U F B' L2
L' D' L U B' F L2
F2 U F L' B' L' F2
F2 U F' L' D B' L'
F2 U F' L' D' B' L'
F2 U F' L' D2 B' L'
F2 U F' L' B L' B2
F2 U F' L' B' L' D
F2 U F' L' B' L' D'
F2 U F' L' B' L' D2
F2 U F' L' B' D L'
F2 U F' L' B' D' L'
F2 U F' L' B' D2 L'
F2 U F' L' B2 L' B
F' U F2 L D' L B2
F' U F2 L2 U' L U
F2 U F' B L' B' L'
F2 U F' B' L' B' L'
F2 U F' B2 L' B' L'
F' U F2 U' L' U L'
F2 U B L' B' L' F'
F U F2 R U' L2 R'
F U F2 R U' R' L2
F2 U B F' L' B' L'
F2 U B' L' B' L' F'
F2 U B' F' L' B' L'
F2 U B2 L' B' L' F'
F2 U B2 F' L' B' L'
F U' L' U L' D2 R2
F U' L' U' L U2 L2
F U' L' B2 U L' R'
F U' L' B2 U R' L'
U D' F L D B' L2
U D' F L' D L2 B'
F' U2 L R U' L F2
F' U2 L R U' F2 L
F' U2 L' R U' L' F2
F2 U2 L' U' L' F' B'
F2 U2 L' U' L' B' F'
F' U2 R L U' L F2
F' U2 R L U' F2 L
F' U2 R L' U' L' F2
F' U2 R U' L F2 L
F' U2 R U' L2 F2 D
F' U2 R U' L2 F2 D'
F' U2 R U' L2 F2 D2
F' U2 R U' F' L2 F'
F' U2 R U' F2 L2 D
F' U2 R U' F2 L2 D'
F' U2 R U' F2 L2 D2
F' U2 R D' L2 B2 U'
F' U2 R D' B2 L2 U'
F' U2 R B U' L2 F2
F' U2 R B U' F2 L2
F' U2 R B' U' L2 F2
F' U2 R B' U' F2 L2
F' U2 R B2 U' L2 F2
F' U2 R B2 U' F2 L2
F' U2 D' L2 R B2 U'
