F L' R2 U' L2 U'
F L' R2 U2 D F2
F L' R2 D U2 F2
F L' R2 D' B2 U2
F R2 L' U' L2 U'
F R2 L' U2 D F2
F R2 L' D U2 F2
F R2 L' D' B2 U2
R2 F L' U' L2 U'
R2 F L' U2 D F2
R2 F L' D U2 F2
R2 F L' D' B2 U2
F' L U R2 F2 U2 R'
F' L U F2 L' R2 U2
F' L U F2 R2 L' U2
D2 L U' L B R' B2
F' L U' D2 L2 R B2
F' L U' D2 L2 B2 R
F' L U' D2 R L2 B2
F' L U' D2 R B2 L2
F' L U' D2 B2 L2 R
F' L U' D2 B2 R L2
F' L D B2 R2 U' R'
F' L D2 U' L2 R B2
F' L D2 U' L2 B2 R
F' L D2 U' R L2 B2
F' L D2 U' R B2 L2
F' L D2 U' B2 L2 R
F' L D2 U' B2 R L2
F L' R U2 D F2 L'
F L' R D R U2 F2
F L' R D U2 F2 L'
F L' R D' R B2 U2
F L' R D' B2 R U2
F L' R' D R' U2 F2
F L' R' D' R' B2 U2
F L' R' D' B2 U2 L
F L' R2 U D2 R2 U
F L' R2 U' L2 U' D
F L' R2 U' L2 U' D'
F L' R2 U' L2 U' D2
F L' R2 U' L2 D U'
F L' R2 U' L2 D' U'
F L' R2 U' L2 D2 U'
F L' R2 U2 D F2 D
F L' R2 U2 D F2 D'
F L' R2 U2 D F2 D2
F L' R2 U2 F D F2
F L' R2 U2 F' D F2
F L' R2 U2 F2 D F2
F L' R2 D U2 F2 D
F L' R2 D U2 F2 D'
F L' R2 D U2 F2 D2
F L' R2 D B U2 F2
F L' R2 D B' U2 F2
F L' R2 D B2 U2 F2
F L' R2 D' B2 U2 D
F L' R2 D' B2 U2 D'
F L' R2 D' B2 U2 D2
F L' R2 D' B2 D U2
F L' R2 D' B2 D' U2
F L' R2 D' B2 D2 U2
F L' R2 D2 U R2 U
F L' R2 B U' L2 U'
F L' R2 B U2 D F2
F L' R2 B D U2 F2
F L' R2 B D' B2 U2
F L' R2 B' U' L2 U'
F L' R2 B' U2 D F2
F L' R2 B' D U2 F2
F L' R2 B' D' B2 U2
F L' R2 B2 U' L2 U'
F L' R2 B2 U2 D F2
F L' R2 B2 D U2 F2
F L' R2 B2 D' B2 U2
F L' U D2 R2 U L2
F L' U' L2 U R2 U2
F L' U' L2 U' D2 L2
F L' U' L2 D B2 U'
F L' U' L2 D2 U' L2
F L' U' D B2 U' F2
F L' U2 D F2 D L2
F L' U2 D2 L2 D' F2
F L' D U' B2 U' F2
F L' D U2 F2 D L2
F L' D' B2 U F2 U
F L' D' B2 U2 D' L2
F L' D' B2 D R2 U2
F L' D' B2 D' U2 L2
F L' D2 U R2 U L2
F L' D2 U2 L2 D' F2
F L' B R2 U' L2 U'
F L' B R2 U2 D F2
F L' B R2 D U2 F2
F L' B R2 D' B2 U2
F L' B' R2 U' L2 U'
F L' B' R2 U2 D F2
F L' B' R2 D U2 F2
F L' B' R2 D' B2 U2
F L' B2 R2 U' L2 U'
F L' B2 R2 U2 D F2
F L' B2 R2 D U2 F2
F L' B2 R2 D' B2 U2
L U L' R2 F L' U2
L U L' F L' R2 U2
L U L' F R2 L' U2
