F2 L' U R F' U' B
R2 U R' F' L' U2 F'
D R U R U B R'
U R U' F' U' F' B
U R U' F' U' B F'
R U' L' F' U' F' B'
R U' L' F' U' B' F'
F2 R F' U' F L' B'
F R F' U' F2 L' B'
R2 U' R2 F2 L' B' R'
R U' F' L' U' F' B'
R U' F' L' U' B' F'
F R2 U F L' R B
F R2 U F R L' B
F R2 U F R B L'
F R2 U' F L' B' R'
R' D B L R2 F' U
R' D B R2 L F' U
R' D B R2 F' L U
U2 F R F' U' F2 L'
F2 D B L' R' D' B2
F2 D B L' D' R' B2
F2 D B R' L' D' B2
U' F' D' F' L' R B'
U' F' D' F' L' B' R
U' F' D' F' R L' B'
U F' D' F' L' R B
U F' D' F' R L' B
U F' D' F' R B L'
U' F2 L' R' B' D' R2
U' F2 L' D B R' B2
U' F2 L' B2 D B R'
U2 F2 L' D R' B R'
U2 F2 L' D B R' B
U F2 L' D R B R'
U' F2 R' L' B' D' R2
U' F2 D L' B R' B2
U' F2 D B L' R' B'
U' F2 D B R' L' B'
U' F2 D B2 L' B' R'
U2 F2 D L' R' B R'
U2 F2 D L' B R' B
U2 F2 D R' L' B R'
U2 F2 D R' B L' R'
U2 F2 D R' B R' L'
U2 F2 D B L' R' B
U2 F2 D B R' L' B
U2 F2 D B R' B L'
U F2 D L' R B R'
U F2 D R L' B R'
U F2 D R B L' R'
U F2 D R B R' L'
R' B L R U F2 L'
R' B L U F2 D2 L2
R' B L U' R2 U2 F2
R' B R L U F2 L'
