L2 U' L U2 F B'
L2 U' L U2 B' F
B' L R' U' L2 U2 B'
B' L R' U' F L2 U2
L2 R U' L U2 F B'
L2 R U' L U2 B' F
B L U L2 U2 B' L2
B L U F L2 U2 L2
B L U' F L2 U2 F'
L2 R' U' L U2 F B'
L2 R' U' L U2 B' F
U' L' F B' U' R U'
R' L2 U' L U2 F B'
R' L2 U' L U2 B' F
U' L' F' B' U L' U
L2 R2 U' L U2 F B'
L2 R2 U' L U2 B' F
R2 L2 U' L U2 F B'
R2 L2 U' L U2 B' F
R L2 U' L U2 F B'
R L2 U' L U2 B' F
F2 L' B' R D' L2 F2
F2 L' B' R D' F2 L2
U' L' B' U L' U B'
U' L' B' U' R U' B
U' L' B' F U' R U'
U' L' B' F' U L' U
B' L2 R' U' L U2 B'
D2 L2 U' L U2 F B'
D2 L2 U' L U2 B' F
D' L2 U' L U2 F B'
D' L2 U' L U2 B' F
D L2 U' L U2 F B'
D L2 U' L U2 B' F
L U R' F' D2 R2 B2
L U R' F' D2 B2 R2
L2 U D2 B2 R' F' B
L2 U D2 B2 R' B F'
U2 R U L' B' U2 B2
L2 U B2 D2 R' F' B
L2 U B2 D2 R' B F'
L2 U' L U2 D F B'
L2 U' L U2 D B' F
L2 U' L U2 D' F B'
L2 U' L U2 D' B' F
L2 U' L U2 D2 F B'
L2 U' L U2 D2 B' F
L2 U' L U2 F D B'
L2 U' L U2 F D' B'
L2 U' L U2 F D2 B'
L2 U' L U2 F B' D
L2 U' L U2 F B' D'
L2 U' L U2 F B' D2
L2 U' L U2 B' D F
L2 U' L U2 B' D' F
L2 U' L U2 B' D2 F
L2 U' L U2 B' F D
L2 U' L U2 B' F D'
L2 U' L U2 B' F D2
L2 U' L D U2 F B'
L2 U' L D U2 B' F
L2 U' L D' U2 F B'
L2 U' L D' U2 B' F
L2 U' L D2 U2 F B'
L2 U' L D2 U2 B' F
L2 U' L F' U2 F2 B'
L2 U' L F' U2 B' F2
L2 U' L F2 U2 F' B'
L2 U' L F2 U2 B' F'
L2 U' L B U2 F B2
L2 U' L B U2 B2 F
L2 U' L B2 U2 F B
L2 U' L B2 U2 B F
L2 U' L' F L2 U2 F
L2 U' L' F B' L2 U2
L2 U' L' B' L2 U2 B'
L2 U' L' B' F L2 U2
L U' L' B' L' U2 B'
B' R' L U' L2 U2 B'
B' R' L U' F L2 U2
L2 U' F L U2 F B'
L2 U' F L U2 B' F
B' R' L2 U' L U2 B'
L U' F L' B' L' U2
L2 U' F' L U2 F B'
L2 U' F' L U2 B' F
U2 R' U L' F' B' U2
U2 R' U L' B' F' U2
L2 U' F2 L U2 F B'
L2 U' F2 L U2 B' F
L' U2 R U' R' F' B'
L' U2 R U' R' B' F'
L2 D2 U B2 R' F' B
L2 D2 U B2 R' B F'
L B' R' U' L2 U2 B'
L B' R' U' F L2 U2
