B L2 U' R U2 F'
R U2 D' F' R B2
R U2 D' F' B2 R
R U2 D' B2 F' R
R D' U2 F' R B2
R D' U2 F' B2 R
R D' U2 B2 F' R
R D' F' R B2 L
L2 B U' R U2 F'
L2 R' U' B L R2 U2
L2 R' U' B R2 L U2
R' L2 U' B L R2 U2
R' L2 U' B R2 L U2
B L2 R' U' R2 U2 F'
B L2 R' U' B R2 U2
B L2 U D2 F2 L' F
B L2 U F2 D2 L' F
B L2 U' R U2 D F'
B L2 U' R U2 D' F'
B L2 U' R U2 D2 F'
B L2 U' R U2 F' D
B L2 U' R U2 F' D'
B L2 U' R U2 F' D2
B L2 U' R D U2 F'
B L2 U' R D' U2 F'
B L2 U' R D2 U2 F'
B L2 U' R B U2 F'
B L2 U' R B' U2 F'
B L2 U' R B2 U2 F'
B L2 U' R' B R2 U2
B L2 U' B R U2 F'
B L2 U' B' R U2 F'
B L2 U' B2 R U2 F'
B L2 D2 U F2 L' F
B L2 D2 F2 U L' F
R U L2 U D' F' R
R U L2 D' U F' R
B L2 F2 R U L' F'
B L2 F2 U D2 L' F
B L2 F2 D2 U L' F
U' L2 B U' R U2 F'
U2 L2 B U' R U2 F'
U L2 B U' R U2 F'
B' L2 B2 U' R U2 F'
B' R U L2 B2 U F'
B' R U B2 L2 U F'
B2 R U B' L2 U F'
U' R U2 D' F' R B2
B' R U2 D' F' R2 B2
B' R U2 D' F' B2 R2
U' R U2 D' F' B2 R
B' R U2 D' B2 F' R2
U' R U2 D' B2 F' R
B' R U2 F' D' R2 B2
B' R U2 F' D' B2 R2
U2 R U2 D' F' R B2
U2 R U2 D' F' B2 R
U2 R U2 D' B2 F' R
B' R D L2 F2 U2 F
U R U2 D' F' R B2
U R U2 D' F' B2 R
U R U2 D' B2 F' R
B' R D F2 L2 B' U2
F2 R D' L' F' R B2
F2 R D' L' F' B2 R
F2 R D' L' B2 F' R
B' R D' U2 F' R2 B2
B' R D' U2 F' B2 R2
B' R D' U2 B2 F' R2
U' R D' U2 F' R B2
U' R D' U2 F' B2 R
U' R D' U2 B2 F' R
F' R D' F' L' R B2
F' R D' F' L' B2 R
F' R D' F' R L' B2
F' R D' F' R B2 L'
U' R D' F' R B2 L
F' R D' F' B2 L' R
F' R D' F' B2 R L'
U2 R D' U2 F' R B2
U2 R D' U2 F' B2 R
U2 R D' U2 B2 F' R
U2 R D' F' R B2 L
F' R D' B2 F' L' R
F' R D' B2 F' R L'
F2 R D' B2 L' F' R
U R D' U2 F' R B2
U R D' U2 F' B2 R
U R D' U2 B2 F' R
U R D' F' R B2 L
L2 U' R U2 D' F' R
L2 U' R D' U2 F' R
B R' L2 U' R2 U2 F'
B R' L2 U' B R2 U2
R U2 D F' R2 B R'
R U2 D' F' R B2 D
R U2 D' F' R B2 D'
R U2 D' F' R B2 D2
R U2 D' F' R' B2 R2
R U2 D' F' B' R B'
R U2 D' F' B2 R D
R U2 D' F' B2 R D'
R U2 D' F' B2 R D2
R U2 D' F' B2 D R
R U2 D' F' B2 D' R
R U2 D' F' B2 D2 R
R U2 D' B' F' R B'
R U2 D' B2 F' R D
R U2 D' B2 F' R D'
R U2 D' B2 F' R D2
R U2 D' B2 F' D R
R U2 D' B2 F' D' R
R U2 D' B2 F' D2 R
R U2 B D' F' R B2
R U2 B D' F' B2 R
R U2 B D' B2 F' R
R U2 B' D' F' R B2
R U2 B' D' F' B2 R
R U2 B' D' B2 F' R
R U2 B2 D' F' R B2
R U2 B2 D' F' B2 R
R U2 B2 D' B2 F' R
R D U2 F' R2 B R'
L2 D F2 B R' U L'
R D F2 L2 B' L U2
L2 D B R' U D2 L2
L2 D B R' U' R2 U2
L2 D B R' D' F2 U
L2 D B R' D2 U L2
R D F2 B U2 R' F
R D F2 B U2 F R'
R D F2 B2 U2 F R
L2 D B F2 R' U L'
R D B F2 U2 R' F
R D B F2 U2 F R'
R D B' L F2 U2 F
R D B2 F2 U2 F R
R D' L U2 F' R B2
R D' L U2 F' B2 R
R D' L U2 B2 F' R
R D' L F' R B2 L
R D' L' U2 F' R B2
R D' L' U2 F' B2 R
R D' L' U2 B2 F' R
R D' L' F' R B2 L
R D' L2 U2 F' R B2
R D' L2 U2 F' B2 R
R D' L2 U2 B2 F' R
R D' L2 F' R B2 L
R D' U2 F' R B2 D
R D' U2 F' R B2 D'
R D' U2 F' R B2 D2
R D' U2 F' R' B2 R2
R D' U2 F' B' R B'
R D' U2 F' B2 R D
R D' U2 F' B2 R D'
R D' U2 F' B2 R D2
R D' U2 F' B2 D R
R D' U2 F' B2 D' R
R D' U2 F' B2 D2 R
R D' U2 B' F' R B'
R D' U2 B2 F' R D
R D' U2 B2 F' R D'
R D' U2 B2 F' R D2
R D' U2 B2 F' D R
R D' U2 B2 F' D' R
R D' U2 B2 F' D2 R
R D' F L' U2 F2 B2
R D' F L' U2 B2 F2
R D' F U2 F2 R B2
R D' F U2 F2 B2 R
R D' F U2 B2 F2 R
R D' F' L R B2 L
R D' F' L' R B2 L
R D' F' L2 R B2 L
R D' F' R L B2 L
R D' F' R L' B2 L
R D' F' R L2 B2 L
R D' F' R B2 L D
R D' F' R B2 L D'
R D' F' R B2 L D2
R D' F' R B2 D L
R D' F' R B2 D' L
R D' F' R B2 D2 L
B U' R U L2 U F'
B U' R U2 D' F' B2
B U' R U2 D' B2 F'
B U' R U2 F' D' B2
B U' R D F2 U2 F
B U' R D' U2 F' B2
B U' R D' U2 B2 F'
R D' B U2 F' B R
R D' B U2 B F' R
R D' B' U2 F' R B'
R D' B' U2 F' B' R
R D' B' U2 B' F' R
L2 D2 F2 B U L' F
L2 D2 B U F2 L' F
L2 D2 B F2 U L' F
D2 F' R2 F' U' L' F
D F2 U B R' U L'
L2 F2 D B R' U L'
L2 F2 D2 B U L' F
L2 F2 B R U L' F'
L2 F2 B U D2 L' F
F' D2 R2 F' U' L' F
L2 F2 B D2 U L' F
L' B L' U' R U2 F'
U' B L2 U' R U2 F'
U2 B L2 U' R U2 F'
B' D2 F2 R2 U' L' F
U B L2 U' R U2 F'
L2 B R' U' R2 U2 F'
L2 B R' U' B R2 U2
D B R' U D2 L2 B2
D B R' U D2 B2 L2
D B R' U' R2 F2 U2
D B R' U' F2 R2 U2
D B R' D' L2 F2 U
D B R' D' F2 L2 U
D B R' D2 U L2 B2
D B R' D2 U B2 L2
L2 B U D2 F2 L' F
L2 B U F2 D2 L' F
L2 B U' R U2 D F'
L2 B U' R U2 D' F'
L2 B U' R U2 D2 F'
L2 B U' R U2 F' D
L2 B U' R U2 F' D'
L2 B U' R U2 F' D2
L2 B U' R D U2 F'
L2 B U' R D' U2 F'
L2 B U' R D2 U2 F'
L2 B U' R B U2 F'
L2 B U' R B' U2 F'
L2 B U' R B2 U2 F'
L2 B U' R' B R2 U2
L2 B U' B R U2 F'
L2 B U' B' R U2 F'
L2 B U' B2 R U2 F'
F2 B L2 R U L F'
F2 B L2 R U F' L
R B U2 D' F' R B2
R B U2 D' F' B2 R
R B U2 D' B2 F' R
F2 B R L2 U L F'
F2 B R L2 U F' L
L2 B D2 U F2 L' F
L2 B D2 F2 U L' F
R B D' U2 F' R B2
R B D' U2 F' B2 R
R B D' U2 B2 F' R
R B D' F' R B2 L
L2 B F2 R U L' F'
L2 B F2 U D2 L' F
L2 B F2 D2 U L' F
R B' U2 D' F' R B2
R B' U2 D' F' B2 R
R B' U2 D' B2 F' R
R B' D' U2 F' R B2
R B' D' U2 F' B2 R
R B' D' U2 B2 F' R
R B' D' F' R B2 L
B F2 L2 R U L F'
B F2 L2 R U F' L
B F2 R L2 U L F'
B F2 R L2 U F' L
R B2 U2 D' F' R B2
R B2 U2 D' F' B2 R
R B2 U2 D' B2 F' R
