F R U R2 B R
F R U' F' U2 R'
U' R' F U F2 B
U' R' F U B F2
D' F L' R U R'
D' F R L' U R'
U' F R' U F' B
U' F R' U B F'
R2 F R U B R
F L R U R2 B R
F L R U' F' U2 R'
L' R' U B L R F
R' L' U B L R F
L' R' U B R L F
R' L' U B R L F
F L' R U R2 B R
F L' R U' F' U2 R'
U' L' R' U F' B L
U' L' R' U B L F'
U' L' R' U B F' L
U L' U B' R' U2 B
F L2 R U R2 B R
F L2 R U' F' U2 R'
F R L U R2 B R
F R L U' F' U2 R'
F R L' U R2 B R
F R L' U' F' U2 R'
F R L2 U R2 B R
F R L2 U' F' U2 R'
F R U R2 D B R
F R U R2 D' B R
F R U R2 D2 B R
F R U R2 B R D
F R U R2 B R D'
F R U R2 B R D2
F R U R2 B D R
F R U R2 B D' R
F R U R2 B D2 R
F R U R2 B' R B2
F R U R2 B2 R B'
F R U D R2 B R
F R U D' R2 B R
F R U D2 R2 B R
F R U B' R2 B R'
F R U' L F' U2 R'
F R U' L' F' U2 R'
F R U' L2 F' U2 R'
F R U' D F' U2 R'
F R U' D' F' U2 R'
F R U' D2 F' U2 R'
F R U' F' L U2 R'
F R U' F' L' U2 R'
F R U' F' L2 U2 R'
F R U' F' U2 R' D
F R U' F' U2 R' D'
F R U' F' U2 R' D2
F R U' F' U2 D R'
F R U' F' U2 D' R'
F R U' F' U2 D2 R'
F R U' F' D U2 R'
F R U' F' D' U2 R'
F R U' F' D2 U2 R'
F R U2 R2 U' B R
F R D U R2 B R
F R D U' F' U2 R'
F R D' U R2 B R
F R D' U' F' U2 R'
D' R F L' R U R2
F R D2 U R2 B R
D' R F R L' U R2
F R D2 U' F' U2 R'
U' R F U' F2 B U2
U' R F U' B F2 U2
F R B' U R2 B R'
F R B2 U' L F' U2
F R B2 U' F' L U2
U' R' L' U F' B L
U' R' L' U B L F'
U' R' L' U B F' L
U' R' U F' D' L2 B
U' R' U F' D' B L2
U' R' U F' B D' L2
U' R' U B F' D' L2
F R' U D' B R F2
F R' U B D' R F2
U' R' D F U F2 B
U' R' D F U B F2
U' R' D' F U F2 B
U' R' D' F U B F2
F R' D' U B R F2
U' R' D2 F U F2 B
U' R' D2 F U B F2
U' R' F L U F2 B
U' R' F L U B F2
U' R' F L' U F2 B
U' R' F L' U B F2
U' R' F L2 U F2 B
U' R' F L2 U B F2
U' R' F U F2 D B
U' R' F U F2 D' B
U' R' F U F2 D2 B
U' R' F U F2 B D
U' R' F U F2 B D'
U' R' F U F2 B D2
U' R' F U B F2 D
U' R' F U B F2 D'
U' R' F U B F2 D2
F R' B' R2 U R' B2
F R' B2 R2 U R' B'
D' R2 F L' R U R
D' R2 F R L' U R
U' R2 F R U F' B
U' R2 F R U B F'
B' R2 F R U B R
B2 R2 F R U B R
B R2 F R U B R
F' R2 F2 R U B R
R2 D F R B2 U B'
R2 D F B2 R U B
R2 D B2 F R U B
U' D' R' F L' U F2
D' U' R' F L' U F2
D' U' F L' R' U F'
U' D' F L' R' U F'
D' U' F R' L' U F'
U' D' F R' L' U F'
B' U' R' F U F2 B
B' U' R' F U B F2
F U' R U' F' R' U2
B2 U' R' F U F2 B
B2 U' R' F U B F2
B U' R' F U F2 B
B U' R' F U B F2
F' U' R2 F2 R U B
B' U' F R' U F' B
B' U' F R' U B F'
B2 U' F R' U F' B
B2 U' F R' U B F'
B U' F R' U F' B
B U' F R' U B F'
F2 U' F' R U' F' U2
F' U' F2 R U' F' U2
U' F L R' U F' B
U' F L R' U B F'
D2 F L R U R' B'
U' F L' R' U F' B
U' F L' R' U B F'
D' F L' R U R' D
D' F L' R U R' D'
D' F L' R U R' D2
D' F L' R U D R'
D' F L' R U D' R'
D' F L' R U D2 R'
D' F L' R D U R'
D' F L' R D' U R'
D' F L' R D2 U R'
R2 F L R U B R
D' F L' D R U R'
D' F L' D' R U R'
D' F L' D2 R U R'
D' F L' B R U R'
D' F L' B' R U R'
D' F L' B2 R U R'
U' F L2 R' U F' B
U' F L2 R' U B F'
R2 F L' R U B R
D' F R L' U R' D
D' F R L' U R' D'
D' F R L' U R' D2
D' F R L' U D R'
D' F R L' U D' R'
D' F R L' U D2 R'
D2 F R L U R' B'
D' F R L' D U R'
D' F R L' D' U R'
R2 F L2 R U B R
D' F R L' D2 U R'
U' F R U' F' B U2
U' F R U' B F' U2
D2 F R U D2 R' B
D' F R D L' U R'
D' F R D' L' U R'
D' F R D2 L' U R'
D2 F R D2 U R' B
U' F R' L U F' B
U' F R' L U B F'
U' F R' L' U F' B
U' F R' L' U B F'
U' F R' L2 U F' B
U' F R' L2 U B F'
R2 F R L U B R
U' F R' U D F' B
U' F R' U D B F'
U' F R' U D' F' B
U' F R' U D' B F'
U' F R' U D2 F' B
U' F R' U D2 B F'
U' F R' U F' D B
U' F R' U F' D' B
U' F R' U F' D2 B
U' F R' U F' B D
U' F R' U F' B D'
U' F R' U F' B D2
U' F R' U B D F'
U' F R' U B D' F'
U' F R' U B D2 F'
U' F R' U B F' D
U' F R' U B F' D'
U' F R' U B F' D2
R2 F R L' U B R
R2 F R L2 U B R
R2 F R U D B R
R2 F R U D' B R
R2 F R U D2 B R
U' F R' D U F' B
U' F R' D U B F'
R2 F R U B R D
R2 F R U B R D'
R2 F R U B R D2
R2 F R U B D R
