B2 L B R' F' U R
D R F' B L R2 U'
D R F' B R2 L U'
D2 R B L R2 U' R
F' R B L R2 U' R2
D2 R B R2 L U' R
F' R B R2 L U' R2
D R B L F' R2 U'
D R B F' L R2 U'
D R B F' R2 L U'
U2 R' U' R' F' L' R
U2 R' U' R' F' R L'
U2 R' F' L' B' U' R
U R' F U' F2 L' R
U R' F U' F2 R L'
B' R' F' B' L U R
B' R' F' B2 U R B
B' R' B' L F' U R
B' R' B' F' L U R
B' R' B2 F' U R B
R' U2 F R F2 U R
R' U2 F' U2 L' U' R
U2 F' L' R' B' U' R2
U2 F' R' L' B' U' R2
U F' R' U' L' F' R2
R F' B L R2 U' R'
R F' B R2 L U' R'
R' B L U2 F' U R
R B L R2 F' U' R
R B L F' R2 U' R'
R B R2 L F' U' R
R B R2 F' L U' R
R B F' L R2 U' R'
R B F' R2 L U' R'
R' B' U2 F' R' U R2
