B U L' F U
U L' R2 F U F2
U L' F R2 U F'
U L' F U' B U2
R' U L' F R U
R2 U L' F U F2
B R U L' F U
B R' U L' F U
U R2 L' F U F2
B R2 U L' F U
B U L' D F U
B U L' D' F U
B U L' D2 F U
B U L' F U D
B U L' F U D'
B U L' F U D2
B U L' F D U
B U L' F D' U
B U L' F D2 U
L' F U' L B U2
D' B R' U L' U
U' L D2 R2 B' U' F'
U' L B' D2 R2 U' F2
U L' R F R U F'
U L' R' F R' U F'
U L' R2 U F' D' L2
U2 L' R2 F U R2 F2
U2 L' R2 F U F2 R2
U L' R2 D F U F2
U L' R2 D' F U F2
U L' R2 D2 F U F2
U L' R2 F R U F2
U L' R2 F R' U F2
U L' R2 F R2 U F2
U L' R2 F U F2 D
U L' R2 F U F2 D'
U L' R2 F U F2 D2
U L' R2 F D R2 U
D' L' U' L B R' U2
R2 L' F U' L U2 F2
R2 L' F B2 U R' F2
R2 L' F B2 U F2 R'
U L' U' B U F U
U L' D R2 F U F2
U L' D F R2 U F'
U L' D F U' B U2
U L' D' R2 F U F2
U L' D' F R2 U F'
U L' D' F U' B U2
U L' D2 R2 F U F2
U L' D2 F R2 U F'
U L' D2 F U' B U2
U' L' F R2 B U F'
U2 L' F R2 U F' R2
B' L' F U' L B2 U2
B' L' F U' B2 U2 R'
B2 L' F U' L B' U2
U L' F R2 U D F'
U L' F R2 U D' F'
U L' F R2 U D2 F'
U L' F R2 U F' D
U L' F R2 U F' D'
U L' F R2 U F' D2
U L' F R2 D U F'
U L' F R2 D' U F'
U L' F R2 D2 U F'
U L' F U R2 F' R2
U L' F U' D B U2
U L' F U' D' B U2
U L' F U' D2 B U2
U L' F U' B U2 D
U L' F U' B U2 D'
U L' F U' B U2 D2
U L' F U' B D U2
U L' F U' B D' U2
U L' F U' B D2 U2
R2 L' B2 F U R' F2
R2 L' B2 F U F2 R'
U L' F D R2 U F'
U L' F D U' B U2
U L' F D' R2 U F'
U L' F D' U' B U2
U L' F D2 R2 U F'
U L' F D2 U' B U2
U L' F' R2 F2 U F
L' R2 F U' L U2 F2
L' R2 F B2 U R' F2
L' R2 F B2 U F2 R'
L' R2 B2 F U R' F2
L' R2 B2 F U F2 R'
R' U L' R F R U
R' U L' R' F R U
R' U L' R2 F R U
R' U L' D F R U
R' U L' D' F R U
R' U L' D2 F R U
R' U L' F R U D
R' U L' F R U D'
R' U L' F R U D2
R' U L' F R D U
R' U L' F R D' U
R' U L' F R D2 U
R' U L' F D R U
R' U L' F D' R U
R' U L' F D2 R U
R2 U L' U F' D' L2
R U L' R F U F2
R2 U L' D F U F2
R2 U L' D' F U F2
R2 U L' D2 F U F2
R2 U L' F R U F2
R2 U L' F R' U F2
R2 U L' F R2 U F2
R2 U L' F U F2 D
R2 U L' F U F2 D'
R2 U L' F U F2 D2
R2 U L' F D R2 U
R U L' F R U F'
R' U R L' F R U
R U R L' F U F2
R' U R' L' F R U
R' U R2 L' F R U
U R L' F R U F'
B R U L' D F U
B R U L' D' F U
B R U L' D2 F U
B R U L' F U D
B R U L' F U D'
B R U L' F U D2
B R U L' F D U
B R U L' F D' U
B R U L' F D2 U
L' U' L D' B R' U2
B2 R B' U L' F U
B' R B2 U L' F U
U R' L' F R' U F'
B R' U L' D F U
B R' U L' D' F U
B R' U L' D2 F U
B R' U L' F U D
B R' U L' F U D'
B R' U L' F U D2
B R' U L' F D U
B R' U L' F D' U
B R' U L' F D2 U
B2 R' B' U L' F U
B' R' B2 U L' F U
U2 R2 L' F U R2 F2
U2 R2 L' F U F2 R2
U R2 L' U F' D' L2
U R2 L' D F U F2
U R2 L' D' F U F2
U R2 L' D2 F U F2
U R2 L' F R U F2
U R2 L' F R' U F2
U R2 L' F R2 U F2
U R2 L' F U F2 D
U R2 L' F U F2 D'
U R2 L' F U F2 D2
U R2 L' F D R2 U
B R2 U L' D F U
B R2 U L' D' F U
B R2 U L' D2 F U
B R2 U L' F U D
B R2 U L' F U D'
B R2 U L' F U D2
B R2 U L' F D U
B R2 U L' F D' U
B R2 U L' F D2 U
R2 U2 F' D' L B' L
R2 U2 F' D' B' L B'
U' R2 U2 L' F U F2
B2 R2 B' U L' F U
B' R2 B2 U L' F U
D2 U L' R2 U F' L'
D' U L' U' B R' U2
B U L F L2 F U
B' U L' D' R2 F U
B U L F' L2 F U
B' U L' D' F R2 U
L' D F U' L B U2
B U L F2 L2 F U
B' U L' D2 F U F
B' U L' F U D2 F2
B' U L' F U' B2 U2
B' U L' F D' R2 U
B' U L' F D2 U F2
B U L' R F R' U
B U L' R2 F R2 U
B U L' D F U D
B U L' D F U D'
B U L' D F U D2
B U L' D F D U
B U L' D F D' U
B U L' D F D2 U
B U L' D' F U D
B U L' D' F U D'
B U L' D' F U D2
B U L' D' F D U
B U L' D' F D' U
B U L' D' F D2 U
B U L' D2 F U D
B U L' D2 F U D'
B U L' D2 F U D2
B U L' D2 F D U
B U L' D2 F D' U
B U L' D2 F D2 U
B U L' F' U D' L2
B U L' F' D' U L2
B U L' F2 D F' U
B U L' F2 D' F' U
B U L' F2 D2 F' U
B U L2 D L F U
B U L2 D' L F U
B U L2 D2 L F U
B U L2 F L F U
B U L2 F' L F U
B U L2 F2 L F U
B U R L' F R' U
D2 U R2 L' U F' L'
B U R2 L' F R2 U
B U D L' F U L'
B U D F U L' B'
B U F' L' F L' U
B U B' L' F B U
B U B' L' B F U
B U B2 L' F B2 U
B U B2 L' B2 F U
U D' L' U' B R' U2
L' D' F U' L B U2
B U' R U2 L' F U
B U' R' U2 L' F U
B U' R2 U2 L' F U
L2 D2 L F U R2 F'
U D2 L' R2 U F' L'
B U' B U2 L' F U
B U' B' U2 L' F U
B U' B2 U2 L' F U
B U2 L U' L2 F U
L' D2 F U' L B U2
U D2 R2 L' U F' L'
B U2 D' B' L D' B2
L' F R2 U' L U2 F'
L' F R2 B2 U F' R'
B U2 B U' L' F U
L' F U' L D B U2
L' F U' L D' B U2
L' F U' L D2 B U2
L' F U' L B U2 D
L' F U' L B U2 D'
L' F U' L B U2 D2
L' F U' L B D U2
L' F U' L B D' U2
L' F U' L B D2 U2
B U2 B' U' L' F U
L' F U' L' B L2 U2
L' F U' L2 B L' U2
L' F U' D L B U2
L' F U' D' L B U2
L' F U' D2 L B U2
B U2 B2 U' L' F U
L' F D U' L B U2
L' F D' U' L B U2
F' D R F' R U2 F'
L' F D2 U' L B U2
B D U L' F U L'
B D U F U L' B'
F' D F' B R F' U2
B D F' D R F' U2
F' D B R F' R U2
B D F2 U' R B U'
F' D B F' R F' U2
D2 F' D B R' U2 B
D F' D B R F' U2
D' F' B D R' U2 B
D F' B D R F' U2
B D' U2 B' L D' B2
F' D' B U2 B2 L B'
F2 D' B R' U' R2 U'
F2 D' B R' U2 D B2
F2 D' B R' D U2 B2
F2 D' B R' D' F2 U2
F' D' B D2 R' U2 B
B2 D' B' U L' U L2
B2 D' B' U2 L D' B2
B D2 R U L' F' U
D' F2 B R' U' R2 U'
D' F2 B R' U2 D B2
D' F2 B R' D U2 B2
D' F2 B R' D' F2 U2
D F2 B U' R B U'
D2 B R U L' F' U
D' B R' U L' U D
D' B R' U L' U D'
D' B R' U L' U D2
D' B R' U L' D U
D' B R' U L' D' U
D' B R' U L' D2 U
D' B R' U D L' U
D' B R' U D' L' U
D' B R' U D2 L' U
D' B R' D U L' U
D' B R' D' U L' U
D' B R' D2 U L' U
D' B R' F2 U' R U'
F' D2 B U' R' B U'
R' B U L' F R U
D' B U L' U' R' U2
D2 B U D2 L' F U
R2 B U L' F U F2
D B U L' F U L'
U' B U2 L' F U F'
D B U D' L' F U
D' B U2 L D' B2 L
D B U F U L' B'
D' B U2 B2 L D' B2
U B U B' L' F U
D' B D R' U L' U
D' B D' R' U L' U
L B D L' F2 R U2
D' B D2 R' U L' U
D2 B D2 U L' F U
L B D F2 U2 L2 R
L B D F2 U2 R L2
D B D' U L' F U
L B D' L' R2 U2 B2
L B D' R2 L' U2 B2
D' B F' D R' U2 B
F' B U L' F L' U
D' B F2 R' U' R2 U'
D' B F2 R' U2 D B2
D' B F2 R' D U2 B2
D' B F2 R' D' F2 U2
F' B U F L' F U
F2 B U F2 L' F U
D B F' D R F' U2
B F U L' F U B'
F B U L' F U B'
D B F2 U' R B U'
F' B U2 D' L B' L
F' B U2 D' B' L B'
F' B D R F' R U2
F' B D F' R F' U2
F' B D' U2 L B' L
F' B D' U2 B' L B'
R' B' U L' F R U
R2 B' U L' F U F2
B F' U L' F L' U
B F' U F L' F U
L B' D2 R2 U' F2 R
B F' U2 D' L B' L
B F' U2 D' B' L B'
B F' D R F' R U2
B F' D F' R F' U2
B2 F' D' B' U2 L B'
B F' D' U2 L B' L
B F' D' U2 B' L B'
R' B2 U L' F R U
R2 B2 U L' F U F2
B F2 U F2 L' F U
F' B2 D' B' U2 L B'
