U' R B U L B U'
B R' U F' L' R2 B'
B R' U F' L' B' R2
B R' U F' R2 L' B'
B2 R' U' F' R B R
B2 R' F R U' R F2
F R' F' D L2 R B2
F R' F' D L2 B2 R
F R' F' D R L2 B2
F R' F' D R B2 L2
F R' F' D B2 L2 R
F R' F' D B2 R L2
B2 R2 U' R F' B R2
B2 R2 U' R B F' R2
B2 R2 F R U' F' R2
B2 U' R B U L U'
B2 U' B' R D' F2 B
B2 U' B' R D' B F2
B2 U' B' R B D' F2
B2 U' B2 D' R F' B
B2 U' B2 D' R B F'
B2 U2 L U R F B
B2 U2 L U R B F
R' F R B2 U' R F2
B2 U2 B L U R F
R2 F R B2 U' F' R2
R2 F R' D B2 L2 F
F2 D L2 B2 R' F' B
F2 D L2 B2 R' B F'
R' F B2 R U' R F2
B2 F R U' R2 F' R
R' B2 U' F' R B R
F B2 R U' R2 F' R
R' B2 F R U' R F2
