F U' L D' F2
F U' D' L F2
F U' D' F2 L
F U2 R2 U L
D2 F L2 U' L'
D' F U' F L
F D' U' L F2
F D' U' F2 L
F D2 L2 U' L'
F D2 L2 U' L'
F L D2 L2 U' L2
F L' U' L2 D' F2
F L' U2 R2 U L2
F L' D' B2 U' F2
F L2 U' L' D' F2
F L2 U' D' L' F2
D2 L2 U2 B' U L'
F L2 U2 R2 U L'
F L2 D' U' L' F2
F L2 D2 L2 U' L
R2 U2 R2 F U' L
L2 U2 R2 B' U L'
R2 U2 F R2 U' L
U2 R2 U2 F U' L
L2 U2 B' R2 U L'
F U D B2 R' U2
F U' L U' R2 U
F U' L D' F2 D
F U' L D' F2 D'
F U' L D' F2 D2
F U' L F D' F2
F U' L F' D' F2
F U' L F2 D' F2
F U' L2 D' L' F2
F U' D L D2 F2
F U' D' L F2 D
F U' D' L F2 D'
F U' D' L F2 D2
F U' D' L' F2 L2
F U' D' F' L F'
F U' D' F2 L D
F U' D' F2 L D'
F U' D' F2 L D2
F U' D' F2 D L
F U' D' F2 D' L
F U' D' F2 D2 L
F U' F L D' F2
R2 D2 L2 B' U L'
L2 D2 L2 F U' L
F U' F D' L F2
F U' F D' F2 L
F U' F' L D' F2
F U' F' D' L F2
F U' F' D' F2 L
F U' F2 L D' F2
F U' F2 D' L F2
F U' F2 D' F2 L
F U2 R2 U L D
F U2 R2 U L D'
F U2 R2 U L D2
F U2 R2 U D L
F U2 R2 U D' L
F U2 R2 U D2 L
F U2 R2 D U L
F U2 R2 D' U L
F U2 R2 D2 U L
F U2 R2 F U L
F U2 R2 F' U L
F U2 R2 F2 U L
D2 F L2 U' L' D
D2 F L2 U' L' D'
D2 F L2 U' L' D2
D2 F L2 U' D L'
D2 F L2 U' D' L'
D2 F L2 U' D2 L'
D2 F L2 D U' L'
D2 F L2 D' U' L'
D2 F L2 D2 U' L'
D2 F L2 B U' L'
D2 F L2 B' U' L'
D2 F L2 B2 U' L'
F U2 F R2 U L
F U2 F' R2 U L
F U2 F2 R2 U L
D2 F U' D L F2
D2 F U' D F2 L
D' F U' D F L
D' F U' D' F L
D' F U' D2 F L
D' F U' F L D
D' F U' F L D'
D' F U' F L D2
D' F U' F D L
D' F U' F D' L
D' F U' F D2 L
D' F U' F' L F2
D' F U' F2 L F'
D F U B2 R' U2
D F U' L D2 F2
D F U' D2 L F2
D F U' D2 F2 L
D2 F D U' L F2
D2 F D U' F2 L
D' F D U' F L
D F D L2 U' L'
D' F D' U' F L
D' F D2 U' F L
D F D2 U' L F2
D F D2 U' F2 L
F D U B2 R' U2
F D U' L D2 F2
F D' L' U' L2 F2
F D' L' U' F2 L2
F D' L2 U' L' F2
F D' U' L F2 D
F D' U' L F2 D'
F D' U' L F2 D2
F D' U' L' F2 L2
F D' U' F' L F'
F D' U' F2 L D
F D' U' F2 L D'
F D' U' F2 L D2
F D' U' F2 D L
F D' U' F2 D' L
F D' U' F2 D2 L
F2 D' F' U' L F'
F2 D' F' U' F' L
F D2 L2 U' L' D
F D2 L2 U' L' D'
F D2 L2 U' L' D2
F D2 L2 U' D L'
F D2 L2 U' D' L'
F D2 L2 U' D2 L'
F D2 L2 D U' L'
F D2 L2 D' U' L'
F D2 L2 D2 U' L'
F D2 L2 B U' L'
F D2 L2 B' U' L'
F D2 L2 B2 U' L'
F2 D2 F' L2 U' L'
B D2 F L2 U' L
F2 L U' R2 B U B'
F L U' D' F2 D' L2
F L U' F2 D' L2 F2
F L U' F2 D' F2 L2
F L U2 R2 U D2 L2
F L U2 R2 U' R2 U2
F L U2 R2 D' F2 U
F L U2 R2 D2 U L2
U' L D F D2 F2 R
U' L D F' R D2 F2
U' L D F' D2 R F2
F L D' L U' L' F2
F L D' L' U' L F2
F L D' L' U' F2 L
F L D' L2 U' L2 F2
F L D' L2 U' F2 L2
F L D' U' F2 D' L2
U' L D' F' D2 F' R
U' L D' F2 B R' B'
U' L D' B R' F2 B'
U' L D' B R' B' F2
U' L D' B F2 R' B'
F2 L D2 L2 F' U' L2
F L D2 L2 U' L2 D
F L D2 L2 U' L2 D'
F L D2 L2 U' L2 D2
F L D2 L2 D' B2 U'
F L D2 L2 B U' L2
F L D2 L2 B' U' L2
F L D2 L2 B2 U' L2
F2 L D2 F' L2 U' L2
F L D2 B L2 U' L2
F L D2 B' L2 U' L2
F L D2 B2 L2 U' L2
F2 L F' D2 L2 U' L2
F' L F2 D2 L2 U' L2
F L B D2 L2 U' L2
U' L B' D' F2 B R'
U' L B' D' B R' F2
U' L B' D' B F2 R'
F L B' D2 L2 U' L2
F L B2 D2 L2 U' L2
D' L' U' L2 F R F
F L' U' L D' L F2
F L' U' L D' F2 L
F L' U' L' D' L' F2
F L' U' L2 U' R2 U
F L' U' L2 D' F2 D
F L' U' L2 D' F2 D'
F L' U' L2 D' F2 D2
F L' U' L2 F D' F2
F L' U' L2 F' D' F2
F L' U' L2 F2 D' F2
D' L' U' F R F L2
F L' U' D' F2 D L2
F L' U' F L2 D' F2
F L' U' F' L2 D' F2
F L' U' F2 L2 D' F2
F2 L' U2 R2 B U L2
F L' U2 R2 U L2 D
F L' U2 R2 U L2 D'
F L' U2 R2 U L2 D2
F L' U2 R2 D F2 U
F L' U2 R2 F U L2
F L' U2 R2 F' U L2
F L' U2 R2 F2 U L2
F L' U2 F R2 U L2
F L' U2 F' R2 U L2
F L' U2 F2 R2 U L2
F L' D' L B2 U' F2
F L' D' L' B2 U' F2
F L' D' L2 B2 U' F2
F2 L' D' F' B2 U' F'
F L' D' U' F2 D L2
F2 L' D' B2 F' U' F'
F L' D' B2 L U' F2
F L' D' B2 L' U' F2
F L' D' B2 L2 U' F2
F L' D' B2 U' F2 D
F L' D' B2 U' F2 D'
F L' D' B2 U' F2 D2
F L' D' B2 D' L2 U'
F L' D2 L2 U R2 U2
F L' D2 L2 U' D2 L2
F L' D2 L2 D B2 U'
F L' D2 L2 D2 U' L2
