R' U' B' R' F' B2
R' U' B' R' B2 F'
D' R2 F' L' R U'
D' R2 F' R L' U'
R2 F' L' R U' B
R2 F' R L' U' B
U2 B' R' B2 U B'
D2 L R' U' B' R' F'
B L R' U B L F
R' L U' B' R' F' B2
R' L U' B' R' B2 F'
D' L R2 F' L' R U'
D' L R2 F' R L' U'
R2 L F' L' R U' B
R2 L F' R L' U' B
U2 L B' R' B2 U B'
R' L' U' B' R' F' B2
R' L' U' B' R' B2 F'
L' R' U' B' R' F' B2
L' R' U' B' R' B2 F'
L R' U' B' R' F' B2
L R' U' B' R' B2 F'
L2 R' U' B' R' F' B2
L2 R' U' B' R' B2 F'
F' L' R' U' B' R' B2
D' L' R2 F' L' R U'
D' L' R2 F' R L' U'
F' L' R2 F' R U' B
R2 L' F' L' R U' B
R2 L' F' R L' U' B
F' L' D' R2 F' R U'
R' L2 U' B' R' F' B2
R' L2 U' B' R' B2 F'
U2 L' B' R' B2 U B'
L' R2 F' L' R U' B
D2 L2 R2 F' L' U' B'
L' R2 F' R L' U' B
D' L2 R2 F' L' R U'
D' L2 R2 F' R L' U'
L2 R2 F' L' R U' B
R2 L2 F' L' R U' B
L R2 F' L' R U' B
L2 R2 F' R L' U' B
B L2 R2 F R U B
R2 L2 F' R L' U' B
L R2 F' R L' U' B
B L2 D' F L' R U
B L2 D' F R L' U
B L2 F R U' F' U2
U2 L2 B' R' B2 U B'
R' U F' L' B' U2 B2
U' R D R2 F' B R'
U' R D R2 B F' R'
R' U B2 U2 B' R' F'
U' R D' R2 F' B R
U' R D' R2 B F' R
D' R F' L' R F' U'
D' R F' R L' F' U'
R' U' D B' R' F' B2
R' U' D B' R' B2 F'
R' U' D' B' R' F' B2
R' U' D' B' R' B2 F'
D2 R' L U' B' R' F'
B R' L U B L F
R' U' D2 B' R' F' B2
R' U' D2 B' R' B2 F'
F' R' L' U' B' R' B2
R' U' F B' R' F' B2
R' U' F B' R' B2 F'
R' U' F' B' R' F' B2
R' U' F' B' R' B2 F'
R' U' F2 B' R' F' B2
R' U' F2 B' R' B2 F'
R' U' B U2 L U2 F
R' U' B' R' F' B2 D
R' U' B' R' F' B2 D'
R' U' B' R' F' B2 D2
R' U' B' R' B2 D F'
R' U' B' R' B2 D' F'
R' U' B' R' B2 D2 F'
R' U' B' R' B2 F' D
R' U' B' R' B2 F' D'
R' U' B' R' B2 F' D2
R' U' B' R2 B2 R F'
R' U' B' F R' F' B2
R' U' B' F R' B2 F'
R' U' B' F' R' F' B2
R' U' B' F' R' B2 F'
R' U' B' F2 R' F' B2
R' U' B' F2 R' B2 F'
R' U2 L' B' R' U B2
D' R2 L F' L' R U'
D' R2 L F' R L' U'
D' R2 L' F' L' R U'
D' R2 L' F' R L' U'
F' R2 L' F' R U' B
D2 R2 L2 F' L' U' B'
D' R2 L2 F' L' R U'
D' R2 L2 F' R L' U'
B R2 L2 F R U B
L' U2 B' R' B2 U B'
U2 R2 U2 F' L' U' B'
L2 U2 B' R' B2 U B'
D2 R2 D F' L' R U'
D2 R2 D F' R L' U'
L U2 B' R' B2 U B'
D R2 D2 F' L' R U'
D R2 D2 F' R L' U'
D' R2 F' L' R U' D
D' R2 F' L' R U' D'
D' R2 F' L' R U' D2
D' R2 F' L' R D U'
D' R2 F' L' R D' U'
D' R2 F' L' R D2 U'
D' R2 F' L' D R U'
D' R2 F' L' D' R U'
D' R2 F' L' D2 R U'
D2 R2 F' L' U F U2
D' R2 F' R L' U' D
D' R2 F' R L' U' D'
D' R2 F' R L' U' D2
D' R2 F' R L' D U'
D' R2 F' R L' D' U'
D' R2 F' R L' D2 U'
D' R2 F' R D L' U'
D' R2 F' R D' L' U'
D' R2 F' R D2 L' U'
D' R2 F' D L' R U'
D' R2 F' D R L' U'
D' R2 F' D' L' R U'
D' R2 F' D' R L' U'
D' R2 F' D2 L' R U'
D' R2 F' D2 R L' U'
R D R2 U' B R' F'
R' D U' B' R' F' B2
R' D U' B' R' B2 F'
