U2 L F U2 L U'
L2 R B U2 L' U
L2 R' U2 L' F' U
R' L2 U2 L' F' U
B2 L2 R B R2 U'
B2 L2 R' U2 F' U
B L2 R B R' U'
R L2 B U2 L' U
F2 L2 F2 R B U'
B2 R L2 B R2 U'
B R L2 B R' U'
B2 R B L2 R2 U'
B2 R B R2 L2 U'
B R B L2 R' U'
B R B R' L2 U'
B2 R' L2 U2 F' U
L2 U' B L D' B2
L2 U2 L F L2 U
L2 U2 L' U2 B' U'
U2 D L F U F
D2 U2 L R2 F U
U2 D2 L R2 F U
U2 D2 L F R2 U
D2 U2 L F R2 U
D U2 L F U F
D2 U2 R2 L F U
U2 D2 R2 L F U
L2 F2 R F2 B U'
L2 F2 R B F2 U'
U' B D L F2 B'
U' B D L B' F2
U' B D F2 L B'
R2 B2 L2 R' B U'
R2 B2 R' L2 B U'
R2 B2 R' B L2 U'
R B2 R' B' L2 U'
U2 L R F U2 L U'
U2 L R' F U2 L U'
U2 L R2 F U2 L U'
L2 R U2 L' U2 B U'
L2 R D B U2 L' U
L' R D' L' B U' B
L' R D' B L' U' B
U2 L U2 L2 B' L' U'
L2 R D' B U2 L' U
L' R D2 L' B R2 U'
L' R D2 B L' R2 U'
L' R D2 B R2 L' U'
L2 R D2 B U2 L' U
U2 L D F U2 L U'
U2 L D' F U2 L U'
R' L F' U2 F L U'
U2 L D2 F U2 L U'
F2 L D2 B2 R' F' U
U2 L F R U2 L U'
U2 L F R' U2 L U'
L2 R F2 B R F2 U'
U2 L F R2 U2 L U'
L' R B L' U2 L' U
U2 L F U2 L U' D
U2 L F U2 L U' D'
U2 L F U2 L U' D2
U2 L F U2 L D U'
U2 L F U2 L D' U'
U2 L F U2 L D2 U'
U2 L F U2 D L U'
U2 L F U2 D' L U'
U2 L F U2 D2 L U'
U2 L F D U2 L U'
U2 L F D' U2 L U'
L2 R B R U2 L' U
U2 L F D2 U2 L U'
L2 R B R' U2 L' U
L2 R B R2 U2 L' U
U2 L F B2 R' B2 U
L' R B D' L' U' B2
L2 R B U2 L' U D
L2 R B U2 L' U D'
L2 R B U2 L' U D2
L2 R B U2 L' D U
L2 R B U2 L' D' U
L2 R B U2 L' D2 U
L' R B D2 L' R2 U'
L' R B D2 R2 L' U'
L2 R B U2 D L' U
L2 R B U2 D' L' U
L2 R B U2 D2 L' U
L2 R B D U2 L' U
L2 R B D' U2 L' U
L2 R B D2 U2 L' U
L2 R B F2 R F2 U'
U2 L B2 R' F B2 U
U2 L B2 R' B2 F U
L2 R' U2 L F' L2 U
L2 R' U2 L' D F' U
L2 R' U2 L' D' F' U
L2 R' U2 L' D2 F' U
L2 R' U2 L' F' U D
