F' L F2 L2 U F R
F' L' R F2 B U F'
F' L' R B F2 U F'
F' L' U D' F L2 R
F' L' U D' F R L2
F L' U2 R U' F R
F' L' D' U F L2 R
F' L' D' U F R L2
F' L' F2 U F R F2
F' L2 F2 L U F R
F' R L' F2 B U F'
F' R L' B F2 U F'
F' R B L' F2 U F'
F' U L' F2 U F' R
F' U2 L' F2 B' U F'
F' U2 L' B' F2 U F'
U F L' U R F B'
U F L' U R B' F
U F L' U B' R F
D F' L' R F2 B U
D F' L' R B F2 U
R F' L' F2 B U F'
R F' L' B F2 U F'
D F' R L' F2 B U
D F' R L' B F2 U
D F' R B L' F2 U
R' F' U2 L' F2 U F'
R F' B L' F2 U F'
R B F' L' F2 U F'
