D F2 L R F' B'
D F2 L R B' F'
D F2 L B' R F'
D F2 R L F' B'
D F2 R L B' F'
D F2 R F' L B'
D L R D2 F' R2 B'
D L R D2 F' B' R2
D L R D2 B' F' R2
D L R F' D2 R2 B'
D L R F' D2 B' R2
D L R F' B' D2 R2
D L R B' D2 F' R2
D L R B' F' D2 R2
D L R' D2 R2 F' B'
D L R' D2 R2 B' F'
D' L R' B D2 R2 F2
D' L R' B D2 F2 R2
D L R' B' D2 R2 F2
D L R' B' D2 F2 R2
D L B' R D2 F' R2
D L B' R F' D2 R2
D L B' R' D2 R2 F'
D L' R U2 L2 F' B'
D L' R U2 L2 B' F'
D' L' R F' U2 L2 F2
D' L' R F' U2 F2 L2
D L' R F U2 L2 F2
D L' R F U2 F2 L2
D' L' R' U2 F L2 B
D' L' R' U2 F B L2
D' L' R' U2 B F L2
D L' R' F B U2 L2
D L' R' B U2 L2 B'
D L' R' B F U2 L2
D L' F R U2 L2 F'
D L' F R U2 F' L2
D L' F R' B U2 L2
D R L D2 F' R2 B'
D R L D2 F' B' R2
D R L D2 B' F' R2
D R L F' D2 R2 B'
D R L F' D2 B' R2
D R L F' B' D2 R2
D R L B' D2 F' R2
D R L B' F' D2 R2
D' R L' F' U2 L2 F2
D' R L' F' U2 F2 L2
D R L' U2 L2 F' B'
D R L' U2 L2 B' F'
D R L' F U2 L2 F2
D R L' F U2 F2 L2
D R F2 R F L B'
D' R' L B D2 R2 F2
D' R' L B D2 F2 R2
D R' L D2 R2 F' B'
D R' L D2 R2 B' F'
D' R' L' U2 F L2 B
D' R' L' U2 F B L2
D' R' L' U2 B F L2
D R' L B' D2 R2 F2
D R' L B' D2 F2 R2
D R' L' F B U2 L2
D R' L' B U2 L2 B'
D R' L' B F U2 L2
R' D F2 L R F' B'
R' D F2 L R B' F'
R' D F2 L B' R F'
R' D F2 R L F' B'
R' D F2 R L B' F'
R' D F2 R F' L B'
F2 U R D L F B'
F2 U R D L B' F
R2 D F2 L R F' B'
R2 D F2 L R B' F'
R2 D F2 L B' R F'
R2 D F2 R L F' B'
R2 D F2 R L B' F'
R2 D F2 R F' L B'
R D F2 L R F' B'
R D F2 L R B' F'
R D F2 L B' R F'
R D F2 R L F' B'
R D F2 R L B' F'
R D F2 R F' L B'
F2 U D L R F B'
F2 U D L R B' F
F2 U D L B' R F
F2 U D R L F B'
F2 U D R L B' F
U' D F2 L R F' B'
U' D F2 L R B' F'
U' D F2 L B' R F'
U' D F2 R L F' B'
U' D F2 R L B' F'
U' D F2 R F' L B'
U2 D F2 L R F' B'
U2 D F2 L R B' F'
U2 D F2 L B' R F'
U2 D F2 R L F' B'
U2 D F2 R L B' F'
U2 D F2 R F' L B'
D U F2 L R F' B'
D U F2 L R B' F'
D U F2 L B' R F'
D U F2 R L F' B'
D U F2 R L B' F'
D U F2 R F' L B'
U D F2 L R F' B'
U D F2 L R B' F'
U D F2 L B' R F'
U D F2 R L F' B'
U D F2 R L B' F'
U D F2 R F' L B'
D U' F2 L R F' B'
D U' F2 L R B' F'
D U' F2 L B' R F'
L2 D' B2 L' R' F B
L2 D' B2 L' R' B F
L2 D' B2 L' F R' B
D U' F2 R L F' B'
D U' F2 R L B' F'
D U' F2 R F' L B'
