F' R B' U' F'
B' F' R U' F'
F' B' R U' F'
F' L R U' F' L'
B' L F' R U' F'
B' L' F' R U' F'
B' L2 F' R U' F'
F' R L U' F' L'
F' R D B' U' F'
F' R D' B' U' F'
F' R D2 B' U' F'
F' R B' L U' F'
F' R B' L' U' F'
F' R B' L2 U' F'
F' R B' U' D F'
F' R B' U' D' F'
F' R B' U' D2 F'
F' R B' U' F' D
F' R B' U' F' D'
F' R B' U' F' D2
F' R B' D U' F'
F' R B' D' U' F'
F' R B' D2 U' F'
F' D R B' L U'
U' F' R B' U' F'
U2 F' R B' U' F'
L F' R U' F' L'
F' D B' L R U'
F' D B' R L U'
U F' R B' U' F'
U' F' B' R U' F'
U2 F' B' R U' F'
U F' B' R U' F'
F' B R B2 U' F'
F' B' L R U' F'
B' F' L R U' F'
F' B' L' R U' F'
B' F' L' R U' F'
F' B' L2 R U' F'
B' F' L2 R U' F'
F' B' R L U' F'
F' B' R L' U' F'
F' B' R L2 U' F'
F' B' R U' D F'
F' B' R U' D' F'
F' B' R U' D2 F'
F' B' R U' F' D
F' B' R U' F' D'
F' B' R U' F' D2
F' B' R D U' F'
F' B' R D' U' F'
F' B' R D2 U' F'
B' F' R L U' F'
B' F' R L' U' F'
B' F' R L2 U' F'
B' F' R U' D F'
B' F' R U' D' F'
B' F' R U' D2 F'
B' F' R U' F' D
B' F' R U' F' D'
B' F' R U' F' D2
B' F' R D U' F'
B' F' R D' U' F'
B' F' R D2 U' F'
B F' R B2 U' F'
U' B' F' R U' F'
U2 B' F' R U' F'
U B' F' R U' F'
F' L R U' L F' L'
F' L R U' L' F' L'
F' L R U' L2 F' L'
F' L R U' D F' L'
F' L R U' D' F' L'
F' L R U' D2 F' L'
F' L R U' F' L' D
F' L R U' F' L' D'
F' L R U' F' L' D2
F' L R U' F' D L'
F' L R U' F' D' L'
F' L R U' F' D2 L'
F' L R D U' F' L'
F' L R D' U' F' L'
F' L R D2 U' F' L'
F' L R B U' F' L'
F' L R B' U' F' L'
F' L R B2 U' F' L'
B' L F' L R U' F'
B' L F' L' R U' F'
B' L F' L2 R U' F'
B' L F' R L U' F'
B' L F' R L' U' F'
B' L F' R L2 U' F'
B' L F' R U' D F'
B' L F' R U' D' F'
B' L F' R U' D2 F'
B' L F' R U' F' D
B' L F' R U' F' D'
B' L F' R U' F' D2
B' L F' R D U' F'
B' L F' R D' U' F'
U2 L F' R U' F' L'
B' L F' R D2 U' F'
U' L F' R U' F' L'
B L F' R B2 U' F'
U L F' R U' F' L'
B2 L F' B R U' F'
B L F' B2 R U' F'
F' L B R U' F' L'
B2 L B F' R U' F'
F' L B' R U' F' L'
F' L B2 R U' F' L'
B L B2 F' R U' F'
B' L' F' L R U' F'
B' L' F' L' R U' F'
B' L' F' L2 R U' F'
B' L' F' R L U' F'
B' L' F' R L' U' F'
B' L' F' R L2 U' F'
B' L' F' R U' D F'
B' L' F' R U' D' F'
B' L' F' R U' D2 F'
B' L' F' R U' F' D
B' L' F' R U' F' D'
B' L' F' R U' F' D2
B' L' F' R D U' F'
B' L' F' R D' U' F'
B' L' F' R D2 U' F'
B L' F' R B2 U' F'
B2 L' F' B R U' F'
B L' F' B2 R U' F'
B2 L' B F' R U' F'
F' L2 R U' F' D' L2
F' L2 R U2 F U F2
B L' B2 F' R U' F'
B' L2 F' L R U' F'
B' L2 F' L' R U' F'
B' L2 F' L2 R U' F'
B' L2 F' R L U' F'
B' L2 F' R L' U' F'
B' L2 F' R L2 U' F'
B' L2 F' R U' D F'
B' L2 F' R U' D' F'
B' L2 F' R U' D2 F'
B' L2 F' R U' F' D
B' L2 F' R U' F' D'
B' L2 F' R U' F' D2
B' L2 F' R D U' F'
B' L2 F' R D' U' F'
B' L2 F' R D2 U' F'
B L2 F' R B2 U' F'
B2 L2 F' B R U' F'
B L2 F' B2 R U' F'
B2 L2 B F' R U' F'
F' R L U' L F' L'
F' R L U' L' F' L'
F' R L U' L2 F' L'
F' R L U' D F' L'
F' R L U' D' F' L'
F' R L U' D2 F' L'
F' R L U' F' L' D
F' R L U' F' L' D'
F' R L U' F' L' D2
F' R L U' F' D L'
F' R L U' F' D' L'
F' R L U' F' D2 L'
F' R L D U' F' L'
F' R L D' U' F' L'
B L2 B2 F' R U' F'
F' R L D2 U' F' L'
F' R L B U' F' L'
F' R L B' U' F' L'
F' R L B2 U' F' L'
F' R L2 U' F' D' L2
F' R L2 U2 F U F2
F' R U' L2 F' D' L2
F' R U' F' U B' U'
F' R D L U' F' L'
F' R D B' L U' F'
F' R D B' L' U' F'
F' R D B' L2 U' F'
F' R D B' U' D F'
F' R D B' U' D' F'
F' R D B' U' D2 F'
F' R D B' U' F' D
F' R D B' U' F' D'
F' R D B' U' F' D2
F' R D B' D U' F'
F' R D B' D' U' F'
F' R D B' D2 U' F'
F' R D' L U' F' L'
F' R D' B' L U' F'
F' R D' B' L' U' F'
F' R D' B' L2 U' F'
F' R D' B' U' D F'
F' R D' B' U' D' F'
F' R D' B' U' D2 F'
F' R D' B' U' F' D
F' R D' B' U' F' D'
F' R D' B' U' F' D2
F' R D' B' D U' F'
F' R D' B' D' U' F'
F' R D' B' D2 U' F'
F' R D2 L U' F' L'
F' R D2 B' L U' F'
F' R D2 B' L' U' F'
F' R D2 B' L2 U' F'
F' R D2 B' U' D F'
F' R D2 B' U' D' F'
F' R D2 B' U' D2 F'
F' R D2 B' U' F' D
F' R D2 B' U' F' D'
F' R D2 B' U' F' D2
F' R D2 B' D U' F'
F' R D2 B' D' U' F'
F' R D2 B' D2 U' F'
F2 R F R B' U' F2
F2 R F B' R U' F2
F R F2 R B' U' F
F' R B L B2 U' F'
F' R B L' B2 U' F'
F' R B L2 B2 U' F'
F' R B U' D L2 F'
F' R B U' D F' L2
F' R B U' F' D L2
F R F2 B' R U' F
F' R B D U' L2 F'
F' R B D U' F' L2
F' R B' L U' D F'
F' R B' L U' D' F'
F' R B' L U' D2 F'
F' R B' L U' F' D
F' R B' L U' F' D'
F' R B' L U' F' D2
F' R B' L D U' F'
F' R B' L D' U' F'
F' R B' L D2 U' F'
F' R B' L' U' D F'
F' R B' L' U' D' F'
F' R B' L' U' D2 F'
F' R B' L' U' F' D
F' R B' L' U' F' D'
F' R B' L' U' F' D2
F' R B' L' D U' F'
F' R B' L' D' U' F'
F' R B' L' D2 U' F'
F' R B' L2 U' D F'
F' R B' L2 U' D' F'
F' R B' L2 U' D2 F'
F' R B' L2 U' F' D
F' R B' L2 U' F' D'
F' R B' L2 U' F' D2
F' R B' L2 D U' F'
F' R B' L2 D' U' F'
F' R B' L2 D2 U' F'
F' R B' U B U2 F'
F' R B' U B' U2 F'
F' R B' U B2 U2 F'
F' R B' U' L' F' L
F' R B' U' L2 F' L2
F' R B' U' D F' D
F' R B' U' D F' D'
F' R B' U' D F' D2
F' R B' U' D' F' D
F' R B' U' D' F' D'
F' R B' U' D' F' D2
F' R B' U' D2 F' D
F' R B' U' D2 F' D'
F' R B' U' D2 F' D2
F' R B' U' F2 D F
F' R B' U' F2 D' F
F' R B' U' F2 D2 F
F' R B' D L U' F'
F' R B' D L' U' F'
F' R B' D L2 U' F'
F' R B' D U' F' D
F' R B' D U' F' D'
F' R B' D U' F' D2
F' R B' D' L U' F'
F' R B' D' L' U' F'
F' R B' D' L2 U' F'
F' R B' D' U' F' D
F' R B' D' U' F' D'
F' R B' D' U' F' D2
F' R B' D2 L U' F'
F' R B' D2 L' U' F'
F' R B' D2 L2 U' F'
F' R B' D2 U' F' D
F' R B' D2 U' F' D'
F' R B' D2 U' F' D2
F' R B2 L B U' F'
F2 R B' F R U' F2
F' R B2 L' B U' F'
F' R B2 L2 B U' F'
F R B' F2 R U' F
F' R B2 D B U' F'
F' R B2 D' B U' F'
F' R B2 D2 B U' F'
L U' F' R U' L' F'
F' R' B' R2 U B2 U2
F' R' B' R2 U' D2 F2
F' R' B' R2 D L2 U'
F' R' B' R2 D2 U' F2
F' R' B' D L2 U' B2
L U2 F' R B U' F'
F' R2 D R' B' U' F'
F' R2 D' R' B' U' F'
F' R2 D2 R' B' U' F'
B2 U F' B R U' F'
B U F' R B2 U' F'
B U F' B2 R U' F'
F U F2 R B' U' F'
B2 U B F' R U' F'
F U F2 B' R U' F'
F U B' F2 R U' F'
B U B2 F' R U' F'
B2 U' F' B R U' F'
B U' F' R B2 U' F'
B U' F' B2 R U' F'
F U' F2 R B' U' F'
B2 U' B F' R U' F'
F' U' B' R U' F' R'
F U' F2 B' R U' F'
F U' B' F2 R U' F'
B U' B2 F' R U' F'
B2 U2 F' B R U' F'
B U2 F' R B2 U' F'
B U2 F' B2 R U' F'
F U2 F2 R B' U' F'
B2 U2 B F' R U' F'
F U2 F2 B' R U' F'
F U2 B' F2 R U' F'
B U2 B2 F' R U' F'
L2 F U2 F2 R U' F'
F' D R B' L U' D
F' D R B' L U' D'
F' D R B' L U' D2
F' D R B' L D U'
F' D R B' L D' U'
F' D R B' L D2 U'
F' D R B' D L U'
F' D R B' D' L U'
F' D R B' D2 L U'
L2 F D2 L' B2 U F
F' D R' B' L R2 U'
F' D R' B' R2 L U'
L2 F D2 B2 L' U F
U' F' L R U' F' L'
L' F' L R B' U' F'
U2 F' L R U' F' L'
L' F' L B' R U' F'
U F' L R U' F' L'
L' F' L2 R U' F' L'
F2 D F R B' L U'
U' F' R L U' F' L'
F2 D F B' L R U'
F2 D F B' R L U'
L F' L' R B' U' F'
U' F' R D B' U' F'
L' F' R L B' U' F'
U' F' R D' B' U' F'
L' F' R L2 U' F' L'
U' F' R D2 B' U' F'
U' F' R B' L U' F'
U' F' R B' L' U' F'
U' F' R B' L2 U' F'
U' F' R B' U' D F'
U' F' R B' U' D' F'
U' F' R B' U' D2 F'
U' F' R B' U' F' D
U' F' R B' U' F' D'
U' F' R B' U' F' D2
U' F' R B' D U' F'
U' F' R B' D' U' F'
U' F' R B' D2 U' F'
U2 F' R L U' F' L'
L F' L' B' R U' F'
L2 F' R U' D' L2 F'
L2 F' R U' D' F' L2
L2 F' R U2 F2 U F
U2 F' R D B' U' F'
L2 F' R D' U' L2 F'
L2 F' R D' U' F' L2
U2 F' R D' B' U' F'
U2 F' R D2 B' U' F'
L2 F' R D2 B2 U' F'
U2 F' R B' L U' F'
U2 F' R B' L' U' F'
U2 F' R B' L2 U' F'
U2 F' R B' U' D F'
U2 F' R B' U' D' F'
U2 F' R B' U' D2 F'
U2 F' R B' U' F' D
U2 F' R B' U' F' D'
U2 F' R B' U' F' D2
U2 F' R B' D U' F'
U2 F' R B' D' U' F'
U2 F' R B' D2 U' F'
U F' R L U' F' L'
L F' R L' B' U' F'
L F' R U' L F' L'
L F' R U' L' F' L'
L F' R U' L2 F' L'
L F' R U' D F' L'
L F' R U' D' F' L'
L F' R U' D2 F' L'
L F' R U' F' L' D
L F' R U' F' L' D'
L F' R U' F' L' D2
L F' R U' F' D L'
L F' R U' F' D' L'
L F' R U' F' D2 L'
U F' R D B' U' F'
U F' R D' B' U' F'
L F' R D U' F' L'
U F' R D2 B' U' F'
L F' R D' U' F' L'
L F' R D2 U' F' L'
U F' R B' L U' F'
U F' R B' L' U' F'
U F' R B' L2 U' F'
F' D B' L R U' D
F' D B' L R U' D'
F' D B' L R U' D2
F' D B' L R D U'
F' D B' L R D' U'
F' D B' L R D2 U'
U F' R B' U' D F'
U F' R B' U' D' F'
U F' R B' U' D2 F'
U F' R B' U' F' D
U F' R B' U' F' D'
U F' R B' U' F' D2
F' D B' L D R U'
F' D B' L D' R U'
U F' R B' D U' F'
F' D B' L D2 R U'
U F' R B' D' U' F'
U F' R B' D2 U' F'
L F' R B U' F' L'
L F' R B' U' F' L'
L F' R B2 U' F' L'
F' D B' R L U' D
F' D B' R L U' D'
F' D B' R L U' D2
F' D B' R L D U'
F' D B' R L D' U'
F' D B' R L D2 U'
F' D B' R D L U'
F' D B' R D' L U'
F' D B' R D2 L U'
D F' R' B' L U' B2
F' D B' D L R U'
F' D B' D R L U'
F' D B' D' L R U'
F' D B' D' R L U'
F' D B' D2 L R U'
F' D B' D2 R L U'
F2 D B' F L R U'
F2 D B' F R L U'
U' F' D R B' L U'
U' F' D B' L R U'
U' F' D B' R L U'
U2 F' D R B' L U'
U2 F' D B' L R U'
U2 F' D B' R L U'
U F' D R B' L U'
F' D' R D2 B' L U'
U F' D B' L R U'
U F' D B' R L U'
U' F' B R B2 U' F'
U' F' B' L R U' F'
U' F' B' L' R U' F'
U' F' B' L2 R U' F'
U' F' B' R L U' F'
U' F' B' R L' U' F'
U' F' B' R L2 U' F'
U' F' B' R U' D F'
U' F' B' R U' D' F'
U' F' B' R U' D2 F'
U' F' B' R U' F' D
U' F' B' R U' F' D'
U' F' B' R U' F' D2
U' F' B' R D U' F'
U' F' B' R D' U' F'
U' F' B' R D2 U' F'
U2 F' B R B2 U' F'
U2 F' B' L R U' F'
U2 F' B' L' R U' F'
U2 F' B' L2 R U' F'
U2 F' B' R L U' F'
U2 F' B' R L' U' F'
U2 F' B' R L2 U' F'
U2 F' B' R U' D F'
U2 F' B' R U' D' F'
U2 F' B' R U' D2 F'
U2 F' B' R U' F' D
U2 F' B' R U' F' D'
U2 F' B' R U' F' D2
U2 F' B' R D U' F'
U2 F' B' R D' U' F'
U2 F' B' R D2 U' F'
U F' B R B2 U' F'
L F' B R U' F' L'
D F' B' L R' U' B
D F' B' R' L U' B
U F' B' L R U' F'
U F' B' L' R U' F'
U F' B' L2 R U' F'
U F' B' R L U' F'
U F' B' R L' U' F'
U F' B' R L2 U' F'
U F' B' R U' D F'
U F' B' R U' D' F'
U F' B' R U' D2 F'
U F' B' R U' F' D
U F' B' R U' F' D'
U F' B' R U' F' D2
D F' B' D2 L U' B'
U F' B' R D U' F'
U F' B' R D' U' F'
U F' B' R D2 U' F'
L F' B' R U' F' L'
L F' B2 R U' F' L'
F2 D' F R B' L' U'
F2 D' F B' L' R U'
F2 D' F B' R L' U'
F' D' B' D R U' F'
F2 D' B' F L' R U'
F2 D' B' F R L' U'
F' D2 R D' B' L U'
F' D2 R B' L' U' F
F' D2 B' L' R U' F
F' D2 B' R L' U' F
F' D2 B' D2 R U' F'
F' B L R B2 U' F'
F' B L B2 R U' F'
F' B L' R B2 U' F'
F' B L' B2 R U' F'
F' B L2 R B2 U' F'
F' B L2 B2 R U' F'
F' B R L B2 U' F'
F' B R L' B2 U' F'
F' B R L2 B2 U' F'
F' B R U' D L2 F'
F' B R U' D F' L2
F' B R U' F' D L2
B' F R F2 R U' F
F' B R D U' L2 F'
F' B R D U' F' L2
F' B R B2 L U' F'
F' B R B2 L' U' F'
F' B R B2 L2 U' F'
F' B R B2 U' D F'
F' B R B2 U' D' F'
F' B R B2 U' D2 F'
F' B R B2 U' F' D
F' B R B2 U' F' D'
F' B R B2 U' F' D2
F' B R B2 D U' F'
F' B R B2 D' U' F'
F' B R B2 D2 U' F'
U' B F' R B2 U' F'
U2 B F' R B2 U' F'
U' B' L F' R U' F'
L B F' R U' F' L'
U B F' R B2 U' F'
U' B' L' F' R U' F'
U2 B' L F' R U' F'
D B' L D' F' R U'
D B' L F' R' U' B
U' B' L2 F' R U' F'
U2 B' L' F' R U' F'
U B' L F' R U' F'
U2 B' L2 F' R U' F'
U B' L' F' R U' F'
U B' L2 F' R U' F'
B' F' L R U' D F'
B' F' L R U' D' F'
B' F' L R U' D2 F'
B' F' L R U' F' D
B' F' L R U' F' D'
B' F' L R U' F' D2
B' F' L R D U' F'
B' F' L R D' U' F'
B' F' L R D2 U' F'
F' B' L R U' D F'
F' B' L R U' D' F'
F' B' L R U' D2 F'
F' B' L R U' F' D
F' B' L R U' F' D'
F' B' L R U' F' D2
F' B' L R D U' F'
F' B' L R D' U' F'
F' B' L R D2 U' F'
B' F' L' R U' D F'
B' F' L' R U' D' F'
B' F' L' R U' D2 F'
B' F' L' R U' F' D
B' F' L' R U' F' D'
B' F' L' R U' F' D2
B' F' L' R D U' F'
B' F' L' R D' U' F'
B' F' L' R D2 U' F'
B2 F' L B R U' F'
F' B' L' R U' D F'
F' B' L' R U' D' F'
F' B' L' R U' D2 F'
F' B' L' R U' F' D
F' B' L' R U' F' D'
F' B' L' R U' F' D2
F' B' L' R D U' F'
F' B' L' R D' U' F'
F' B' L' R D2 U' F'
B F' L R B2 U' F'
B' F' L2 R U' D F'
B' F' L2 R U' D' F'
B' F' L2 R U' D2 F'
B' F' L2 R U' F' D
B' F' L2 R U' F' D'
B' F' L2 R U' F' D2
B' F' L2 R D U' F'
