F' R U R' B2 U F'
F' R U B2 R' U F'
F' R B' U R' B' U
B' R' D2 B' U L B'
D' R2 B U L B' U'
B2 U' F' D' R U2 F'
F' U2 F2 D' L' R2 F
F' U2 F2 D' L' F R2
F' U2 F2 D' R2 L' F
U F' R U2 D' R2 F'
U F' R D L2 B U2
U F' R D B L2 U2
U F' R D' U2 R2 F'
U F' R D' B U2 R2
U F' R B U B U
U F' D L2 R B U2
U F' D R L2 B U2
U F' D R B L2 U2
U F' D' R B U2 R
D2 F2 L2 U' B' L F
D' B L B' U' R2 B
F D2 B2 D L' R2 F
F D2 B2 D L' F R2
F D2 B2 D R2 L' F
B' F' R U R2 B' U
B' F' R U B' R2 U
F' B' R U R2 B' U
F' B' R U B' R2 U
U2 B2 U' F' R B U2
