U F B L B2 U'
U F B' U2 R' U
B' F L U' F B
B' F L U' B F
U B F L B2 U'
F B' L U' F B
F B' L U' B F
U B' F U2 R' U
B' L U' D' F B R'
B' L U' D' B R' F
B' L U' D' B F R'
B' L U' F D' B R'
B' L D' U' F B R'
B' L D' U' B R' F
B' L D' U' B F R'
B' L' U B' U2 R' B2
F' L' D L2 R2 F L'
F' L' D L2 F L' R2
F' L' D L2 F R2 L'
F' L' D R2 L2 F L'
U L' B L F B' U'
U L' B L B' F U'
U2 L2 U F R B' U
U2 L2 U F B' R U
U2 L2 U B' F R U
U L2 U2 F R B' U
U L2 U2 F B' R U
U L2 U2 B' F R U
U' L2 F R B' L2 U
U' L2 F B' L2 R U
U' L2 F B' R L2 U
U' L2 B' F L2 R U
U' L2 B' F R L2 U
R' U F B L B2 U'
R' U F B' U2 R' U
R2 U F B L B2 U'
R2 U F B' U2 R' U
R U F B L B2 U'
R U F B' U2 R' U
R' U B F L B2 U'
R2 U B F L B2 U'
R U B F L B2 U'
R' U B' F U2 R' U
R2 U B' F U2 R' U
R U B' F U2 R' U
U2 R B U' F B2 U'
U2 R B U' B2 F U'
F R B' L U' F B
F R B' L U' B F
U2 R' U' F B' U' F2
U2 R' U' B' F U' F2
F R' B' L U' F B
F R' B' L U' B F
F R2 B' L U' F B
F R2 B' L U' B F
D' U F B L B2 U'
D2 U F B L B2 U'
D' U F B' U2 R' U
D2 U F B' U2 R' U
D U F B L B2 U'
D U F B' U2 R' U
U D F B L B2 U'
U D F B' U2 R' U
B2 U F B L U' B
D' U B F L B2 U'
D2 U B F L B2 U'
F2 U F' B L B2 U'
F2 U F' B' U2 R' U
D U B F L B2 U'
D' U B' F U2 R' U
D2 U B' F U2 R' U
U D B F L B2 U'
F' U F2 B L B2 U'
F' U F2 B' U2 R' U
F' U B L F2 B2 U'
F' U B L B2 F2 U'
D U B' F U2 R' U
F2 U B L F' B2 U'
F2 U B L B2 F' U'
U D B' F U2 R' U
F' U B F2 L B2 U'
B2 U B F L U' B
F2 U B F' L B2 U'
F' U B' F2 U2 R' U
F2 U B' F' U2 R' U
F U B' U2 R' U R
U D' F B L B2 U'
U D' F B' U2 R' U
U D' B F L B2 U'
U D' B' F U2 R' U
U D2 F B L B2 U'
U D2 F B' U2 R' U
U D2 B F L B2 U'
U D2 B' F U2 R' U
L F L U' F B' U
L F L U' B' F U
L F L' U F B' U'
L F L' U B' F U'
U F L' B L B' U'
U F L2 U2 F R U
U F D B L B2 U'
U F D B' U2 R' U
U F D' B L B2 U'
U F D' B' U2 R' U
R' F B' L U' F B
R' F B' L U' B F
D' F B' L U' F B
D' F B' L U' B F
D2 F B' L U' F B
D2 F B' L U' B F
U F D2 B L B2 U'
L2 F B' L' U F B
L2 F B' L' U B F
U F D2 B' U2 R' U
U F B L U' D L2
U F B L D U' L2
U F B L B2 U' D
U F B L B2 U' D'
U F B L B2 U' D2
U F B L B2 D U'
U F B L B2 D' U'
U F B L B2 D2 U'
U F B L' B2 L2 U'
R2 F B' L U' F B
R2 F B' L U' B F
U F B L2 B2 L' U'
D F B' L U' F B
D F B' L U' B F
U F B D L U' L
U F B' L U2 R' U
U F B' L' U2 R' U
U F B' L2 U2 R' U
R F B' L U' F B
R F B' L U' B F
U F B' U2 R' U D
U F B' U2 R' U D'
U F B' U2 R' U D2
U F B' U2 R' D U
U F B' U2 R' D' U
U F B' U2 R' D2 U
U F B' U2 D R' U
U F B' U2 D' R' U
U F B' U2 D2 R' U
U F B' D U2 R' U
U F B' D' U2 R' U
U F B' D2 U2 R' U
B' D F L U' F B
B' D F L U' B F
F D B' L U' F B
F D B' L U' B F
U' F' U2 B' L' F2 U'
U F' B L F2 B2 U'
U F' B L B2 F2 U'
B' D' F L U' F B
B' D' F L U' B F
F D' B' L U' F B
F D' B' L U' B F
U F2 B L F' B2 U'
U F2 B L B2 F' U'
B' D2 F L U' F B
B' D2 F L U' B F
F D2 B' L U' F B
F D2 B' L U' B F
B' F L U' D F B
B' F L U' D B F
B' F L U' D' F B
B' F L U' D' B F
B' F L U' D2 F B
B' F L U' D2 B F
B' F L U' F D B
B' F L U' F D' B
B' F L U' F D2 B
B' F L U' F B D
B' F L U' F B D'
B' F L U' F B D2
B' F L U' B D F
B' F L U' B D' F
B' F L U' B D2 F
B' F L U' B F D
B' F L U' B F D'
B' F L U' B F D2
B' F L D U' F B
B' F L D U' B F
B' F L D' U' F B
B' F L D' U' B F
B' F L D2 U' F B
B' F L D2 U' B F
B' F L' U B' U2 B2
B' F L' U' B D2 F2
B2 F L B U' F B
B2 F L B U' B F
U B D F L U' L
U B F L U' D L2
U B F L D U' L2
U B F L B2 U' D
U B F L B2 U' D'
U B F L B2 U' D2
U B F L B2 D U'
U B F L B2 D' U'
U B F L B2 D2 U'
U B F L' B2 L2 U'
U B F L2 B2 L' U'
U B F D L U' L
U B F' L F2 B2 U'
U B F' L B2 F2 U'
U B F2 L F' B2 U'
U B F2 L B2 F' U'
B' F D L U' F B
B' F D L U' B F
L2 B' L' U F B L
L2 B' L' U B F L
B' F D' L U' F B
B' F D' L U' B F
B' F D2 L U' F B
B' F D2 L U' B F
U B' L2 U2 R' B' U
B' F' L F2 U' F' B
B' F' L F2 U' B F'
F' B' L F2 U' F' B
F' B' L F2 U' B F'
F2 B' L F' U' F2 B
F2 B' L F' U' B F2
F B' L U' D F B
F B' L U' D B F
F B' L U' D' F B
F B' L U' D' B F
F B' L U' D2 F B
F B' L U' D2 B F
F B' L U' F D B
F B' L U' F D' B
F B' L U' F D2 B
F B' L U' F B D
