U' L B' U' R' F
U' L B' U' F R'
B U' L B' U' R'
B2 L U' B' L U' R'
U' L D B' U' R' F
U' L D B' U' F R'
U' L D' B' U' R' F
U' L D' B' U' F R'
U' L D2 B' U' R' F
U' L D2 B' U' F R'
U' L F' B' U' R' F2
U' L F' B' U' F2 R'
U' L F2 B' U' F' R'
U' L B' U' R F R2
U' L B' U' R' D F
U' L B' U' R' D' F
U' L B' U' R' D2 F
U' L B' U' R' F D
U' L B' U' R' F D'
U' L B' U' R' F D2
U' L B' U' D R' F
U' L B' U' D F R'
U' L B' U' D' R' F
U' L B' U' D' F R'
U' L B' U' D2 R' F
U' L B' U' D2 F R'
U' L B' U' F R' D
U' L B' U' F R' D'
U' L B' U' F R' D2
U' L B' U' F D R'
U' L B' U' F D' R'
U' L B' U' F D2 R'
U' L B' U' F' R' F2
U' L B' D U' R' F
U' L B' D U' F R'
U' L B' D' U' R' F
U' L B' D' U' F R'
U' L B' D2 U' R' F
U' L B' D2 U' F R'
U' L B' F' U' R' F2
U' L B' F' U' F2 R'
U' L B' F2 U' F' R'
B' L' U R' F U R
B' L' U F R' U R2
B L' U' L2 B' U' R'
U2 L' F R B' U B
L' U R' F U R F2
L' U R2 F U R F'
L' U F R' U F' R2
R' U' L F' B' U' F2
R' U' L B' F' U' F2
R' U' F' L B' U' F
B R' U' L F' B' U'
B R' U' L B' F' U'
B R' U' F' L B' U'
L U' B' L U' R' F
L U' B' L U' F R'
B2 U' L B' L U' R'
B U' L D B' U' R'
B U' L D' B' U' R'
B U' L D2 B' U' R'
B U' L F B' U' R'
B U' L F' B' U' R'
B U' L F2 B' U' R'
B U' L B' U' R' D
B U' L B' U' R' D'
B U' L B' U' R' D2
B U' L B' U' D R'
B U' L B' U' D' R'
B U' L B' U' D2 R'
B U' L B' D U' R'
B U' L B' D' U' R'
B U' L B' D2 U' R'
B U' L B' F U' R'
B U' L B' F' U' R'
B U' L B' F2 U' R'
B U' F L B' U' R'
B U' F' L B' U' R'
B U' F2 L B' U' R'
B U2 L F B' U' B
B U2 L B' F U' B
U' F L B' U' R' F
U' F L B' U' F R'
U' F' L B' U' R' F
U' F' L B' U' F R'
U' F2 L B' U' R' F
U' F2 L B' U' F R'
D' B R' U' L F' U'
D' B R' U' F' L U'
R' B U' L F' B' U'
R' B U' L B' F' U'
R' B U' F' L B' U'
R B U2 L B' U' B
L' B' U R' F U R
L' B' U F R' U R2
