L' R D F' R B'
L' R D F' B' R
L' R D B' F' R
L' R B' D F' R
R L' D F' R B'
R L' D F' B' R
R L' D B' F' R
R L' B' D F' R
L' B' R D F' R
B' L R U L2 F' B'
B' L R U L2 B' F'
L R U L2 F' B' R'
L R U L2 B' F' R'
R L U L2 F' B' R'
R L U L2 B' F' R'
D2 L U L2 F B' R'
D2 L U L2 B' R' F
D2 L U L2 B' F R'
L' R D F' R D B'
L' R D F' R D' B'
L' R D F' R D2 B'
L' R D F' R B' D
L' R D F' R B' D'
L' R D F' R B' D2
L' R D F' R' B' R2
L' R D F' D R B'
L' R D F' D B' R
L' R D F' D' R B'
L' R D F' D' B' R
L' R D F' D2 R B'
L' R D F' D2 B' R
L' R D F' B R B2
L' R D F' B' R D
L' R D F' B' R D'
L' R D F' B' R D2
L' R D F' B' D R
L' R D F' B' D' R
L' R D F' B' D2 R
D2 L U' L2 F R B'
D2 L U' L2 F B' R
L' R D B F' R B2
D2 L U' L2 B' F R
L' R D B' F' R D
L' R D B' F' R D'
L' R D B' F' R D2
L' R D B' F' D R
L' R D B' F' D' R
L' R D B' F' D2 R
L' R D' F' B R' B2
L' R D' B F' R' B2
L' R D2 B' D' F' R
L2 R F U' L F2 B'
L2 R F U' L B' F2
L2 R F U' F2 L B'
L2 R F' L D R2 B'
L2 R F' L D B' R2
L2 R F' L B' D R2
L' R F' D' B R' B2
L' R F' B2 D' B R'
L' R B' D F' R D
L' R B' D F' R D'
L' R B' D F' R D2
L' R B' D F' D R
L' R B' D F' D' R
L' R B' D F' D2 R
L' R B2 D F' B R
L' R B2 D B F' R
L' R B2 D' F' B R'
L' R B2 D' B F' R'
L' R B2 F' D' B R'
U2 L' R D F' B R
U2 L' R D B F' R
U2 L' R D' F' B R'
U2 L' R D' B F' R'
B2 L' R D' F' R B'
B2 L' R D' F' B' R
B2 L' R D' B' F' R
B L' R D' F' R2 B'
B L' R D' F' B' R2
B L' R D' B' F' R2
U2 L' R F' D' B R'
R' L' D R2 F' R B'
R' L' D R2 F' B' R
R' L' D R2 B' F' R
L' R' D R2 F' R B'
L' R' D R2 F' B' R
L' R' D R2 B' F' R
U2 L' R B D F' R
B L' R F' D' R2 B'
B L' R F' D' B' R2
R2 L' D R' F' R B'
R2 L' D R' F' B' R
R2 L' D R' B' F' R
B2 L' R B' D' F' R
R L' D F' R D B'
R L' D F' R D' B'
R L' D F' R D2 B'
R L' D F' R B' D
R L' D F' R B' D'
R L' D F' R B' D2
R L' D F' R' B' R2
R L' D F' D R B'
R L' D F' D B' R
R L' D F' D' R B'
R L' D F' D' B' R
R L' D F' D2 R B'
R L' D F' D2 B' R
R L' D F' B R B2
R L' D F' B' R D
R L' D F' B' R D'
R L' D F' B' R D2
R L' D F' B' D R
R L' D F' B' D' R
R L' D F' B' D2 R
B L' R' D' R2 F' B'
B L' R' D' R2 B' F'
R2 L' D B' R' F' R
R L' D B F' R B2
R L' D B' F' R D
R L' D B' F' R D'
R L' D B' F' R D2
R L' D B' F' D R
R L' D B' F' D' R
R L' D B' F' D2 R
R L' D' F' B R' B2
R2 L' D' B R' F' B2
R2 L' D' B R' B2 F'
R L' D' B F' R' B2
R L' D2 B' D' F' R
R L' F' D' B R' B2
D' L' D R F' R B'
D' L' D R F' B' R
D' L' D R B' F' R
R L' F' B2 D' B R'
D2 L' D F' R F2 B'
D2 L' D F' R B' F2
D' L' D F' R F' B'
D' L' D F' R B' F'
D2 L' D F' B' R F2
D' L' D F' B' R F'
D' L' D B' R F' R
D2 L' D B' F' R F2
D' L' D B' F' R F'
D2 L' D' F B R' B2
D2 L' D' B R' F B2
D2 L' D' B R' B2 F
D2 L' D' B F R' B2
R2 L' B' R' D F' R
R2 L' B' D R' F' R
R L' B' D F' R D
R L' B' D F' R D'
R L' B' D F' R D2
R L' B' D F' D R
R L' B' D F' D' R
R L' B' D F' D2 R
D2 L' F D' B R' B2
R2 L' B2 D' B R' F'
D2 L' F B2 D' B R'
R L' B2 D F' B R
R L' B2 D B F' R
R L' B2 D' F' B R'
R L' B2 D' B F' R'
R L' B2 F' D' B R'
D2 L' F2 D F' R B'
D2 L' F2 D F' B' R
D2 L' F2 D B' F' R
D2 L' F2 B' D F' R
L' R2 D R' F' R B'
L' R2 D R' F' B' R
L' R2 D R' B' F' R
B' L' B' R D' F' R
B2 L' B' R D' F' R2
B2 L' B' R F' D' R2
B2 L' B' R' D' R2 F'
D' L' B' D R F' R
D2 L' B' D F' R F2
D' L' B' D F' R F'
L' R2 D B' R' F' R
D2 L' B' F2 D F' R
D2 L' B2 D' F B R'
L' R2 D' B R' F' B2
L' R2 D' B R' B2 F'
D2 L' B2 D' B R' F
D2 L' B2 D' B F R'
D2 L' B2 F D' B R'
B' L2 R U L F' B'
B' L2 R U L B' F'
B' L2 R U F' L B'
R L2 F U' L F2 B'
R L2 F U' L B' F2
R L2 F U' F2 L B'
R L2 F' L D R2 B'
R L2 F' L D B' R2
R L2 F' L B' D R2
L' R2 B' R' D F' R
