R D B' L F
B' L R D F L2
B' L R D F L2
B' L R F D L2
B L U' R F B2
B L U' R B2 F
L R D' F L' B'
B L U' B2 R F
R L D' F L' B'
B' L D R F L2
B' L' R D L2 F
B' L' D L2 R F
B' L' D R L2 F
B' R L D F L2
B' R L F D L2
B' R L' D L2 F
B' R D L F L
D' R D B' L F
D2 R D B' L F
D R D B' L F
R D F B' L F
R D F' B' L F
R D F2 B' L F
R D B' L D F
R D B' L D' F
R D B' L D2 F
R D B' L F D
R D B' L F D'
R D B' L F D2
R D B' D L F
R D B' D' L F
R D B' D2 L F
R D B' F L F
R D B' F' L F
R D B' F2 L F
R D' L F L' B'
R D' B' L F L'
B' D L R F L
B' D L2 D2 R F'
B' D R L F L
R F D B' L F
R F' D B' L F
R F2 D B' L F
U B L U' R B2
U B L U' B2 R
R B' L D' F L'
R B' D' L F L'
B' L R U B2 U' F
B' L R D F L2 D
B' L R D F L2 D'
B' L R D F L2 D2
B' L R D F' L2 F2
B' L R D F2 L2 F'
B' L R D' F D2 L2
D2 L R D' F L' B'
D' L R D' F L' B'
B' L R F L D L2
B' L R F L' D L2
B' L R F L2 D L2
B' L R F U B2 U'
B' L R F D L2 D
B' L R F D L2 D'
B' L R F D L2 D2
D L R D' F L' B'
B' L R F2 D L2 F'
B' L R F2 D F' L2
B L R F B2 D L2
B L R B2 D F L2
B L R B2 F D L2
B L R' U' R2 F B2
B L R' U' R2 B2 F
B L R' U' F R2 B2
B L R' U' F B2 R2
B L R' U' B2 R2 F
B L R' U' B2 F R2
B' L R' F R2 D L2
B' L R2 D R' F L2
B' L R2 D F L2 R'
B' L R2 D F R' L2
B L R2 U' R' F B2
B L R2 U' R' B2 F
B L R2 U' F R' B2
B' L R2 F R' D L2
B' L R2 F D L2 R'
B' L R2 F D R' L2
B L U R F B2 L
B L U R B2 F L
L R D L' B' L F
B2 L U B R F L
R L D L' B' L F
B' L U B2 U' R F
L R D F L' B' L
R L D F L' B' L
B L U' R F B2 D
B L U' R F B2 D'
B L U' R F B2 D2
B L U' R B2 D F
B L U' R B2 D' F
B L U' R B2 D2 F
B L U' R B2 F D
B L U' R B2 F D'
B L U' R B2 F D2
B L U' R' F R2 B2
B L U' R' F B2 R2
B L U' R' B2 R2 F
B L U' R' B2 F R2
B L U' R2 F R' B2
B L U' B' R F B'
B L U' B' R B' F
B L U' B2 R D F
B L U' B2 R D' F
B L U' B2 R D' F
B L U' B2 R D2 F
B L U' B2 R F D
B L U' B2 R F D'
B L U' B2 R F D2
B L U' B2 R' F R2
B L U' B2 R2 F R'
B L U' B2 D R F
B L U' B2 D' R F
B L U' B2 D2 R F
L R D' F L' D B'
L R D' F L' D' B'
L R D' F L' D2 B'
L R D' F L' B' D
L R D' F L' B' D'
L R D' F L' B' D2
L R D' F D L' B'
L R D' F D' L' B'
L R D' F D2 L' B'
L R D' F B L' B'
L R D' F B' L' B'
L R D' F B2 L' B'
R L D' F L' D B'
R L D' F L' D' B'
R L D' F L' D2 B'
R L D' F L' B' D
R L D' F L' B' D'
R L D' F L' B' D2
R L D' F D L' B'
R L D' F D' L' B'
R L D' F D2 L' B'
R L D' F B L' B'
R L D' F B' L' B'
R L D' F B2 L' B'
L R D' B F L' B'
L R D' B' F L' B'
L R D' B2 F L' B'
R L D' B F L' B'
R L D' B' F L' B'
R L D' B2 F L' B'
B' L D R F L2 D
B' L D R F L2 D'
B' L D R F L2 D2
B' L D R F' L2 F2
B' L D R F2 L2 F'
B' L D R' F L2 R2
B' L D R' F R2 L2
B' L D R2 F L2 R'
B' L D R2 F R' L2
L R F L' D B' L
R L F L' D B' L
L R F D L' B' L
B' L D' R F2 L' F'
R L F D L' B' L
B L D' R2 U' R' F
B L D' R2 U' F R'
B' L D2 R D' F L2
L R B D' F L' B'
R L B D' F L' B'
L R B' D' F L' B'
R L B' D' F L' B'
L R B2 D' F L' B'
R L B2 D' F L' B'
B L B2 R D F L2
B L B2 R F D L2
B' L B2 U' R F B2
B' L B2 U' R B2 F
B' L B2 U' B2 R F
B L B2 D R F L2
B' L' R D L2 D F
B' L' R D L2 D' F
B' L' R D L2 D2 F
B' L' R D L2 F D
B' L' R D L2 F D'
B' L' R D L2 F D2
B' L' R D F L2 F
B' L' R D F' L2 F
B' L' R D F2 L2 F
B' L' R F D L2 F
B' L' R F' D L2 F
B' L' R F2 D L2 F
B L' R' U' B2 R2 F'
B' L' R2 D L2 R' F
B' L' R2 D L2 F R'
B' L' R2 D R' L2 F
B L' U B' U2 R B'
B L' U B' U2 B' R
B L' U' R' B2 R2 F'
B L' U' B2 R2 F' R'
B' L' D L2 R D F
B' L' D L2 R D' F
B' L' D L2 R D2 F
B' L' D L2 R F D
B' L' D L2 R F D'
B' L' D L2 R F D2
B' L' D L2 R' F R2
B' L' D L2 R2 F R'
B' L' D L2 D R F
B' L' D L2 D' R F
B' L' D L2 D2 R F
B' L' D R L2 D F
B' L' D R L2 D' F
B' L' D R L2 D2 F
B' L' D R L2 F D
B' L' D R L2 F D'
B' L' D R L2 F D2
B' L' D R F L2 F
B' L' D R F' L2 F
B' L' D R F2 L2 F
B' L' D R' L2 F R2
B' L' D R2 L2 F R'
B' L' D F' L2 F R
B' L' D2 R D' L2 F
B' L' F' D L2 F R
U L' B L U' R B'
U L' B L U' B' R
B L2 U' B2 D2 R F'
B' L2 D L2 D R F'
B' L2 D2 R D' L2 F'
B' L2 D2 R D' F' L2
R U R' B L U' B2
B' R L U B2 U' F
D2 R L D' F L' B'
B' R L D F L2 D
B' R L D F L2 D'
B' R L D F L2 D2
B' R L D F' L2 F2
B' R L D F2 L2 F'
D' R L D' F L' B'
B' R L D' F D2 L2
B' R L F L D L2
B' R L F L' D L2
B' R L F L2 D L2
B' R L F U B2 U'
B' R L F D L2 D
B' R L F D L2 D'
B' R L F D L2 D2
B' R L F2 D L2 F'
B' R L F2 D F' L2
D R L D' F L' B'
B R L F B2 D L2
B' R L' D L2 D F
B' R L' D L2 D' F
B' R L' D L2 D2 F
B' R L' D L2 F D
B' R L' D L2 F D'
B' R L' D L2 F D2
B' R L' D F L2 F
B' R L' D F' L2 F
B' R L' D F2 L2 F
B R L B2 D F L2
B R L B2 F D L2
B' R L' F D L2 F
B' R L' F' D L2 F
B' R L' F2 D L2 F
R2 U F' U R' F' B'
R2 U F' U R' B' F'
B' R U B L B U'
B' R D L D F L
B' R D L D' F L
B' R D L D2 F L
B' R D L F L D
B' R D L F L D'
B' R D L F L D2
B' R D L F D L
B' R D L F D' L
B' R D L F D2 L
B' R D L F' L F2
B' R D L F2 L F'
D2 R D F B' L F
D' R D F B' L F
B' R D F L F L
D2 R D F' B' L F
B' R D F' L F L
D' R D F' B' L F
D2 R D F2 B' L F
B' R D F2 L F L
D' R D F2 B' L F
D2 R D B' L D F
D2 R D B' L D' F
D2 R D B' L D2 F
D2 R D B' L F D
D2 R D B' L F D'
D2 R D B' L F D2
D' R D B' L D F
D' R D B' L D' F
D' R D B' L D2 F
D' R D B' L F D
D' R D B' L F D'
D' R D B' L F D2
D2 R D B' D L F
D2 R D B' D' L F
D2 R D B' D2 L F
D2 R D B' F L F
D2 R D B' F' L F
D2 R D B' F2 L F
D' R D B' D L F
D' R D B' D' L F
D' R D B' D2 L F
D' R D B' F L F
D' R D B' F' L F
D' R D B' F2 L F
F' R D B' L F R
D2 R D' L F L' B'
D' R D' L F L' B'
D R D F B' L F
B' R D' L D2 F L2
B' R D' L F D2 L2
D R D F' B' L F
B' R D' L' D2 L2 F
U2 R D B' L D2 F2
D R D F2 B' L F
U2 R D B' D2 L F2
U2 R D B' D2 F2 L
D R D B' L D F
D R D B' L D' F
D R D B' L D2 F
D R D B' L F D
D R D B' L F D'
D R D B' L F D2
D R D B' D L F
D R D B' D' L F
D R D B' D2 L F
D R D B' F L F
D R D B' F' L F
D R D B' F2 L F
D R D' L F L' B'
D2 R D' B' L F L'
D' R D' B' L F L'
B' R D2 L D' F L2
B' R D2 L' D' L2 F
D R D' B' L F L'
B' R F L D F L2
B' R F L F D L2
B' R F L' D L2 F
D2 R F D B' L F
B' R F D L F L
D' R F D B' L F
B' R F' L D F L2
B' R F' L F D L2
B' R F' L' D L2 F
D R F D B' L F
D2 R F' D B' L F
B' R F' D L F L
D' R F' D B' L F
B' R F2 L D F L2
B' R F2 L F D L2
B' R F2 L' D L2 F
D R F' D B' L F
D2 R F2 D B' L F
B' R F2 D L F L
D' R F2 D B' L F
D R F2 D B' L F
D' R B' L D' F L'
D2 R B' L D' F L'
D R B' L D' F L'
D2 R B' D' L F L'
D' R B' D' L F L'
D R B' D' L F L'
B R B2 L D F L2
B R B2 L F D L2
B R B2 L' D L2 F
B R B2 D L F L
B' R' L F R2 D L2
B R' L U' R2 F B2
B R' L U' R2 B2 F
B R' L U' F R2 B2
B R' L U' F B2 R2
B R' L U' B2 R2 F
B R' L U' B2 F R2
B R' L' U' B2 R2 F'
R U' F R F' U B'
U2 R' U F' R2 B' L'
U2 R' U F' B' L' R2
U2 R' U F' B' R2 L'
U2 R' U B' F' L' R2
U2 R' U B' F' R2 L'
L U' B U' R F B
L U' B U' R B F
U2 R' F' R2 D B' L
L U2 R D' F L' B
L U2 R D' F B L'
L U2 R D' B F L'
L U2 R B D' F L'
R2 U2 R' D F' B' L
R2 U2 R' D B' L F'
R2 U2 R' D B' F' L
R2 U2 R' F' D B' L
B' R2 L D R' F L2
B' R2 L D F L2 R'
B' R2 L D F R' L2
B' R2 L F R' D L2
B' R2 L F D L2 R'
B' R2 L F D R' L2
B R2 L U' R' F B2
B R2 L U' R' B2 F
B R2 L U' F R' B2
B' R2 L' D L2 R' F
B' R2 L' D L2 F R'
B' R2 L' D R' L2 F
B' R2 D L R' F L
B' R2 D L F L R'
B' R2 D L F R' L
B' R2 D R' L F L
R D L D2 F L' B'
R D L F L' B' L
U R2 F' U R' F' B'
U R2 F' U R' B' F'
L D R D' F L' B'
R2 D R' D B' L F
R D R' B' L R F
R D R' B' R L F
R D R2 B' L R2 F
R D R2 B' L F R2
R D R2 B' R2 L F
R D F B' L D F
R D F B' L D' F
R D F B' L D2 F
R D F B' L F D
R D F B' L F D'
R D F B' L F D2
R D F B' D L F
R D F B' D' L F
R D F B' D2 L F
R D F' B' L D F
R D F' B' L D' F
R D F' B' L D2 F
R D F' B' L F D
R D F' B' L F D'
R D F' B' L F D2
R D F' B' D L F
R D F' B' D' L F
R D F' B' D2 L F
R D F2 B' L D F
R D F2 B' L D' F
R D F2 B' L D2 F
R D F2 B' L F D
R D F2 B' L F D'
R D F2 B' L F D2
R D F2 B' D L F
R D F2 B' D' L F
R D F2 B' D2 L F
R D B L F B2 L
R D B L B2 F L
R D B' L R F R'
R D B' L R2 F R2
R D B' L D F D
R D B' L D F D'
R D B' L D F D2
R D B' L D' F D
R D B' L D' F D'
R D B' L D' F D2
R D B' L D2 F D
R D B' L D2 F D'
R D B' L D2 F D2
R D B' L F2 D F'
R D B' L F2 D' F'
R D B' L F2 D2 F'
R D B' L' F L2 F
R D B' L' F' L2 F
R D B' L' F2 L2 F
R D B' R L F R'
R D B' R2 L F R2
R D B' D L D F
R D B' D L D' F
R D B' D L D2 F
R D B' D L F D
R D B' D L F D'
R D B' D L F D2
R D B' D F L F
R D B' D F' L F
R D B' D F2 L F
R D B' D' L D F
R D B' D' L D' F
R D B' D' L D2 F
R D B' D' L F D
R D B' D' L F D'
R D B' D' L F D2
R D B' D' F L F
R D B' D' F' L F
R D B' D' F2 L F
R D B' D2 L D F
R D B' D2 L D' F
R D B' D2 L D2 F
R D B' D2 L F D
R D B' D2 L F D'
R D B' D2 L F D2
R D B' D2 F L F
R D B' D2 F' L F
R D B' D2 F2 L F
R D B' F L D F
R D B' F L D' F
R D B' F L D2 F
R D B' F L F D
R D B' F L F D'
R D B' F L F D2
R D B' F D L F
R D B' F D' L F
R D B' F D2 L F
R D B' F' L D F
R D B' F' L D' F
R D B' F' L D2 F
R D B' F' L F D
R D B' F' L F D'
R D B' F' L F D2
R D B' F' D L F
R D B' F' D' L F
R D B' F' D2 L F
R D B' F2 L D F
R D B' F2 L D' F
R D B' F2 L D2 F
R D B' F2 L F D
R D B' F2 L F D'
R D B' F2 L F D2
R D B' F2 D L F
R D B' F2 D' L F
R D B' F2 D2 L F
R D B2 L F B L
R D B2 L B F L
R D B2 D B L F
R D B2 D' B L F
R D B2 D2 B L F
D' U B L U' R B2
D' U B L U' B2 R
D2 U B L U' R B2
D2 U B L U' B2 R
R D' L F L' D B'
R D' L F L' D' B'
R D' L F L' D2 B'
R D' L F L' B' D
R D' L F L' B' D'
R D' L F L' B' D2
R D' L F D L' B'
R D' L F D' L' B'
R D' L F D2 L' B'
R D' L F B L' B'
R D' L F B' L' B'
R D' L F B2 L' B'
R D' L B F L' B'
R D' L B' F L' B'
R D' L B2 F L' B'
D U B L U' R B2
D U B L U' B2 R
U D B L U' R B2
U D B L U' B2 R
B' U B L B U' R
F' U B L F U' B2
L D' R D' F L' B'
R2 D' R' D B' L F
B' U B2 U' D' R F'
B' U B2 D' U' R F'
R D' F B' L F L2
R D' B L F L' B2
R D' B L F B2 L'
R D' B L B2 F L'
R D' B' L F L' D
R D' B' L F L' D'
R D' B' L F L' D2
R D' B' L F D L'
R D' B' L F D' L'
R D' B' L F D2 L'
R D' B' L2 F L' F
R D' B' F L F L2
R D' B2 L F L' B
R D' B2 L F B L'
R D' B2 L B F L'
U D' B L U' R B2
U D' B L U' B2 R
L D2 R D' F L' B'
R2 D2 R' D B' L F
R D2 F D' B' L F
R D2 F' D' B' L F
B U2 R' U F' R2 B2
B U2 R' U F' B2 R2
B U2 R' U B2 F' R2
R D2 F2 D' B' L F
U D2 B L U' R B2
U D2 B L U' B2 R
R D2 B' D L F L'
R F L D' F L' B'
R' F R2 D B' L F
F' U2 B' R' D L2 F'
F' U2 B' R' D F' L2
F' U2 B' R' F' D L2
F' U2 B' D L2 R' F'
F' U2 B' D R' L2 F'
F' U2 B' D R' F' L2
B' D L R D F L
B' D L R D' F L
B' D L R D2 F L
B' D L R F L D
B' D L R F L D'
B' D L R F L D2
B' D L R F D L
B' D L R F D' L
B' D L R F D2 L
B' D L R F' L F2
B' D L R F2 L F'
B' D L R' F L R2
B' D L R' F R2 L
B' D L R2 F L R'
B' D L R2 F R' L
B' D L D R F L
B' D L D' R F L
B' D L D2 R F L
B' D L2 D2 R D F'
B' D L2 D2 R D' F'
B' D L2 D2 R D2 F'
B' D L2 D2 R F' D
B' D L2 D2 R F' D'
B' D L2 D2 R F' D2
B' D R L D F L
B' D R L D' F L
B' D R L D2 F L
B' D R L F L D
B' D R L F L D'
B' D R L F L D2
B' D R L F D L
B' D R L F D' L
B' D R L F D2 L
B' D R L F' L F2
B' D R L F2 L F'
B' D R F L F L
B' D R F' L F L
B' D R F2 L F L
B' D R' L F L R2
B' D R' L F R2 L
R F D F B' L F
R F D F' B' L F
R F D F2 B' L F
R F D B' L D F
R F D B' L D' F
R F D B' L D2 F
R F D B' L F D
R F D B' L F D'
R F D B' L F D2
R F D B' D L F
R F D B' D' L F
R F D B' D2 L F
R F D B' F L F
R F D B' F' L F
R F D B' F2 L F
R F D' L F L' B'
B' D R2 L F L R'
B' D R2 L F R' L
R F D' B' L F L'
R F B' L D' F L'
R F B' D' L F L'
B' D F' L F L R
B' D F' L F R L
R F' L D' F L' B'
R' F' R2 D B' L F
B' D' L R F2 L' F'
B' D' L D2 R F L2
B' D' L' D2 L2 R F
B D' L R2 U' R' F
B D' L R2 U' F R'
B' D' L' D2 R L2 F
B' D' L2 R F2 L' F
B' D' L2 D2 L2 R F'
B' D' L2 D2 R L2 F'
B' D' L2 D2 R F' L2
B' D' R L F2 L' F'
B' D' R L2 F2 L' F
B' D' R U2 R B U2
B' D' R F L F L'
B' D' R F2 L F L2
R F' D F B' L F
R F' D F' B' L F
R F' D F2 B' L F
R F' D B' L D F
R F' D B' L D' F
R F' D B' L D2 F
R F' D B' L F D
R F' D B' L F D'
R F' D B' L F D2
R F' D B' D L F
R F' D B' D' L F
R F' D B' D2 L F
R F' D B' F L F
R F' D B' F' L F
R F' D B' F2 L F
R F' D' L F L' B'
R F' D' B' L F L'
B D' R2 L U' R' F
B D' R2 L U' F R'
R F' B' L D' F L'
R F' B' D' L F L'
R F2 L D' F L' B'
R' F2 R2 D B' L F
B' D2 L R D' F L2
B' D2 L D' R F L2
B' D2 L' R D' L2 F
B' D2 L' D' L2 R F
B' D2 L' D' R L2 F
B' D2 R L D' F L2
B' D2 R L' D' L2 F
B' D2 R D' L F L
R F2 D F B' L F
R F2 D F' B' L F
R F2 D F2 B' L F
R F2 D B' L D F
R F2 D B' L D' F
R F2 D B' L D2 F
R F2 D B' L F D
R F2 D B' L F D'
R F2 D B' L F D2
R F2 D B' D L F
R F2 D B' D' L F
R F2 D B' D2 L F
R F2 D B' F L F
R F2 D B' F' L F
R F2 D B' F2 L F
R F2 D' L F L' B'
R F2 D' B' L F L'
D2 B L U' R F B2
D2 B L U' R B2 F
D' B L U' R F B2
D' B L U' R B2 F
D2 B L U' B2 R F
D' B L U' B2 R F
R F2 B' L D' F L'
R F2 B' D' L F L'
D B L U' R F B2
D B L U' R B2 F
D B L U' B2 R F
U B L R' U' R2 B2
U B L R' U' B2 R2
U B L R2 U' R' B2
U B L U' R B2 D
U B L U' R B2 D'
U B L U' R B2 D2
U B L U' R' B2 R2
U B L U' B' R B'
U B L U' B2 R D
U B L U' B2 R D'
U B L U' B2 R D2
U B L U' B2 D R
U B L U' B2 D' R
U B L U' B2 D2 R
U B L D' R2 U' R'
R B L B2 D' F L'
U2 B R B2 D L2 F
U' B R2 U' R' F' B2
U' B R2 U' R' B2 F'
U2 B R' U' F' R2 B2
U2 B R' U' F' B2 R2
U2 B R' U' B2 F' R2
U' B U R B2 L F
U B R' L U' R2 B2
U B R' L U' B2 R2
U' B U' R' F' R2 B2
U' B U' R' F' B2 R2
U' B U' R' B2 F' R2
U B R2 L U' R' B2
U' B U' B2 R' F' R2
U2 B U' B2 D' R F'
U' B D' R2 U' R' F'
U B U' B2 R D' F2
U B D' L R2 U' R'
U B D' R2 L U' R'
D2 B' L R D F L2
D2 B' L R F D L2
D' B' L R D F L2
D' B' L R F D L2
R' B' L R2 D' F L'
D2 B' L D R F L2
D' B' L D R F L2
D2 B' L' R D L2 F
D' B' L' R D L2 F
D2 B' L' D L2 R F
D2 B' L' D R L2 F
D' B' L' D L2 R F
D' B' L' D R L2 F
D B' L R D F L2
D B' L R F D L2
D B' L D R F L2
D B' L' R D L2 F
D B' L' D L2 R F
D B' L' D R L2 F
D2 B' R L D F L2
D2 B' R L F D L2
D2 B' R L' D L2 F
D' B' R L D F L2
D' B' R L F D L2
D' B' R L' D L2 F
R B' L D' F L' D
R B' L D' F L' D'
R B' L D' F L' D2
R B' L D' F D L'
R B' L D' F D' L'
R B' L D' F D2 L'
D2 B' R D L F L
D' B' R D L F L
R B' L' D' L2 F L'
D B' R L D F L2
D B' R L F D L2
D B' R L' D L2 F
D B' R D L F L
R' B' R2 L D' F L'
B' F' L D F L2 R
B' F' L D F R L2
R' B' R2 D' L F L'
B' F' L F R D L2
B' F' L F D L2 R
B' F' L F D R L2
U2 B' R' F' R2 D L2
U B' R D L2 D2 F2
U B' R D' F2 D2 L2
F' B' L D F L2 R
F' B' L D F R L2
F' B' L F R D L2
F' B' L F D L2 R
F' B' L F D R L2
B' F' L' D L2 F R
F' B' L' D L2 F R
D2 B' D L R F L
D' B' D L R F L
D2 B' D L2 D2 R F'
D2 B' D R L F L
U B' U B2 L U' R
D' B' D L2 D2 R F'
D' B' D R L F L
U2 B' D L2 R' F' R2
U2 B' D R' L2 F' R2
U2 B' D R' F' L2 R2
U2 B' D R' F' R2 L2
R B' U' F R F' U
D B' D L R F L
D B' D L2 D2 R F'
D B' D R L F L
U B' D L2 R D' F2
U B' D R L2 D' F2
R B' D L D2 F L'
U B' D' R D' F2 L'
R B' D B' L F B
R B' D B' L B F
R B' D' L F L' D
R B' D' L F L' D'
R B' D' L F L' D2
R B' D' L F D L'
R B' D' L F D' L'
R B' D' L F D2 L'
R B' D' L2 F L' F
R B' D' F L F L2
U B' D2 R D' L2 F2
U B' D2 R D' F2 L2
B' F' D L F L R
B' F' D L F R L
F' B' D L F L R
F' B' D L F R L
R B' F L D' F L'
R B' F D' L F L'
R B' F' L D' F L'
R B' F' D' L F L'
R B' F2 L D' F L'
R B' F2 D' L F L'
R B2 L D' F L' B
R B2 L D' F B L'
R B2 L D' B F L'
R B2 L B D' F L'
R B2 D B' L F B2
R B2 D B' L B2 F
R B2 D' L F L' B
R B2 D' L F B L'
R B2 D' L B F L'
R B2 D' B L F L'
