B L R B2 U' R'
B L B2 R U' R2
B R L B2 U' R'
B' R D2 L2 U' R2
R B L B2 U' R'
B L R F B2 U' R'
B L R F' B2 U' R'
B L R F2 B2 U' R'
B L R B2 U' R' D
B L R B2 U' R' D'
B L R B2 U' R' D2
B L R B2 U' D R'
B L R B2 U' D' R'
B L R B2 U' D2 R'
B L R B2 D U' R'
B L R B2 D' U' R'
B L R B2 D2 U' R'
B L R B2 F U' R'
B L R B2 F' U' R'
B L R B2 F2 U' R'
B L R' B2 R2 U' R
L2 R U2 F R U R'
B L B' R B' U' R'
B L B2 R U' R2 D
B L B2 R U' R2 D'
B L B2 R U' R2 D2
B L B2 R D' F2 U'
B L B2 R F U' R2
B L B2 R F' U' R2
B L B2 R F2 U' R2
B L B2 U' R' D B2
B L B2 D R U' R2
B L B2 D' R U' R2
B L B2 D2 R U' R2
B' L' R U' D' F2 R
B' L' R D' U' F2 R
R L2 U2 F R U R'
B' L2 R U2 R2 U R2
B L2 U' L' R B2 U'
B L2 U' L' B2 R U'
B L2 U' R L' B2 U'
B L2 U' R B2 L' U'
B L2 U' B2 L' R U'
B L2 U' B2 R L' U'
R U L2 U F R U
B R L F B2 U' R'
B' R L' U' D' F2 R
B R L F' B2 U' R'
B R L F2 B2 U' R'
B' R L' D' U' F2 R
B R L B2 U' R' D
B R L B2 U' R' D'
B R L B2 U' R' D2
B R L B2 U' D R'
B R L B2 U' D' R'
B R L B2 U' D2 R'
B R L B2 D U' R'
B R L B2 D' U' R'
B R L B2 D2 U' R'
B R L B2 F U' R'
B R L B2 F' U' R'
B R L B2 F2 U' R'
B' R L2 U2 R2 U R2
B' R U L2 U R2 U
B' R U L2 U2 D' F2
B' R U L2 D B2 U2
B' R U L2 D' U2 F2
B' R U' D' F2 D' R2
B' R U' D2 R2 D F2
B' R U2 R2 U D2 R2
B' R U2 R2 U' L2 U2
B' R U2 R2 D' B2 U
B' R U2 R2 D2 U R2
B' R U2 D' B2 U F2
B R D L F2 U' L
B' R D F2 U B2 U2
B' R D F2 U' D2 F2
B' R D F2 D L2 U'
B' R D F2 D2 U' F2
B R D F2 L U' L
B' R D' U' F2 D' R2
B' R D' U2 B2 U F2
B' R D2 L2 U' R2 D
B' R D2 L2 U' R2 D'
B' R D2 L2 U' R2 D2
B' R D2 L2 D' F2 U'
B' R D2 L2 F U' R2
B' R D2 L2 F' U' R2
B' R D2 L2 F2 U' R2
B' R D2 U' R2 D F2
B' R D2 F L2 U' R2
B' R D2 F' L2 U' R2
B' R D2 F2 L2 U' R2
B R F L B2 U' R'
B' R F D2 L2 U' R2
B R F' L B2 U' R'
B' R F' D2 L2 U' R2
B R F2 L B2 U' R'
B' R F2 D2 L2 U' R2
D2 R B L B2 U' R
D R F2 B L B2 U'
D R F2 B' U2 R' U
D R B L F2 B2 U'
D R B L B2 F2 U'
D R B F2 L B2 U'
D2 R B' U' R D' F2
D2 R B' U2 R' U R2
D' R B' U2 R' B' U
U R B' U L2 B2 U2
U R B' U B2 L2 U2
U R B' U' D2 R2 F2
U R B' U' D2 F2 R2
D R B' F2 U2 R' U
U R B' D L2 F2 U'
U R B' D F2 L2 U'
U R B' D2 U' R2 F2
U R B' D2 U' F2 R2
B R' L B2 R2 U' R
D R' B' R2 F2 L' U'
D2 R2 U R' B' U' F'
B' R2 D F2 L' R' U'
B' R2 D F2 R' L' U'
B U L R B2 U' R'
B U L B2 R U' R2
B U R L B2 U' R'
R D F2 B L B2 U'
R D F2 B' U2 R' U
R D B L F2 B2 U'
R D B L B2 F2 U'
R D B F2 L B2 U'
R D B' F2 U2 R' U
B U' L R B2 U' R'
B U' L B2 R U' R2
B U' R L B2 U' R'
R D' B' U2 R' B' U
B U2 L R B2 U' R'
B U2 L B2 R U' R2
B U2 R L B2 U' R'
B' U2 R' D2 L2 U R2
R D2 B L B2 U' R2
R D2 B' U2 R' U R'
B D L R F2 U' L
B' D R F2 U' D' F2
B' D R F2 U2 R2 U
B' D R F2 D' U' F2
B' D R F2 D2 L2 U'
