R2 U B R U B
R2 L U B R U B
B2 L D2 F' R U' L2
R2 L' U B R U B
L' R2 U B R U B
L2 R2 U B R U B
R2 L2 U B R U B
L R2 U B R U B
R2 U L B R U B
R2 U L' B R U B
R2 U L2 B R U B
R2 U R U D B R'
R2 U R D U B R'
R2 U D B R U B
R2 U D' B R U B
R2 U D2 B R U B
F' R U' D' F2 L' B'
R2 U B L R U B
R2 U B L' R U B
R2 U B L2 R U B
R2 U B R L U B
R2 U B R L' U B
R2 U B R L2 U B
R2 U B R U D B
R2 U B R U D' B
R2 U B R U D2 B
R2 U B R U B D
R2 U B R U B D'
R2 U B R U B D2
R2 U B R D U B
R2 U B R D' U B
R2 U B R D2 U B
R2 U B D R U B
R2 U B D' R U B
R2 U B D2 R U B
R2 U B' R B2 U B'
R2 U B2 R B' U B2
F' R D' U' F2 L' B'
R' U' R' U B L U
R U' D' F2 L' B' R'
F' R' U R' F' U2 F
F' R' U' R' U2 R B
U' R2 U B L R U
U' R2 U B R L U
F R2 U' F2 L' U' B'
D' R2 B L R F2 U
D2 R2 B L R U L
D' R2 B R L F2 U
D2 R2 B R L U L
D' R2 B R F2 L U
R2 D U B R U B
R2 D' U B R U B
R D' U' F2 L' B' R'
R2 D2 U B R U B
F' U2 R' U' R' F' U2
B2 D L F' B2 U' B
B2 D L B2 F' U' B
B2 D F' L B2 U' B
F' D B' R' B' L U'
F' D B2 D L U' B'
D' F' U2 F' L' R' U
D' F' U2 F' R' L' U
D F' B' R' B' L U'
D F' B2 D L U' B'
D' F2 R' U2 F R U'
B2 D2 L F' R U' L
R2 B L R U' R' U2
B2 D2 F' L R U' L
B2 D2 F' R L U' L
R2 B R L U' R' U2
R2 B U L R U R'
R2 B U R L U R'
R2 B' U B2 L R U
R2 B' U B2 R L U
B' F' R' B2 U' L F
F' B' R' B2 U' L F
B2 F' D L B2 U' B
D B' F' R' B' L U'
D B2 L D2 F' R U'
R2 B2 U R B' L U
R2 B2 U B' L R U
R2 B2 U B' R L U
D B2 D L F' U' B'
D B2 D F' L U' B'
F' B2 D L B2 U' B
D B2 D2 L F' R U'
D B2 D2 F' L R U'
D B2 D2 F' R L U'
D B2 F' D L U' B'
