L2 R' F2 U' F'
R' L2 F2 U' F'
F2 L2 R' U' F
F2 R' L2 U' F
F2 R' U B' U2
R' F2 L2 U' F
R' F2 U B' U2
R' L F2 L U' F
L2 R' U' D R2 F
L2 R' U' D F R2
L2 R' D U' R2 F
L2 R' D U' F R2
L' R' F2 L' U' F
R' L' F2 L' U' F
L R' F2 L U' F
L2 R' F2 L U' F'
L2 R' F2 L' U' F'
L2 R' F2 L2 U' F'
L2 R' F2 U' D F'
L2 R' F2 U' D' F'
L2 R' F2 U' D2 F'
L2 R' F2 U' F' D
L2 R' F2 U' F' D'
L2 R' F2 U' F' D2
L2 R' F2 D U' F'
L2 R' F2 D' U' F'
L2 R' F2 D2 U' F'
R' L2 U' D R2 F
R' L2 U' D F R2
R' L2 D U' R2 F
R' L2 D U' F R2
F2 L2 R' U' D F
F2 L2 R' U' D' F
F2 L2 R' U' D2 F
F2 L2 R' U' F D
F2 L2 R' U' F D'
F2 L2 R' U' F D2
F2 L2 R' D U' F
F2 L2 R' D' U' F
F2 L2 R' D2 U' F
D L2 R' U' R' F
D L2 R' U' F R'
R' L2 F2 L U' F'
R' L2 F2 L' U' F'
R' L2 F2 L2 U' F'
R' L2 F2 U' D F'
R' L2 F2 U' D' F'
R' L2 F2 U' D2 F'
R' L2 F2 U' F' D
R' L2 F2 U' F' D'
R' L2 F2 U' F' D2
R' L2 F2 D U' F'
R' L2 F2 D' U' F'
R' L2 F2 D2 U' F'
F2 L2 D R' U' F
F2 L2 D' R' U' F
F2 L2 D2 R' U' F
F' L2 F' R' U' F2
R' U D B' U2 R2
R' U D' L2 U2 F
R' U D' B' L2 U2
R' U B' U' F2 U'
R' U B' U2 D R2
R' U B' D U2 R2
R' U B' D' L2 U2
U' R D B2 R2 F'
R U' D B2 R2 F'
F2 R' L2 U' D F
F2 R' L2 U' D' F
F2 R' L2 U' D2 F
F2 R' L2 U' F D
F2 R' L2 U' F D'
F2 R' L2 U' F D'
F2 R' L2 U' F D2
F2 R' L2 D U' F
F2 R' L2 D' U' F
F2 R' L2 D2 U' F
D R' L2 U' R' F
D R' L2 U' F R'
D' R' U L2 U2 F
F2 R' U D B' U2
F2 R' U D' B' U2
F2 R' U D2 B' U2
F2 R' U B' U2 D
F2 R' U B' U2 D'
F2 R' U B' U2 D2
F2 R' U B' D U2
F2 R' U B' D' U2
F2 R' U B' D2 U2
D' R' U B' L2 U2
F2 R' U' L2 F L2
F2 R' D L2 U' F
F2 R' D U B' U2
F2 R' D' L2 U' F
F2 R' D' U B' U2
F2 R' D2 L2 U' F
F2 R' D2 U B' U2
F R' F L2 U' F
F R' F U B' U2
R' D L2 U' R2 F
R' D L2 U' F R2
L2 D R' U' R' F
L2 D R' U' F R'
R' D U B' U2 R2
R D U' B2 R2 F'
R' D' U L2 U2 F
R' D' U B' L2 U2
B' U' F2 B R' U'
B' U' B R' F2 U'
B' U' B F2 R' U'
L2 F R' F U' F'
F2 D L2 R' U' F
F2 D R' L2 U' F
F2 D R' U B' U2
R' F' L2 F' U' F2
F2 D' L2 R' U' F
F2 D' R' L2 U' F
F2 D' R' U B' U2
L' F2 L' R' U' F
R' F2 L2 U' D F
R' F2 L2 U' D' F
R' F2 L2 U' D2 F
R' F2 L2 U' F D
R' F2 L2 U' F D'
R' F2 L2 U' F D2
R' F2 L2 D U' F
L F2 L R' U' F
R' F2 L2 D' U' F
R' F2 L2 D2 U' F
L' F2 R' L' U' F
L F2 R' L U' F
R' F2 U D B' U2
R' F2 U D' B' U2
R F2 L2 R2 U' F
R' F2 U D2 B' U2
R' F2 U B' U2 D
R' F2 U B' U2 D'
R' F2 U B' U2 D2
R' F2 U B' D U2
R' F2 U B' D' U2
R' F2 U B' D2 U2
R' F2 U' L2 F L2
R' F2 D L2 U' F
R F2 R2 L2 U' F
R' F2 D U B' U2
R F2 R2 U B' U2
R' F2 D' L2 U' F
R' F2 D' U B' U2
R' F2 D2 L2 U' F
R' F2 D2 U B' U2
F2 D2 L2 R' U' F
F2 D2 R' L2 U' F
F2 D2 R' U B' U2
F2 L R' U2 R' U F'
F2 L R' D L U' F
F2 L R' D' L U' F
F2 L R' D2 L U' F
L2 R U' D R2 F B2
L2 R U' D R2 B2 F
L2 R U' D F R2 B2
L2 R U' D F B2 R2
L2 R U' D B2 R2 F
L2 R U' D B2 F R2
R' L D L U' R2 F
R' L D L U' F R2
B2 L U D L2 R2 F'
B2 L U D R2 L2 F'
B2 L U D R2 F' L2
L2 R D U' R2 F B2
L2 R D U' R2 B2 F
L2 R D U' F R2 B2
L2 R D U' F B2 R2
L2 R D U' B2 R2 F
L2 R D U' B2 F R2
B' L U' F2 B R' U'
B' L U' B R' F2 U'
B' L U' B F2 R' U'
U2 L U2 R' F2 U' F
U2 L U2 F2 R' U' F'
F2 L D L R' U' F
F2 L D R' L U' F
B2 L D U L2 R2 F'
B2 L D U R2 L2 F'
B2 L D U R2 F' L2
L2 R F R2 F U' F'
F2 L D' L R' U' F
F2 L D' R' L U' F
R' L F' L F' U' F2
F2 L D2 L R' U' F
F2 L D2 R' L U' F
R' L F2 L U' D F
R' L F2 L U' D' F
R' L F2 L U' D2 F
R' L F2 L U' F D
R' L F2 L U' F D'
R' L F2 L U' F D2
R' L F2 L D U' F
R' L F2 L D' U' F
R' L F2 L D2 U' F
L' R F2 L' R2 U' F
R' L F2 L' U B' U2
L R F2 L R2 U' F
R L F2 L R2 U' F
L' R F2 R2 L' U' F
L R F2 R2 L U' F
L2 R F2 R2 U B U2
R' L F2 U2 R' U F'
U2 L D2 B2 L U F
R' L F2 D L U' F
R L F2 R2 L U' F
R' L F2 D' L U' F
L2 R F2 U' D F' B2
L2 R F2 U' D B2 F'
L2 R F2 U' F' D B2
R' L F2 D2 L U' F
L2 R F2 D U' F' B2
L2 R F2 D U' B2 F'
F' L F' L R' U' F
F' L F' R' L U' F
L2 R' U D' L2 B' U2
L2 R' U' R D R2 F
L2 R' U' R D F R2
L2 R' U' R' D R2 F
L2 R' U' R' D F R2
L2 R' U' R2 D R2 F
L2 R' U' R2 D F R2
L2 R' U' D R' F R'
L2 R' U' D R2 D F
L2 R' U' D R2 D' F
L2 R' U' D R2 D2 F
L2 R' U' D R2 F D
L2 R' U' D R2 F D'
L2 R' U' D R2 F D2
L2 R' U' D F R2 D
L2 R' U' D F R2 D'
L2 R' U' D F R2 D2
L2 R' U' D F' R2 F2
L2 R' U' D' F D2 R2
L2 R' U' D2 F D' R2
L2 R' U' F U F U'
L2 R' U2 D2 B2 U F
L R' D L U' R2 F
L R' D L U' F R2
D' L' R' U L' U2 F
R' L' D F L' U' R2
L' R' D F L' U' R2
F2 L' R' U' L' F L
L2 R' D U' R' F R'
L2 R' D U' R2 D F
L2 R' D U' R2 D' F
L2 R' D U' R2 D2 F
L2 R' D U' R2 F D
L2 R' D U' R2 F D'
L2 R' D U' R2 F D2
L2 R' D U' F R2 D
L2 R' D U' F R2 D'
L2 R' D U' F R2 D2
L2 R' D U' F' R2 F2
L2 R' D F' U' R2 F2
L2 R' D F' U' F2 R2
L2 R' D F2 U' F' R2
U L' R' F2 U' L' F
L2 R' D' U L2 B' U2
L2 R' D' U' F D2 R2
F2 L' R2 D2 R U' F'
L2 R' D2 U' F D' R2
L2 R' D2 U2 B2 U F
R' L' F L' U' F R
L' R' F L' U' F R
R' L' F D F L' U'
L' R' F D F L' U'
L2 R' F D F U' F'
B' L' U' F2 B R' U'
L2 R' F D' F U' F'
B' L' U' B R' F2 U'
L2 R' F D2 F U' F'
B' L' U' B F2 R' U'
R' L' F' L' F' U' F2
L' R' F' L' F' U' F2
L2 R' F' L F' U' F'
L R' F' L F' U' F2
L2 R' F' L' F' U' F'
L2 R' F' L2 F' U' F'
R' L' F2 L U B' U2
L2 R' F' D' L2 F' U'
L2 R' F' D' F' L2 U'
L' R' F2 L U B' U2
R' L' F2 L' U' D F
R' L' F2 L' U' D' F
R' L' F2 L' U' D2 F
R' L' F2 L' U' F D
R' L' F2 L' U' F D'
R' L' F2 L' U' F D2
R' L' F2 L' D U' F
R' L' F2 L' D' U' F
R' L' F2 L' D2 U' F
L' R' F2 L' U' D F
L' R' F2 L' U' D' F
L' R' F2 L' U' D2 F
L' R' F2 L' U' F D
L' R' F2 L' U' F D'
L' R' F2 L' U' F D2
L' R' F2 L' D U' F
L' R' F2 L' D' U' F
L' R' F2 L' D2 U' F
L2 R' F2 L U' D F'
L2 R' F2 L U' D' F'
L2 R' F2 L U' D2 F'
L2 R' F2 L U' F' D
L2 R' F2 L U' F' D'
L2 R' F2 L U' F' D2
L2 R' F2 L D U' F'
L R' F2 L U' D F
L R' F2 L U' D' F
L2 R' F2 L D' U' F'
L R' F2 L U' D2 F
L R' F2 L U' F D
L R' F2 L U' F D'
L R' F2 L U' F D2
L2 R' F2 L D2 U' F'
L R' F2 L D U' F
L R' F2 L D' U' F
L R' F2 L D2 U' F
L2 R' F2 L' U' D F'
L2 R' F2 L' U' D' F'
L2 R' F2 L' U' D2 F'
L2 R' F2 L' U' F' D
L2 R' F2 L' U' F' D'
L2 R' F2 L' U' F' D2
L2 R' F2 L' D U' F'
L2 R' F2 L' D' U' F'
L R' F2 L' U B' U2
L2 R' F2 L' D2 U' F'
L2 R' F2 L2 U' D F'
L2 R' F2 L2 U' D' F'
L2 R' F2 L2 U' D2 F'
L2 R' F2 L2 U' F' D
L2 R' F2 L2 U' F' D'
L2 R' F2 L2 U' F' D2
L2 R' F2 L2 D U' F'
L2 R' F2 L2 D' U' F'
L2 R' F2 L2 D2 U' F'
R' L' F2 U' L' F L
R L' F2 L' R2 U' F
L' R' F2 U' L' F L
L2 R' F2 U B U2 F'
L2 R' F2 U B' U2 F'
L2 R' F2 U B2 U2 F'
L2 R' F2 U' L' F' L
L2 R' F2 U' L2 F' L2
R L' F2 R2 L' U' F
L2 R' F2 U' D F' D
L2 R' F2 U' D F' D'
L2 R' F2 U' D F' D2
L2 R' F2 U' D' F' D
L2 R' F2 U' D' F' D'
L2 R' F2 U' D' F' D2
L2 R' F2 U' D2 F' D
L2 R' F2 U' D2 F' D'
L2 R' F2 U' D2 F' D2
L2 R' F2 U' F2 D F
L2 R' F2 U' F2 D' F
L2 R' F2 U' F2 D2 F
R2 L' F2 U2 L' U F
L R' F2 U2 R' U F'
L2 R' F2 D L U' F'
L2 R' F2 D L' U' F'
L2 R' F2 D L2 U' F'
L2 R' F2 D U' F' D
L2 R' F2 D U' F' D'
L2 R' F2 D U' F' D2
L R' F2 D L U' F
L2 R' F2 D' L U' F'
L2 R' F2 D' L' U' F'
L2 R' F2 D' L2 U' F'
L2 R' F2 D' U' F' D
L2 R' F2 D' U' F' D'
L2 R' F2 D' U' F' D2
L R' F2 D' L U' F
L2 R' F2 D2 L U' F'
L2 R' F2 D2 L' U' F'
L2 R' F2 D2 L2 U' F'
L2 R' F2 D2 U' F' D
L2 R' F2 D2 U' F' D'
L2 R' F2 D2 U' F' D2
L R' F2 D2 L U' F
F2 L' D2 R' U B U2
F' L' F' L' R' U' F
F' L' F' R' L' U' F
R' L2 U D' L2 B' U2
R' L2 U' R D R2 F
R' L2 U' R D F R2
R' L2 U' R' D R2 F
R' L2 U' R' D F R2
R' L2 U' R2 D R2 F
R' L2 U' R2 D F R2
R' L2 U' D R' F R'
R' L2 U' D R2 D F
R' L2 U' D R2 D' F
R' L2 U' D R2 D2 F
R' L2 U' D R2 F D
R' L2 U' D R2 F D'
R' L2 U' D R2 F D2
R' L2 U' D F R2 D
R' L2 U' D F R2 D'
R' L2 U' D F R2 D2
R' L2 U' D F' R2 F2
R' L2 U' D' F D2 R2
R' L2 U' D2 F D' R2
R' L2 U' F U F U'
R L2 U' D R2 F B2
R L2 U' D R2 B2 F
R L2 U' D F R2 B2
R L2 U' D F B2 R2
R L2 U' D B2 R2 F
R L2 U' D B2 F R2
R' L2 U2 D2 B2 U F
R' L2 D U' R' F R'
R' L2 D U' R2 D F
R' L2 D U' R2 D' F
R' L2 D U' R2 D2 F
R' L2 D U' R2 F D
R' L2 D U' R2 F D'
R' L2 D U' R2 F D2
R' L2 D U' F R2 D
R' L2 D U' F R2 D'
R' L2 D U' F R2 D2
R' L2 D U' F' R2 F2
L2 R2 D R U' R F
R2 L2 D R U' R F
R' L2 D F' U' R2 F2
R' L2 D F' U' F2 R2
R' L2 D F2 U' F' R2
R L2 D U' R2 F B2
R L2 D U' R2 B2 F
R L2 D U' F R2 B2
R L2 D U' F B2 R2
R L2 D U' B2 R2 F
R L2 D U' B2 F R2
R' L2 D' U L2 B' U2
R' L2 D' U' F D2 R2
F2 L2 R U' D F B2
F2 L2 R U' D B2 F
F2 L2 R U' F D B2
R' L2 D2 U' F D' R2
F2 L2 R D U' F B2
F2 L2 R D U' B2 F
R' L2 D2 U2 B2 U F
D2 L2 R' U' D' R2 F
D2 L2 R' U' D' F R2
D2 L2 R' U' F D' R2
D2 L2 R' U2 B2 U F
F2 L2 R' U B U2 F
F2 L2 R' U B' U2 F
F2 L2 R' U B2 U2 F
F2 L2 R' U' R F R'
