U' L U' R' B U2
D2 L' D' F B2 L
D2 L' D' B2 F L
D2 L' F D' B2 L
U' L R U D2 L2 F'
U' L R U D2 F' L2
U' L R U F' D2 L2
U' L R U' R2 B U2
B2 L R D F' R' B2
U' L R D' F2 U F
U' L R D2 U L2 F'
U' L R D2 U F' L2
B2 L R F' D R' B2
L R U D2 L2 F' R'
L R U D2 F' L2 R'
L R U D2 F' R' L2
L R U F' D2 L2 R'
L R U F' D2 R' L2
R L U D2 L2 F' R'
R L U D2 F' L2 R'
R L U D2 F' R' L2
R L U F' D2 L2 R'
R L U F' D2 R' L2
L R U' R2 B U2 R
R L U' R2 B U2 R
B2 L U R' U B U2
U L U R' B U2 B'
U2 L U' L' R' B U2
U' L U' R' D B U2
U' L U' R' D' B U2
U' L U' R' D2 B U2
U2 L U' R' L' B U2
U' L U' R' B U2 D
U' L U' R' B U2 D'
U' L U' R' B U2 D2
U' L U' R' B D U2
U' L U' R' B D' U2
U' L U' R' B D2 U2
U2 L U' R' B L' U2
U L U' R' B U2 R
L R D' F2 U R' F
L R D' F2 U F R'
R L D' F2 U R' F
R L D' F2 U F R'
L R D2 U L2 F' R'
L R D2 U F' L2 R'
L R D2 U F' R' L2
R L D2 U L2 F' R'
R L D2 U F' L2 R'
R L D2 U F' R' L2
L' R F' R' D' B2 L
U' L F U' R' B U2
U' L F' U' R' B U2
U' L F2 U' R' B U2
R' L' D F2 L' B U2
L' R' D F2 L' B U2
R' L' D F2 B L' U2
L' R' D F2 B L' U2
R' L' D B F2 L' U2
L' R' D B F2 L' U2
R' L' D' B U2 B R
L' R' D' B U2 B R
R L' F' R' D' B2 L
D' L' D' L' F B2 L
D2 L' D' L' B2 L F
D' L' D' L' B2 F L
D' L' D' L2 B2 L F
R' L' B U L2 U R
L' R' B U L2 U R
R' L' B U2 R D' B2
R' L' B U2 D' R B2
R' L' B U2 D' B2 R
L' R' B U2 R D' B2
L' R' B U2 D' R B2
L' R' B U2 D' B2 R
R' L' B D F2 L' U2
D2 L' D' F L B2 L
R' L' B D' U2 R B2
R' L' B D' U2 B2 R
D2 L' D' F L' B2 L
L' R' B D F2 L' U2
