L2 U2 L U F R
R' L U2 B' L2 U F'
L' R F U B U2 B'
U2 L D' B' U F B'
U2 L D' B' U B' F
U' L B' L2 R' U L
U2 L B' L2 U' B' U2
U' L B' R' L2 U L
U2 L B' U D' F B2
U2 L B' U D' B2 F
U2 L B' U F D' B2
U2 L B' D' U F B2
U2 L B' D' U B2 F
L R' U2 B' L2 U F'
F2 L' R F U B U2
F2 L' R' F R2 U' F2
F L' R' F R U' F2
F L' R2 F R U' F'
R' L' F U' F2 D2 B2
L' R' F U' F2 D2 B2
R L' F U B U2 B'
U2 L' U' B' U' F U'
U2 L' U2 F L2 U' F
U2 L' U2 F U B' U2
F L' F R U B U2
U2 L' B' U2 F U' F'
F2 L2 R U B L U2
F2 R L' F U B U2
F2 R L2 U B L U2
F2 R U D' B U2 R'
F2 R U' R2 D F' R
F2 R U' D R2 F' R
F2 R D U' R2 F' R
F2 R D' U B U2 R'
F2 R' L' F R2 U' F2
F R' L' F R U' F2
F2 R' U' D F' R B2
F2 R' U' D F' B2 R
F2 R' U' D B2 F' R
D2 R' U2 L' B U F'
F R' U' D F' R B
D R' U2 L' U F' R
D2 R' U2 B L' U F'
L U' B' L2 R' U L2
L U' B' R' L2 U L2
F2 R' D U' F' R B2
F2 R' D U' F' B2 R
F2 R' D U' B2 F' R
F R' D U' F' R B
L2 U2 L R B U F
L2 U2 L U R F R
L2 U2 L U R' F R
L2 U2 L U R2 F R
L2 U2 L U D F R
L2 U2 L U D' F R
L2 U2 L U D2 F R
L2 U2 L U F R D
L2 U2 L U F R D'
L2 U2 L U F R D2
L2 U2 L U F D R
L2 U2 L U F D' R
L2 U2 L U F D2 R
R' U2 L B' L2 U F'
L2 U2 L D U F R
L2 U2 L D' U F R
L2 U2 L D2 U F R
R' U2 L' U F' D R2
R' U2 L' U2 F U' F2
L2 U2 L B U F R
L2 U2 L B' U F R
L2 U2 L B2 U F R
D R' F U' F2 R B
L2 U2 R L B U F
R' U2 D L' U F' R
L2 U2 D L U F R
L2 U2 D' L U F R
L2 U2 D2 L U F R
F R2 L' F R U' F'
R' D U2 L' U F' R
L2 D U2 L U F R
R' D F U' F2 R B
U2 D' L' U' B' L U2
L2 D' U2 L U F R
D' U2 L' U' B' L U2
L2 D2 U2 L U F R
R' D2 F2 R F' U' F2
L' F L' U2 L U F
R' F L' F R U' F
R2 F L' F R U' F'
L' F R U B U2 B'
F U2 B L B' U F
L2 F U2 L U F R
F2 D R U' R2 F' R
F' D R' U' F' B R
F' D R' U' B F' R
F D R' U' F' R B
L2 F' U2 L U F R
F2 D' R U B U2 R'
R2 F2 L' R F U' F2
D' F2 R U B U2 R'
D2 F2 R F' U B U2
R2 F2 R L' F U' F2
R2 F2 R U' D F' R
R2 F2 R D U' F' R
L2 F2 U2 L U F R
R' F2 D2 R F' U' F2
F2 D2 R F' U B U2
L B' L2 R' U F' L'
L B' R' L2 U F' L'
