U' L F2 L R F'
U' L F2 R L F'
U' L F2 R F' L
U' L2 R D2 F' R2
U' L2 R F' D2 R2
U' L2 R' D2 R2 F'
U' R L2 D2 F' R2
U' R L2 F' D2 R2
U2 R U' F' L2 B'
U' R U2 F' L2 B'
U R U2 L2 F' R'
U R U2 F' L2 R'
U R U2 F' R' L2
L U' L F2 R F'
U' R F' L2 D2 R2
U R F' L2 R' B'
U R F' R' L2 B'
U' R' L2 D2 R2 F'
U' R' B U2 B' L2
U R' B U2 L2 R
U R' B U2 R L2
L2 R U R' U' R F'
U L R U2 L F' R'
U L R U2 F' L R'
U L R U2 F' R' L
U' L R F2 R F L
U L R2 U2 L R2 F
U L R2 U2 L F R2
U L R2 U2 R2 L F
D2 L U R2 B' U2 R2
D2 L U B' R2 U2 R2
F' L U' L F2 R F'
F2 L U' L F2 R F'
B L U' L F R F'
F L U' L F2 R F'
D2 L U' R2 B' U2 B
B L U' F L R F'
B L U' F R L F'
B L U' F R F' L
D2 L U' B' R2 F' U2
U L U2 L F2 R F'
L2 R F' U R' U' R
U' L F L F R F'
U' L F' L R F' R
U' L F' L F' R F'
U' L F' R L F' R
U' L F' R F' L R
U' L F' R F' R L
U' L F2 L R D F'
U' L F2 L R D' F'
U' L F2 L R D2 F'
U' L F2 L R F' D
U' L F2 L R F' D'
U' L F2 L R F' D2
U' L F2 L' R F' L2
U' L F2 R L D F'
U' L F2 R L D' F'
U' L F2 R L D2 F'
U' L F2 R L F' D
U' L F2 R L F' D'
U' L F2 R L F' D2
U' L F2 R L' F' L2
U' L F2 R D L F'
U' L F2 R D F' L
U' L F2 R D' L F'
U' L F2 R D' F' L
U' L F2 R D2 L F'
U' L F2 R D2 F' L
U' L F2 R F L F2
U' L F2 R F' L D
U' L F2 R F' L D'
U' L F2 R F' L D2
U' L F2 R F' D L
U' L F2 R F' D' L
U' L F2 R F' D2 L
U L B2 R' B U2 R
U L' R U2 L' F' R'
U L' R' B U2 L' R
U L' R' B U2 R L'
D2 L' U R2 U2 R2 F
D2 L' U R2 U2 F R2
U' L' D2 L' D2 R2 F
U' L' D2 L' D2 F R2
U' L' D2 L' F D2 R2
R L2 U R' U' R F'
U' L2 R U2 L2 U2 F'
U' L2 R D' F' D' R2
U' L2 R D2 F R2 F2
U' L2 R D2 F' R2 D
U' L2 R D2 F' R2 D'
U' L2 R D2 F' R2 D2
U' L2 R D2 F2 R2 F
U' L2 R F' R D2 R2
U' L2 R F' R' D2 R2
U' L2 R F' R2 D2 R2
U' L2 R F' U2 L2 U2
U' L2 R F' D2 R2 D
U' L2 R F' D2 R2 D'
U' L2 R F' D2 R2 D2
U' L2 R F2 D2 R2 F
U' L2 R F2 D2 F R2
U' L2 R' U2 L2 B U2
U' L2 R' U2 B L2 U2
U' L2 R' D2 R2 D F'
U' L2 R' D2 R2 D' F'
U' L2 R' D2 R2 D2 F'
U' L2 R' D2 R2 F' D
U' L2 R' D2 R2 F' D'
U' L2 R' D2 R2 F' D2
U' L2 R' D2 F R2 F'
U' L2 R' D2 F' R2 F'
U' L2 R' D2 F2 R2 F'
U' L2 R' F D2 R2 F'
U' L2 R' F' D2 R2 F'
U' L2 R' F2 D2 R2 F'
U' L2 R2 D2 R' F' R'
R L2 F' U R' U' R
B L2 D' F L' U' L
U' L2 D2 L' R2 F L
U' L2 D2 L' F L R2
U' L2 D2 L' F R2 L
U' L2 D2 R D2 R F'
U' L2 D2 R2 L' F L
U' L2 F R D2 F' R2
U' L2 F R F' D2 R2
U' L2 F R' D2 R2 F'
U' L2 F' R D2 F' R2
U' L2 F' R F' D2 R2
U' L2 F' R' D2 R2 F'
L' U R U2 L' F' R'
R U L2 F' U R' U'
U' L2 F2 R D2 F' R2
U' L2 F2 R F' D2 R2
L U R U2 L F' R'
U' L2 F2 R' D2 R2 F'
L U R U2 F' L R'
L U R U2 F' R' L
L' U R' B U2 L' R
L' U R' B U2 R L'
R U R' U' L2 R F'
R U R' U' R L2 F'
R U R' U' R F' L2
L U R2 U2 L R2 F
L U R2 U2 L F R2
L U R2 U2 R2 L F
U' R L F2 R F L
U R L U2 L F' R'
U R L U2 F' L R'
U R L U2 F' R' L
U R L' U2 L' F' R'
U' R L2 U2 L2 U2 F'
U' R L2 D' F' D' R2
U' R L2 D2 F R2 F2
U' R L2 D2 F' R2 D
U' R L2 D2 F' R2 D'
U' R L2 D2 F' R2 D2
U' R L2 D2 F2 R2 F
U' R L2 F' R D2 R2
U' R L2 F' R' D2 R2
U' R L2 F' R2 D2 R2
U' R L2 F' U2 L2 U2
U' R L2 F' D2 R2 D
U' R L2 F' D2 R2 D'
U' R L2 F' D2 R2 D2
U' R L2 F2 D2 R2 F
U' R L2 F2 D2 F R2
R U F' L2 U R' U'
U2 R U L2 D2 F' R2
U2 R U L2 F' D2 R2
R U F' U R' U' L2
U2 R U F' L2 D2 R2
U2 R U' F' L2 D B'
U2 R U' F' L2 D' B'
U2 R U' F' L2 D2 B'
U2 R U' F' L2 B' D
U2 R U' F' L2 B' D'
U2 R U' F' L2 B' D2
U2 R U' F' B L2 B'
U2 R U' F' B' L2 B'
U2 R U' F' B2 L2 B'
U2 R U' B F' L2 B'
U2 R U' B' F' L2 B'
U2 R U' B2 F' L2 B'
U' R U2 F' L2 D B'
U' R U2 F' L2 D' B'
U' R U2 F' L2 D2 B'
U' R U2 F' L2 B' D
U' R U2 F' L2 B' D'
U' R U2 F' L2 B' D2
U' R U2 F' B L2 B'
U' R U2 F' B' L2 B'
U' R U2 F' B2 L2 B'
U R U2 L F' L R'
U R U2 L F' R' L
U' R U2 B F' L2 B'
U R U2 L2 D F' R'
U R U2 L2 D' F' R'
U R U2 L2 D2 F' R'
U R U2 L2 F R' F2
U' R U2 B' F' L2 B'
U R U2 L2 F' R' D
U R U2 L2 F' R' D'
U R U2 L2 F' R' D2
U R U2 L2 F' D R'
U R U2 L2 F' D' R'
U R U2 L2 F' D2 R'
U R U2 L2 F2 R' F
U' R U2 B2 F' L2 B'
U R U2 F L2 R' F2
U R U2 F L2 F2 R'
U R U2 F R' L2 F2
U R U2 F R' F2 L2
U R U2 F' L2 R' D
U R U2 F' L2 R' D'
U R U2 F' L2 R' D2
U R U2 F' L2 D R'
U R U2 F' L2 D' R'
U R U2 F' L2 D2 R'
U R U2 F' R' L2 D
U R U2 F' R' L2 D'
U R U2 F' R' L2 D2
U R U2 F2 R' F L2
L U B2 R' B U2 R
L U' L R F2 R F
L' U' L F2 L2 R F'
L' U' L F2 R L2 F'
L' U' L F2 R F' L2
U' R D2 R2 B U2 B'
L U' L F' R F' R
L U' L F2 R D F'
L U' L F2 R D' F'
L U' L F2 R D2 F'
L U' L F2 R F' D
L U' L F2 R F' D'
L U' L F2 R F' D2
U' R F L F2 L R
U' R F L F2 R L
U R D2 R2 B U2 R
U' R F L2 F2 D2 R2
U' R F' L2 R D2 R2
U' R F' L2 R' D2 R2
U' R F' L2 R2 D2 R2
U' R F' L2 U2 L2 U2
U' R F' L2 D2 R2 D
U' R F' L2 D2 R2 D'
U' R F' L2 D2 R2 D2
U' R F' R L2 D2 R2
U' R F' R' L2 D2 R2
U' R F' R2 L2 D2 R2
L U' L2 D2 L' R2 F
L U' L2 D2 L' F R2
L U' L2 D2 R2 L' F
U R F' L2 R B' R2
U R F' L2 R' D B'
U R F' L2 R' D' B'
U R F' L2 R' D2 B'
U R F' L2 R' B' D
U R F' L2 R' B' D'
U R F' L2 R' B' D2
U R F' L2 R2 B' R
