F' L' B' U F'
F' L' D B' U F'
F' L' D' B' U F'
F' L' D2 B' U F'
F' L' B' U D F'
F' L' B' U D' F'
F' L' B' U D2 F'
F' L' B' U F' D
F' L' B' U F' D'
F' L' B' U F' D2
F' L' B' D U F'
F' L' B' D' U F'
F' L' B' D2 U F'
F2 U' F L' U R
F' D L' B' U F'
D F' L' R2 B' U
D F' L' B' R2 U
D F' R2 L' B' U
F' D' L' B' U F'
L' F' B' L' U F'
F' D2 L' B' U F'
F' B L' B' U F'
F' B' L' B' U F'
B' F' L' B' U F'
B2 F' L' B' U F'
B F' L' B' U F'
L' B' F' L' U F'
F' B2 L' B' U F'
L R F R B U' F
R L F R B U' F
R2 L F B R U' F
R2 L B F R U' F
F' L B L2 B' U F'
F' L B' L2 B' U F'
F' L B2 L2 B' U F'
F' L' R B' R' U F'
F' L' R' B' R U F'
F' L' R2 B' U D2 F2
F' L' R2 B' U' B2 U2
F' L' R2 B' D' R2 U
F' L' R2 B' D2 U F2
F' L' U F' U' B' U
F' L' U2 L2 F U' F2
F' L' D B' U D F'
F' L' D B' U D' F'
F' L' D B' U D2 F'
F' L' D B' U F' D
F' L' D B' U F' D'
F' L' D B' U F' D2
F' L' D B' D U F'
F' L' D B' D' U F'
F' L' D B' D2 U F'
F' L' D' B' U D F'
F' L' D' B' U D' F'
F' L' D' B' U D2 F'
F' L' D' B' U F' D
F' L' D' B' U F' D'
F' L' D' B' U F' D2
F' L' D' B' D U F'
F' L' D' B' D' U F'
F' L' D' B' D2 U F'
F' L' D2 B' U D F'
F' L' D2 B' U D' F'
F' L' D2 B' U D2 F'
F' L' D2 B' U F' D
F' L' D2 B' U F' D'
F' L' D2 B' U F' D2
F' L' D2 B' D U F'
F' L' D2 B' D' U F'
F' L' D2 B' D2 U F'
D L' F' R2 B' L' U
B' L' F' B' L' U F'
B2 L' F' B' L' U F'
D L' F' B' L' R2 U
D L' F' B' R2 L' U
B L' F' B' L' U F'
F' L' B U D' F' R2
F' L' B U F' D' R2
F' L' B D' U F' R2
F' L' B' R2 U' B U2
F' L' B' U L' F' L
F' L' B' U L2 F' L2
F' L' B' U D F' D
F' L' B' U D F' D'
F' L' B' U D F' D2
F' L' B' U D' F' D
F' L' B' U D' F' D'
F' L' B' U D' F' D2
F' L' B' U D2 F' D
F' L' B' U D2 F' D'
F' L' B' U D2 F' D2
F' L' B' U F2 D F
F' L' B' U F2 D' F
F' L' B' U F2 D2 F
F' L' B' U' B U2 F'
F' L' B' U' B' U2 F'
F' L' B' U' B2 U2 F'
F' L' B' U2 L U' F'
F' L' B' U2 L' U' F'
F' L' B' U2 L2 U' F'
F' L' B' D U F' D
F' L' B' D U F' D'
F' L' B' D U F' D2
F' L' B' D' U F' D
F' L' B' D' U F' D'
F' L' B' D' U F' D2
F' L' B' D2 U F' D
F' L' B' D2 U F' D'
F' L' B' D2 U F' D2
B' L' B' F' L' U F'
B2 L' B' F' L' U F'
D L' B' F' L' R2 U
B L' B' F' L' U F'
D L' B' F' R2 L' U
F' L' B2 D B U F'
F' L' B2 D' B U F'
F' L' B2 D2 B U F'
L R2 F B R U' F
L R2 B F R U' F
F' L2 D L U F' R
F' R L' B' R' U F'
R U F' L' F' B' R'
R U F' L' B' F' R'
F2 R U' F L' U R
F R U' D' F L2 R
F R U' D' F R L2
F R D' U' F L2 R
F R D' U' F R L2
F2 R F L' B' U F'
F R D2 B2 U' F R
F' R' L' B' R U F'
R U' F R F B L
R U' F R B F L
F2 R' U' F L' U R
