B L' D' R2 B2
B L' D' B2 R2
U' L U L2 B' R'
B L' R D' R2 B2
B L' R D' B2 R2
B L' R' D' R2 B2
B L' R' D' B2 R2
B L' R2 D' R2 B2
B L' R2 D' B2 R2
B' L' U R' U' R
B L' U' L2 B2 U
B L' U' B2 L2 U
B L' D' R B2 R
B L' D' R2 B2 D
B L' D' R2 B2 D'
B L' D' R2 B2 D2
B L' D' B' R2 B'
B L' D' B2 R2 D
B L' D' B2 R2 D'
B L' D' B2 R2 D2
B R L' D' R2 B2
B R L' D' B2 R2
B R' L' D' R2 B2
B R' L' D' B2 R2
B R2 L' D' R2 B2
B R2 L' D' B2 R2
B' U R' U' L' R
B' U R' U' R L'
B U' L B2 U L2
B D' L' R2 D' B2
B D' R2 L' D' B2
R' B L' D' R2 B2
R' B L' D' B2 R2
D2 B L' D' R2 B2
R2 B L' D' R2 B2
D2 B L' D' B2 R2
R2 B L' D' B2 R2
D' B L' D' R2 B2
D' B L' D' B2 R2
D B L' D' R2 B2
D B L' D' B2 R2
L' B U' L B' U
R B L' D' R2 B2
R B L' D' B2 R2
U' B' L U L2 B'
U' B' L2 U L B'
L' B2 D' R' B R'
L' B2 D' B R' B
U' L U L2 R B' R'
U' L U L2 R' B' R'
U' L U L2 R2 B' R'
U' L U L2 D B' R'
U' L U L2 D' B' R'
U' L U L2 D2 B' R'
U' L U L2 B' R' D
U' L U L2 B' R' D'
U' L U L2 B' R' D2
U' L U L2 B' D R'
U' L U L2 B' D' R'
U' L U L2 B' D2 R'
U' L U R L2 B' R'
B' L U R' U' L2 R
B' L U R' U' R L2
U' L U R' L2 B' R'
U' L U R2 L2 B' R'
U' L U B' L2 R' B'
U' L U B' R' L2 B'
U' L U' F U2 L2 R
U' L U' F U2 R L2
L' R B U' L B' U
B L F B2 U L2 F'
B L F B2 U F' L2
B L F' B2 U F L2
L' R B2 D' R' B R'
L' R B2 D' B R' B
B L F2 B2 U L2 F2
B L F2 B2 U F2 L2
U' L B U L2 B' R'
U' L B' U L2 B' R'
U' L B2 U L2 B' R'
B L B2 U L2 D F2
B L B2 D F2 U F2
B' L' R U R2 U' R2
B L B2 F U L2 F'
B L B2 F U F' L2
B L B2 F' U F L2
B L B2 F2 U L2 F2
B L B2 F2 U F2 L2
B L' R U' L2 B2 U
B' L' R D B2 D' R2
B L' R U' B2 L2 U
B L' R D' R B2 R
B L' R D' R2 B2 D
B L' R D' R2 B2 D'
B L' R D' R2 B2 D2
B L' R D' B' R2 B'
B L' R D' B2 R2 D
B L' R D' B2 R2 D'
B L' R D' B2 R2 D2
B L' R' U' L2 B2 U
B L' R' U' B2 L2 U
B L' R' D' R B2 R
B L' R' D' R2 B2 D
B L' R' D' R2 B2 D'
B L' R' D' R2 B2 D2
B L' R' D' B' R2 B'
B L' R' D' B2 R2 D
B L' R' D' B2 R2 D'
B L' R' D' B2 R2 D2
B' L' R2 U R U' R'
B L' R2 U' L2 B2 U
B L' R2 U' B2 L2 U
B L' R2 D' R B2 R
B L' R2 D' R2 B2 D
B L' R2 D' R2 B2 D'
B L' R2 D' R2 B2 D2
B L' R2 D' B' R2 B'
B L' R2 D' B2 R2 D
B L' R2 D' B2 R2 D'
B L' R2 D' B2 R2 D2
B' L' U R' U' R D
B' L' U R' U' R D'
B' L' U R' U' R D2
B' L' U R' U' D R
B' L' U R' U' D' R
B' L' U R' U' D2 R
B' L' U R' D U' R
B' L' U R' D' U' R
B' L' U R' D2 U' R
B' L' U D R' U' R
B' L' U D' R' U' R
B' L' U D2 R' U' R
B' L' U F R' U' R
B' L' U F' R' U' R
B' L' U F2 R' U' R
B L' U D2 R2 F2 U'
B L' U D2 F2 R2 U'
B L' U' L' B2 L' U
B L' U' L2 U D' R2
B L' U' L2 D' U R2
B L' U' L2 B2 U D
B L' U' L2 B2 U D'
B L' U' L2 B2 U D2
B L' U' L2 B2 D U
B L' U' L2 B2 D' U
B L' U' L2 B2 D2 U
B2 L' U' B U2 R' U'
B2 L' U' B' L B2 U
B L' U' B L2 B U
B L' U' B2 L2 U D
B L' U' B2 L2 U D'
B L' U' B2 L2 U D2
B L' U' B2 L2 D U
B L' U' B2 L2 D' U
B L' U' B2 L2 D2 U
B L' U' B2 U D' B2
B L' U' B2 D' U B2
B L' U2 D L2 F2 U2
B L' U2 D F2 L2 U2
B' L' D U R' U' R
B L' D R D2 R2 B2
B L' D R D2 B2 R2
B L' D R' D2 R2 B2
B L' D R' D2 B2 R2
B L' D R2 D2 R2 B2
B L' D R2 D2 B2 R2
B L' D U2 L2 F2 U2
B L' D U2 F2 L2 U2
B L' D B D2 R2 B2
B L' D B D2 B2 R2
B L' D B' D2 R2 B2
B L' D B' D2 B2 R2
B L' D B2 D2 R2 B2
B L' D B2 D2 B2 R2
R' L' B U' L B' U
B L' D' L R2 B2 L'
L' R' B U' L B' U
B L' D' L B2 L' R2
B L' D' L B2 R2 L'
B L' D' L2 R2 B2 L2
B' L' D' U R' U' R
B L' D' L2 B2 L2 R2
B L' D' L2 B2 R2 L2
B L' D' R B' R B'
B L' D' R B2 R D
B L' D' R B2 R D'
B L' D' R B2 R D2
B L' D' R B2 D R
B L' D' R B2 D' R
B L' D' R B2 D2 R
R2 L' B U' L B' U
B L' D' R2 L B2 L'
B L' D' R2 L2 B2 L2
B L' D' R2 B D B
B L' D' R2 B D' B
B L' D' R2 B D2 B
B L' D' R2 B' D B'
B L' D' R2 B' D' B'
B L' D' R2 B' D2 B'
R L' B U' L B' U
B L' D' F' R2 F B2
B L' D' F' R2 B2 F
B L' D' F' B2 R2 F
B L' D' F2 R2 F2 B2
B L' D' F2 R2 B2 F2
B L' D' F2 B2 R2 F2
B L' D' B' R B' R
B L' D' B' R2 D B'
B L' D' B' R2 D' B'
B L' D' B' R2 D2 B'
B L' D' B' R2 B' D
B L' D' B' R2 B' D'
B L' D' B' R2 B' D2
B L' D' B2 R D R
B L' D' B2 R D' R
B L' D' B2 R D2 R
B L' D' B2 R' D R'
B L' D' B2 R' D' R'
B L' D' B2 R' D2 R'
B L' D' B2 F' R2 F
B L' D' B2 F2 R2 F2
B' L' D2 U R' U' R
B L' D2 U R2 F2 U'
B L' D2 U F2 R2 U'
B L' D2 B D R2 B2
B L' D2 B D B2 R2
B L' D2 B' D R2 B2
B L' D2 B' D B2 R2
B L' D2 B2 D R2 B2
B L' D2 B2 D B2 R2
R' L' B2 D' R' B R'
L' R' B2 D' R' B R'
R' L' B2 D' B R' B
L' R' B2 D' B R' B
R2 L' B2 D' R' B R'
R2 L' B2 D' B R' B
B L' F D' F' R2 B2
R L' B2 D' R' B R'
B L' F D' F' B2 R2
B L' F D' B2 F' R2
R L' B2 D' B R' B
B L' F' D' R2 F B2
B L' F' D' R2 B2 F
B L' F' D' F R2 B2
B L' F' D' F B2 R2
B L' F' D' B2 R2 F
B L' F' D' B2 F R2
D' L' B U' L B' U
D2 L' B U' L B' U
B2 L' B U R' U' R
D L' B U' L B' U
B L' B U' L2 B U
B L' B U' B L2 U
B2 L' B' U' L B2 U
B L' B' U' B' L2 U
B' L' B2 U' L B2 U
D2 L' B2 D' R' B R'
D' L' B2 D' R' B R'
D2 L' B2 D' B R' B
D' L' B2 D' B R' B
D L' B2 D' R' B R'
D L' B2 D' B R' B
B L' B2 D' B2 D' R2
B' L2 U R' U' L R
B' L2 U R' U' R L
B L2 U' L' B2 U L2
L' R2 B U' L B' U
U' L2 U2 F U' L B'
B2 L2 D L B' D' R2
B L2 D L D' B2 R'
L' R2 B2 D' R' B R'
L' R2 B2 D' B R' B
B L2 D' L R2 D' B2
B L2 D' R2 L D' B2
F2 L2 F U' F L' B'
F L2 F U' F2 L' B'
L' U R U' D' B R'
L' U R D' U' B R'
L2 U R F U' L B
L' U D' R U' B R'
L' U D2 R F' U' B
