B' U' L U' B L
D' L R F2 R F L'
D L U2 B' L' R' U2
D L U2 B' R' L' U2
F L D F2 L' R F
F L D F2 R L' F
F L D' F2 L' R F'
F L D' F2 R L' F'
F2 L F D L' F R
D' L F' L' R F' R
D' L F' L' F' R F'
D' L F' R L' F' R
F' L F2 L2 D' R F'
D' L F2 R F L' F2
D L F2 L2 R F L'
F L F2 L' D' R F'
D L F2 R L2 F L'
F L F2 R D L' F
F2 L F2 D' R F' L'
F L F2 D L' R F
F L F2 D R L' F
F L F2 D' L' R F'
F L F2 D' R L' F'
D L B' L' U2 B L
D' L' R F' L' D2 R2
F' L' U' B2 U R' F'
F' L' U2 D L B' U2
F' L' D U2 L B' U2
D L' F U2 L R U2
D L' F U2 R L U2
D L' F' L' F2 D2 R2
D L' F' L2 F2 L R
D L' F' L2 F2 R L
U L' B' L U2 B U
D' L2 R D2 F' L' R2
D' L2 R D2 F' R2 L'
D' L2 R F' D2 L' R2
D' L2 R F' D2 R2 L'
D' L2 R' D2 R2 F' L'
D' L2 D2 R2 F' L' F
D' L2 D2 F' L' R2 F
D' L2 D2 F' L' F R2
D' L2 D2 F' R2 L' F
D' L2 F' L' F2 R F'
D' L2 F' D2 L' R2 F
D' L2 F' D2 L' F R2
D' L2 F' D2 R2 L' F
D' R L F2 R F L'
D' R L' F' L' D2 R2
D' R L2 D2 F' L' R2
D' R L2 D2 F' R2 L'
D' R L2 F' D2 L' R2
D' R L2 F' D2 R2 L'
B R D B2 U2 B L
D' R F L F2 L' R
D' R F L F2 R L'
D' R F' L' U2 L U2
D' R F' L' B2 R' B2
D' R F' L2 D2 L R2
D' R F' L2 D2 R2 L
D' R F' B2 L' B2 R'
F R B U R' U B'
D' R B' U2 F' B L
D' R B' U2 B L F'
D' R B' U2 B F' L
F R B' U' L U' B
D' R B2 F' L' B2 R'
D' R' L2 D2 R2 F' L'
U2 R' U2 D' R F' L'
L' U' B2 U R' F' L'
U2 R' D' U2 R F' L'
D' R' F B R U2 B'
D' R' F' B U2 B' L'
D' R' B U2 B L B2
D' R' B F R U2 B'
D' R' B F' U2 B' L'
L' U2 D L B' R' U2
F R2 D' R' B U2 B'
L' D L B' U2 B L
D' R2 F R B U2 B'
L' D L' F' L' F2 R
B' R2 F' U' L U' L2
B' R2 F' U2 L' D F2
D' R2 B' U2 B L F
L' D U2 L B' R' U2
U2 D L B' R' U2 R
L' D F' L' D2 R2 F
L' D F' L' D2 F R2
L' D F' L' F D2 R2
L2 D F' L' F D R2
L D F' L' F' R F2
L D F2 L' R F L'
L D F2 R L' F L'
L D F2 R F L' F
B U R' U B L B2
L' D' R F' L' D2 R2
L2 D' R D' F' L' R2
L2 D' R D' F' R2 L'
L2 D' R F' L' D' R2
L2 D' R F' D' L' R2
L2 D' R F' D' R2 L'
L2 D' R' D' R2 F' L'
L D' R F2 R F L'
B' U' L U' L B L
B' U' L U' L' B L
B' U' L U' L2 B L
B' U' L U' D B L
B' U' L U' D' B L
B' U' L U' D2 B L
B' U' L U' B L D
B' U' L U' B L D'
B' U' L U' B L D2
B' U' L U' B D L
B' U' L U' B D' L
B' U' L U' B D2 L
B' U' L D U' B L
B' U' L D' U' B L
B' U' L D2 U' B L
U2 D' R U2 F' L' R'
U2 D' R U2 F' R' L'
U2 D' R' B U2 L R
U2 D' R' B U2 R L
L D' F' L' R F' R
L D' F' L' F' R F'
L D' F' R L' F' R
L D' F2 R F L' F2
B' U' D L U' B L
B' U' D' L U' B L
B' U' D2 L U' B L
U2 D' B' R' B U2 R
L2 D2 R D R F' L'
D U2 L B' R' U2 R
D' U2 R U2 F' L' R'
D' U2 R U2 F' R' L'
L2 D2 R2 D' F' L' F
D' U2 R' B U2 L R
D' U2 R' B U2 R L
B U' B2 L U' B L
B' U2 L' D F2 B L
B' U2 L' D B L F2
B' U2 L' D B F2 L
B' U2 L' B D L F2
B' U2 L' B D F2 L
B' U2 L2 B L D F2
D' U2 B' R' B U2 R
D2 F L D F2 L' R
D2 F L D F2 R L'
D' F L F2 L' R F'
D' F L F2 R L' F'
F U2 D' R U2 F' R'
D' F R B U2 F' B'
D' F R B U2 B' F'
D' F R B' U2 F' B
D' F R B' U2 B F'
D' F R B2 U2 F' B2
D' F R B2 U2 B2 F'
B' U2 B L2 D L' F
D' F R' B R2 U2 B'
B' U2 B D L' F L2
D' F U2 R U2 F' R'
F' D L F L2 F R
F' D L F2 L2 R F
F' D L F2 R L2 F
F' D L' F U2 L U2
F' D L' F B2 R' B2
F' D L' B2 R' F B2
F' D L' B2 R' B2 F
F' D L' B2 F R' B2
F' D L2 D2 L R2 F
F' D L2 D2 L F R2
F' D L2 D2 R2 L F
D' F B R U2 F' B'
D' F B R U2 B' F'
D' F B2 R U2 F' B2
D' F B2 R U2 B2 F'
B' D U' L U' B L
D' F' L F2 L2 R F'
D' F' L F2 R L2 F'
D' F' L F2 R F' L2
D F' L F L2 F R
D F' L F2 L2 R F
D F' L F2 R L2 F
L2 F' L' D' F2 R F'
L2 F' L' F2 D' R F'
D F' L' F U2 L U2
D F' L' F B2 R' B2
D F' L' B2 R' F B2
D F' L' B2 R' B2 F
D F' L' B2 F R' B2
L F' L' F' D' R F'
D F' L2 D2 L R2 F
D F' L2 D2 L F R2
D F' L2 D2 R2 L F
D' F' R' B U2 B' L'
F' D B U2 B' L' F
F' D B' U2 L' F B
F' D B' U2 L' B F
F' D B' U2 B L' F
F' D B2 L' F B2 R'
F' D B2 L' B2 R' F
F' D B2 L' B2 F R'
F' D B2 U2 L' F B2
F' D B2 U2 L' B2 F
F' D B2 U2 B2 L' F
F' D' L F2 L2 R F'
F' D' L F2 R L2 F'
F' D' L F2 R F' L2
L' F' D L' D2 R2 F
L' F' D L' D2 F R2
L' F' D L' F D2 R2
L2 F' D L' D R2 F
L2 F' D L' D F R2
F D' L F2 L' R F'
F D' L F2 R L' F'
L2 F' D2 R2 D' L' F
F' D' R' B U2 B' L'
F D' R B U2 F' B'
F D' R B U2 B' F'
F D' R B' U2 F' B
F D' R B' U2 B F'
F D' R B2 U2 F' B2
F D' R B2 U2 B2 F'
D F' B U2 B' L' F
F D' R' B R2 U2 B'
B' D' U' L U' B L
D F' B' U2 L' F B
D F' B' U2 L' B F
D F' B' U2 B L' F
D F' B2 L' F B2 R'
D F' B2 L' B2 R' F
D F' B2 L' B2 F R'
D' F2 L F2 R F' L'
D F' B2 U2 L' F B2
D F' B2 U2 L' B2 F
D F' B2 U2 B2 L' F
F D' U2 R U2 F' R'
D F2 L' F L' D2 R2
L F2 R F D L' F
F D' B R U2 F' B'
F D' B R U2 B' F'
F D' B2 R U2 F' B2
F D' B2 R U2 B2 F'
B' D2 U' L U' B L
U' B R' F' U2 F U'
U B U2 R' F' B' U
U B U2 R' B' F' U
B F R U R2 U B'
B F R U2 D' F2 B'
B F R U2 D' B' F2
B F R U2 B' D' F2
D' B F R U2 F' B'
D' B F R U2 B' F'
B F R D B2 U2 B
B F R D' U2 F2 B'
B F R D' U2 B' F2
F B R U R2 U B'
F B R U2 D' F2 B'
F B R U2 D' B' F2
F B R U2 B' D' F2
F B R D B2 U2 B
F B R D' U2 F2 B'
F B R D' U2 B' F2
F' B U R' U B' L'
D B F' U2 B' L' F
F' B U2 B' D L' F
U B' L U2 F B U
U B' L U2 B F U
U2 B' R' U' L U' R
R' B' U' L U' B L
D B' R2 F' U2 L' F
R2 B' U' L U' B L
D B' U2 L' F B L
D B' U2 L' B F L
D B' U2 L2 B L F
R B' U' L U' B L
D B' U2 B L' F L2
B' F' U' L U' L2 B
B' F' U' L U' B L2
F' B' U' L U' L2 B
F' B' U' L U' B L2
B F' U R' U B' L'
B' F' U2 L' D F2 B
B' F' U2 L' D B F2
B' F' U2 L' B D F2
F' B' U2 L' D F2 B
F' B' U2 L' D B F2
F' B' U2 L' B D F2
B' F' U2 B D L' F
F' B' U2 B D L' F
D B' F' U2 L' F B
D B' F' U2 L' B F
D B' F' U2 B L' F
B F' U2 B' D L' F
D' B2 R F' L' B2 R'
D' B2 R' B U2 B L
D' B2 F R U2 F' B2
D' B2 F R U2 B2 F'
D B2 F' L' F B2 R'
D B2 F' L' B2 R' F
D B2 F' L' B2 F R'
D B2 F' U2 L' F B2
D B2 F' U2 L' B2 F
D B2 F' U2 B2 L' F
